Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,6.1,510.3998501590201,141.50665677089157,0.0,186.6589531541467,12.361341696855307,0.0,18.621878525034035,6.6595562266118735,19.894051417097476,400.76311016667205,400.76311016667205,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,5.6,880.9402017623155,242.79771840557157,0.0,176.84161215362337,21.457742306507303,0.0,18.745265139351343,6.615198778437399,19.641266236256815,722.6623267447612,722.6623267447612,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.6,986.3269636929588,272.1427747214806,0.0,174.09796342894674,23.999910081925215,0.0,18.501636108261565,6.714661544639651,19.507867521408524,795.6733475072897,795.6733475072897,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.6,1361.6291239495795,371.4931044926344,0.0,164.47341987410184,32.91767140398246,0.0,18.5842124820106,6.738313075961465,19.35377880052938,1116.3667118194153,1116.3667118194153,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,4.4,1651.7956692265461,497.3239427309311,23.075908345253396,146.17557189599992,49.75435119364306,0.0,18.378922521681282,6.155037726170514,19.206412640675524,1327.3253733625552,1327.3253733625552,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,4.4,3008.7752990389577,879.8156698454804,41.76604719438632,104.26302213791058,88.49386645651367,0.0,19.350465784612613,6.3813085815986135,19.045690266954708,2428.7348470076104,2428.7348470076104,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,4.4,3047.600222686423,911.1634744643761,41.65478644920408,102.80499929082556,89.84470348774224,0.0,19.662617016850074,6.453253010233414,18.955555271428803,2430.9162202436128,2430.9162202436128,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,3.9,2601.23968961567,795.936759912747,38.75481367018786,114.83858375276428,78.67033480823703,0.0,19.845865460885737,6.1036806006232665,18.855688607967526,2059.602986421438,2059.602986421438,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,3.9,3276.3591736953263,994.6281438460588,48.235716884918496,93.946701289683,97.96975165926122,85.44000000000005,19.69963714593717,6.761559798580305,18.745419720529718,1540.5477412623277,1540.5477412623277,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,3.9,2966.192186370546,902.2476824915087,43.882875314033576,103.51706195120518,89.1290446588016,85.44000000000005,19.714848251298857,7.976131625303031,18.657705910912345,1161.7032095191407,1161.7032095191407,0.0,0.0,0.0,0.0,0.0,0.0
