Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,20.0,20.836451183521035,14.531236036771427,20.71690164175911,0.0,-1570.2906946356998,-1570.2906946356998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,20.0,20.924181668416022,16.043650045469477,20.576775367055262,0.0,-1408.2755859424096,-1408.2755859424096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,20.0,20.899948977501143,17.381395189984513,20.502755750261098,0.0,-1524.769738110368,-1524.769738110368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,20.0,20.9311313555801,18.255812395760895,20.4378364117183,0.0,-1556.165844762938,-1556.165844762938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,17.0,20.73499490254978,17.44967428538258,20.387969595199774,0.0,-1540.6568482931634,-1540.6568482931634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,15.0,20.611816702063038,15.995630748559682,20.34697335233788,0.0,-577.1487547570177,-577.1487547570177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,14.0,20.70537895176465,15.02355883225578,20.311327029726815,0.0,-531.8788489043109,-531.8788489043109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,14.0,20.762817894001905,14.64640547903345,20.276194057748178,0.0,-519.2486454062055,-519.2486454062055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,14.0,20.29528834025335,14.7187971092657,20.23888750132818,0.0,-331.9377936345554,-331.9377936345554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,13.0,20.001864064679513,14.016573942960186,20.20217628912666,0.0,-199.46977069891182,-199.46977069891182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
