Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.132504332883432,14.5056257097642,20.697636218237555,-1028.446667397906,-1028.446667397906,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.225485751218383,16.010936150393853,20.554961679856866,-1039.7207256051133,-1039.7207256051133,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.265882645967473,17.35424341460253,20.480328358319348,-1114.3181351526764,-1114.3181351526764,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.358286449806215,18.216831584116424,20.415099366305267,-1188.517466031004,-1188.517466031004,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.243456885121905,17.391155300304778,20.36509135197167,-1207.0238939016745,-1207.0238939016745,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19260738870768,15.93328967285742,20.324095347599833,-321.47967371504274,-321.47967371504274,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.334550045390877,14.968036721434842,20.28856798705012,-354.9413653363381,-354.9413653363381,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.43380648274681,14.596876356411123,20.25365401296647,-416.32394717691204,-416.32394717691204,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,14.0,0.0,0.0,0.0,0.0,0.0,85.44000000000007,19.269409201491897,14.679022102981909,20.21663620822057,-186.36030424755882,-186.36030424755882,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,13.0,1131.1025251445656,288.18961297606506,0.0,0.0,23.499900177572034,85.44000000000007,19.576384512221676,14.159600641011167,20.161768352021898,159.23013410292697,159.23013410292697,0.0,0.0,0.0,0.0,0.0,0.0
