Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,17.93426116439926,1.1844702035147698,19.99893633339788,37.640560981493735,801.4947171773347,801.4947171773347,0.0,0.0,0.0,0.0,993.2196579535024,335.7499459708977,24.450147519277486,162.61741508515195,0.0,0.0
 01/01  02:00:00,-1.1,18.380712328540827,1.360648461299937,19.70576483982802,72.32162256951372,1589.9925159127242,1589.9925159127242,0.0,0.0,0.0,0.0,1971.2928580380872,642.2228387993265,42.413507192123305,128.26602237210457,0.0,0.0
 01/01  03:00:00,-1.1,18.48920799541413,1.5102754957625035,19.560975802060295,91.35270971764085,1976.0986054192326,1976.0986054192326,0.0,0.0,0.0,0.0,2507.852094716175,817.0447041491394,54.52101113011675,109.36909941089765,0.0,0.0
 01/01  04:00:00,-1.1,18.49665861588553,1.7327324211178938,19.39096923801092,104.88351240518193,2263.04462642985,2263.04462642985,0.0,0.0,0.0,0.0,2900.3904506644712,939.9259107319114,62.59679103071219,95.94463808527055,0.0,0.0
 01/01  05:00:00,-1.1,18.68475517522326,1.6246808113192193,19.25614154060603,104.23380013283578,2229.6374265227496,2229.6374265227496,0.0,0.0,0.0,0.0,2886.0537016057497,935.4628725633069,61.08593806044035,96.61107110901675,0.0,0.0
 01/01  06:00:00,-1.1,19.33850660715015,2.0043902010832433,19.084619522770566,137.84409605999258,3040.9228782763203,3040.9228782763203,0.0,0.0,0.0,0.0,3888.866230139475,1241.443276886117,80.78392986965146,63.27190436915811,0.0,0.0
 01/01  07:00:00,-1.1,19.6278333868772,1.8597000890518092,18.987313268600055,130.67985325738306,2877.6893833449885,2877.6893833449885,0.0,0.0,0.0,0.0,3758.734277061321,1220.9451986820525,53.17908954945834,70.81970655050667,0.0,0.0
 01/01  08:00:00,-1.1,19.69345192171638,1.6984653398959795,18.87349966946514,121.517990534689,2655.7332379665313,2655.7332379665313,0.0,0.0,0.0,0.0,3506.1696336622595,1151.9775238014786,41.280541408884005,80.02614958871585,0.0,0.0
 01/01  09:00:00,-0.6,19.766337308933725,2.0812468103275066,18.76681098178495,115.20613058403741,2547.242533611372,2547.242533611372,0.0,0.0,0.0,0.0,3365.162995887961,1100.2554026956996,37.12721823648873,86.34146486220263,0.0,0.0
 01/01  10:00:00,0.0,19.815580647027108,3.015569984367664,18.672746852248736,97.51998505537969,2175.7078711041722,2175.7078711041722,0.0,0.0,0.0,0.0,2887.784957688437,943.7814817452819,26.21697969198222,103.91610291370586,0.0,0.0
