Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,1080.5319333477335,365.4947949365759,26.562681279282113,159.2232675389874,40.892517641325455,0.0,17.966664655699763,1.2978392656509095,19.988979675304424,831.5933086036712,831.5933086036712,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,2008.5358132028693,654.2777027046798,43.18231047393206,126.67040803730225,73.63242644872392,0.0,18.4495898635292,1.4231430712213822,19.696080240233947,1560.9771309718699,1560.9771309718699,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.1,2644.4528311402282,860.4682125998946,57.341680607401116,104.2948127820247,96.07852739073127,0.0,18.53988463757212,1.5975776012231946,19.549108736541587,2037.6165964001157,2037.6165964001157,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,2967.281085549113,961.2891083549124,63.95626705486571,93.25484625822573,107.16107693126246,0.0,18.540584240036516,1.7793504193226888,19.383603641817697,2282.9923832360055,2282.9923832360055,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.1,2891.7370934563955,937.9948886970981,61.198193854589725,96.00222223921921,104.42510123309549,0.0,18.706858419706915,1.6508428428644526,19.25106348747961,2216.767336425881,2216.767336425881,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-1.1,3938.423478823686,1256.3411824496288,81.71830447291528,61.131162011823136,139.43828476744517,0.0,19.38290306631844,2.0392462980672845,19.0783051530718,3021.320047662579,3021.320047662579,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-1.1,3731.1562672223017,1213.6053640088862,52.8127044428161,71.19093070138054,129.77929890618475,0.0,19.6461276240461,1.8661017756981197,18.98515929397155,2848.5946635206856,2848.5946635206856,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-1.1,3459.710523582023,1137.9275539792945,40.76211610040935,81.05379235153502,119.99182691219568,0.0,19.697355436516034,1.6913618449393581,18.871073862150595,2619.3648817993126,2619.3648817993126,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-0.6,4618.8408876465755,1475.1156088602343,49.781102934763055,46.98753069609551,154.4712809887913,85.44000000000004,19.699313496777624,2.5659795232249003,18.733473238481366,2515.369872518586,2515.369872518586,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,0.0,4386.164704320081,1392.1020597139404,38.73093698769447,57.47907868258473,144.06870793643458,85.44000000000004,19.729370773393306,3.6175900472123415,18.640088211010255,2209.8864873535586,2209.8864873535586,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,0.0,3925.601570518724,1257.199583966559,35.74129505717325,71.25412849830117,130.13231313790843,85.44000000000004,19.700503545605372,4.5853459319757945,18.541004680708287,1928.522496923939,1928.522496923939,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,0.6,3358.458576098225,1074.0339300194682,13.142086801899158,92.96821356152691,108.4548277154341,85.44000000000004,19.779917210719667,6.404052251034455,18.465605851396404,1661.1954000289697,1661.1954000289697,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,0.6,1602.0076021293899,530.0293018398132,9.813384161948829,146.80005112325313,53.862802545586696,28.982857726462218,19.815442895642168,9.46894961180461,18.417274283741783,981.0891941485752,981.0891941485752,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,0.6,589.8944964084185,199.04474161428462,3.684499842226805,180.03730555953732,20.211383869496533,0.0,19.79219889983153,14.852160852658535,18.373214367888156,481.36270187731316,481.36270187731316,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,0.6,499.9236638624872,168.743397500248,2.065750449142927,183.21793433074745,17.005108540798524,0.0,19.672476374252252,14.987278757694668,18.33651449104373,428.10210671399,428.10210671399,0.0,0.0,0.0,0.0,0.0,0.0
