Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,15.6,21.32714164957043,10.647643133318722,21.375506756115005,0.0,-1974.4524882531568,-1974.4524882531568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,15.6,21.210384429288432,12.608037840792175,21.28739725459953,0.0,-1386.2809392975096,-1386.2809392975096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,15.6,20.949744802679994,13.776747686810472,21.23267030435506,0.0,-1484.7128052724747,-1484.7128052724747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,12.0,20.25526562809216,12.90863372819998,21.1798902938004,0.0,-1067.4225066019007,-1067.4225066019007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,11.7,20.168864115831635,12.318608248348061,21.135654350399225,0.0,-854.36799855747,-854.36799855747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,11.7,20.20356564453067,11.979567943696663,21.090401571223115,0.0,-275.84638651709247,-275.84638651709247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,12.2,20.263420180737732,12.07678742506127,21.04456804752376,0.0,-288.21008906600036,-288.21008906600036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,11.0,19.976476085474232,11.556241093090458,20.997693218419126,0.0,-147.53650614304206,-147.53650614304206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,10.6,19.72274391271816,11.50765273489748,20.949858444118288,1.2056600772221002,44.63410760273746,44.63410760273746,0.0,0.0,0.0,0.0,53.53356112534643,14.426062539086375,0.0,0.0,0.0,0.0
 01/01  10:00:00,11.1,19.608415281333013,12.05552903188695,20.90212339125126,3.4032509934484025,131.07058947297264,131.07058947297264,0.0,0.0,0.0,0.0,153.30751972725767,40.79484763109467,0.0,0.0,0.0,0.0
