Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,20.547813780467077,10.562086517841582,21.354549037141823,-1348.272635530764,-1348.272635530764,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,20.490882162226704,12.528306018172275,21.263099181963863,-1121.4622515242927,-1121.4622515242927,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,20.30537082386035,13.699422355116635,21.207933011977644,-1117.3792601056794,-1117.3792601056794,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.710061121296917,12.82960012033292,21.155017450902967,-743.3490668971226,-743.3490668971226,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,19.680274013013573,12.242133478906762,21.11085882410061,-597.6622282255821,-597.6622282255821,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,19.758240448372963,11.907894245189155,21.065983074331562,-20.404363465361712,-20.404363465361712,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,12.2,0.0,0.0,0.0,0.0,0.0,0.0,19.857106369069616,12.013488159741597,21.020503227223774,-81.0821428315121,-81.0821428315121,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,11.0,66.08861284413885,17.679623043959854,0.0,0.0,1.472492515550279,0.0,19.72128833366104,11.525403554154765,20.97237626264207,55.49857679285378,55.49857679285378,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,10.6,1189.3455856893183,313.569693406445,0.0,0.0,26.315362132855935,85.44000000000004,19.604970342574823,11.810967172953072,20.898437128244318,107.74474216611088,107.74474216611088,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,11.1,1493.908563059677,389.0714920894257,0.0,0.0,32.51305890432829,85.44000000000004,19.606027638625946,12.427953603179123,20.849902577412173,294.48633575841086,294.48633575841086,0.0,0.0,0.0,0.0,0.0,0.0
