Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-13.3,18.455825478747762,-7.564943232030682,18.553152499503394,204.52944131962843,3661.7845885291918,3661.7845885291918,0.0,0.0,0.0,0.0,4449.870612831357,1739.628300578338,33.24743322440631,0.0,888.226161784437,888.226161784437
 01/01  02:00:00,-12.2,18.539755282861982,-7.4758355941008086,18.142098742049253,204.52944131962843,3926.5078853755695,3926.5078853755695,0.0,0.0,0.0,0.0,4649.314264191683,1769.6090943392317,21.81955372017226,0.0,1049.0449064763825,1049.0449064763825
 01/01  03:00:00,-12.2,18.57403037631173,-7.280060198291232,17.9519345218668,204.52944131962843,4223.455221383121,4223.455221383121,0.0,0.0,0.0,0.0,4647.156470737737,1771.9149869553742,21.81955372017226,0.0,1414.8403167257106,1414.8403167257106
 01/01  04:00:00,-12.2,18.58599857565504,-7.363087505581572,17.716606173281065,204.52944131962843,4539.692965247126,4539.692965247126,0.0,0.0,0.0,0.0,4665.8751182900005,1780.2520420032542,15.918567833744593,0.0,1763.8025463753565,1763.8025463753565
 01/01  05:00:00,-13.3,18.58789404746264,-6.974673583121542,17.502417091187315,204.52944131962843,4760.837758516202,4760.837758516202,0.0,0.0,0.0,0.0,4495.874430376588,1758.1989626718962,18.734007939628462,0.0,2204.2923077118203,2204.2923077118203
 01/01  06:00:00,-13.3,19.303455155454905,-6.961173437978692,17.30400908562118,204.52944131962843,5858.451838481753,5858.451838481753,0.0,0.0,0.0,0.0,4496.088831342136,1757.9744405261083,18.734007939628462,0.0,3450.6609728163876,3450.6609728163876
 01/01  07:00:00,-12.2,19.57136269803627,-6.662407403095003,17.154449149735072,204.52944131962843,5395.2290290848505,5395.2290290848505,0.0,0.0,0.0,0.0,4624.79134013694,1795.946970102623,21.777696617603983,0.0,2869.83707276683,2869.83707276683
 01/01  08:00:00,-12.2,19.661343136362614,-6.332221299855856,16.97730994351224,204.52944131962843,5229.874258111151,5229.874258111151,0.0,0.0,0.0,0.0,4602.347130402024,1798.9621616292413,26.132066766104263,0.0,2712.405788212043,2712.405788212043
 01/01  09:00:00,-12.2,19.691290063330374,-6.095399687371979,16.811041019611014,204.52944131962843,5160.101801509529,5160.101801509529,0.0,0.0,0.0,0.0,4599.800196968279,1801.662361989582,26.132066766104263,0.0,2627.001368360193,2627.001368360193
 01/01  10:00:00,-10.6,19.710506567789597,-4.567944869450068,16.665046053862998,204.52944131962843,4695.927239592294,4695.927239592294,0.0,0.0,0.0,0.0,4828.839847699542,1826.8350686817473,28.4798926762493,0.0,1859.5049868968958,1859.5049868968958
