Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,2.0,20.456130595168883,0.6106491514167772,18.936335028928514,0.0,-1416.243047479864,-1416.243047479864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,1.0,19.60925507375626,-0.943802174279078,18.608546849441492,0.0,-720.8624011631364,-720.8624011631364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,1.0,18.888483191505077,-2.2018903046268985,18.41216859267801,0.0,-200.63513067632448,-200.63513067632448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,1.0,18.561453420259113,-2.8024830804894814,18.199561076940622,12.353050223343041,287.3107034441,287.3107034441,0.0,0.0,0.0,0.0,348.23337238624424,114.92428606428301,6.040568466619586,187.68417578624758,0.0,0.0
 01/01  05:00:00,0.0,18.458071705378767,-3.275929603289431,18.003097023846923,27.045751869166118,578.564276776312,578.564276776312,0.0,0.0,0.0,0.0,741.0696978950233,245.52587710826631,15.244562106433348,172.97095131971912,0.0,0.0
 01/01  06:00:00,-1.0,19.165689711921278,-3.011962395263772,17.785974536494386,78.25018894622279,1654.479394851236,1654.479394851236,0.0,0.0,0.0,0.0,2128.666510794455,697.5991074942405,49.11490279838777,121.58809262757715,0.0,0.0
 01/01  07:00:00,-1.0,19.48412226128285,-2.9456442242452368,17.62605649604325,102.48473019311422,2102.3520297913365,2102.3520297913365,0.0,0.0,0.0,0.0,2817.438129951396,926.3737936290297,64.32864297767937,97.29936725589872,0.0,0.0
 01/01  08:00:00,-1.0,19.62045081206861,-2.1320438633329153,17.472618231221173,108.83186617631658,2175.629717753307,2175.629717753307,0.0,0.0,0.0,0.0,2998.289093992326,989.847085841349,68.31391009791516,90.93689113395575,0.0,0.0
 01/01  09:00:00,1.0,19.84589507684943,-0.9187379818017772,17.348523111539283,76.5144804497816,1530.1488036644769,1530.1488036644769,0.0,0.0,0.0,0.0,2184.089844391105,708.3038013173798,47.53113554641633,123.57384444452842,0.0,0.0
 01/01  10:00:00,2.0,19.91355491515532,3.1958950127861385,17.227277394721096,33.262327217768586,614.7715580510067,614.7715580510067,0.0,0.0,0.0,0.0,961.8664296327528,315.10865783502453,18.066603066049574,166.85452222258797,0.0,0.0
 01/01  11:00:00,4.0,20.185089277621255,9.211473055512961,17.124783369069814,0.0,-307.01979385726554,-307.01979385726554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  12:00:00,6.0,20.939241874310188,16.30063702321464,17.051999853868566,0.0,-983.3679386511831,-983.3679386511831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  13:00:00,7.0,21.551955275110828,21.39973681520447,17.011133233026886,0.0,-1454.6956659146763,-1454.6956659146763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,9.0,22.505487447927436,23.644416988365446,16.992432113141632,0.0,-2083.2297660796085,-2083.2297660796085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,9.0,23.548464366904962,25.358353515868053,16.99795797576049,0.0,-2886.097600832427,-2886.097600832427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,9.0,24.49476717589219,22.952959677647026,17.034471292016296,0.0,-3606.3869218919754,-3606.3869218919754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,8.0,25.2948210460821,20.532171963831587,17.091335157400017,0.0,-4021.5736224600478,-4021.5736224600478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,8.0,24.80115359176981,15.70973946162487,17.154689063010004,0.0,-3725.533720421776,-3725.533720421776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,8.0,24.694754276363142,11.954374516443679,17.202657010172715,0.0,-3388.3723591515445,-3388.3723591515445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,6.0,24.257453960258058,9.146472637075759,17.22258872075467,0.0,-3086.6902691743,-3086.6902691743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,5.0,24.08264417259744,7.0161420328658295,17.217011948399286,0.0,-3233.1304004495432,-3233.1304004495432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  22:00:00,3.0,23.41300092439441,4.754762388115771,17.190964957630634,0.0,-2558.499477993597,-2558.499477993597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  23:00:00,3.0,22.61215191997053,3.341313018387394,17.143737640195962,0.0,-2972.086813241238,-2972.086813241238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,2.0,21.56392113714508,2.3974044372296768,17.08070775903454,0.0,-2220.7419007720146,-2220.7419007720146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  01:00:00,3.0,20.039904065025357,0.7094695130758695,14.705555485094193,0.0,-1071.8119630567653,-1071.8119630567653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  02:00:00,2.0,19.17057671294582,-0.6615204506352574,14.64975732474624,0.0,-376.68179334530214,-376.68179334530214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  03:00:00,2.0,18.597929656664043,-1.6581557451592779,14.59028245386217,4.690394300348702,109.38542447460168,109.38542447460168,0.0,0.0,0.0,0.0,134.01212643468074,43.75036370780002,2.5475562373401233,195.32618454378164,0.0,0.0
 01/02  04:00:00,1.0,18.464823931989354,-2.195266821797579,14.52931406551673,24.572604023920846,539.5558602658975,539.5558602658975,0.0,0.0,0.0,0.0,684.9161350828005,222.41920304793305,15.263927497908726,175.45686035202314,0.0,0.0
 01/02  05:00:00,0.0,18.44298126092675,-2.677754699919176,14.460728281279481,43.46083945805614,919.197365562517,919.197365562517,0.0,0.0,0.0,0.0,1203.3687355854706,392.5613583737551,24.496797118209976,156.5664715590854,0.0,0.0
 01/02  06:00:00,0.0,19.23359519004074,-2.281776713707027,14.40643779248744,96.1921392521758,2099.6052616066736,2099.6052616066736,0.0,0.0,0.0,0.0,2745.4120816666627,868.2430653617906,54.21882722537389,103.86845419168043,0.0,0.0
 01/02  07:00:00,-1.0,19.477230317286775,-1.575622928521349,14.364013748913257,117.1527307271521,2427.848059656966,2427.848059656966,0.0,0.0,0.0,0.0,3306.248769575813,1073.3762226701542,60.245758592763934,82.85765041076174,0.0,0.0
 01/02  08:00:00,-1.0,19.641880720305863,-1.8083542168920386,14.30580393974082,121.40673042403041,2425.4751946383367,2425.4751946383367,0.0,0.0,0.0,0.0,3372.208601784398,1100.8662859923304,76.2064917501336,78.3363901417528,0.0,0.0
 01/02  09:00:00,1.0,19.842149817989046,-0.7073916566781795,14.2336850342457,84.39346359889645,1719.0573458369108,1719.0573458369108,0.0,0.0,0.0,0.0,2470.796308883307,793.9102551152725,41.26861456835797,115.85940870008385,0.0,0.0
 01/02  10:00:00,2.0,19.913353853588944,3.478924434300314,14.148876624778504,40.355077323687546,756.0746632645478,756.0746632645478,0.0,0.0,0.0,0.0,1172.4232416960199,381.22260747443227,21.918979146447523,159.78684905258214,0.0,0.0
 01/02  11:00:00,5.0,19.966532581984815,8.733945576189685,14.082336266686,0.0,-103.8123969935059,-103.8123969935059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  12:00:00,7.0,20.830683315910555,14.790947995679465,14.085414462103348,0.0,-856.2025688291542,-856.2025688291542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  13:00:00,9.0,21.52410181934896,20.042283774249004,14.110215672357818,0.0,-1442.269003399755,-1442.269003399755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  14:00:00,9.0,22.385268588561754,24.23481568981603,14.157964173161263,0.0,-2080.9068325949847,-2080.9068325949847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  15:00:00,11.0,23.43365432744642,23.40509714336275,14.239446116742247,0.0,-2817.90510824394,-2817.90510824394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  16:00:00,9.0,23.92612952313193,19.771696040610564,14.346529089017592,0.0,-3305.061301697857,-3305.061301697857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/02  17:00:00,9.0,24.429758706624842,18.528129542557426,14.472210058334495,0.0,-3350.853823032401,-3350.853823032401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
