Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,2.0,0.0,0.0,0.0,200.0,0.0,0.0,19.66365089466649,0.4622999002949392,18.916492395715274,-784.9218173210083,-784.9218173210083,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,1.0,0.0,0.0,0.0,200.0,0.0,0.0,18.893991356116647,-1.1013874631112799,18.584839046052966,-195.9606407316278,-195.9606407316278,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.0,341.6571330913002,112.79868292858168,5.927440634977149,187.86616128174282,12.12169773786337,0.0,18.60008081073848,-2.110608209882451,18.378645514496412,257.577387772526,257.577387772526,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,1.0,803.880911340543,261.05887492755767,13.801458053474258,171.74755912198285,28.224434058271,0.0,18.647941019586867,-2.581060677306197,18.163015593120193,572.7827630904685,572.7827630904685,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,0.0,1227.5585326123125,403.5488592960203,25.015588666971883,155.46803405245296,44.38061479905867,0.0,18.536402353994124,-2.925859591971338,17.967185663790577,904.0586692798788,904.0586692798788,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-1.0,2767.889686752531,896.8871237119258,63.05522359100826,98.92700521812681,100.45958568367958,0.0,19.28965876217751,-2.5484520356930473,17.7479727458594,2022.176858885854,2022.176858885854,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-1.0,3160.386258706524,1034.8348791017984,71.68966978062689,85.08660810323754,114.21110541674206,0.0,19.587869423605408,-2.6076933683091643,17.602935212652383,2278.1518254599832,2278.1518254599832,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-1.0,3140.9152424337017,1036.3196416631595,71.37725594534763,85.58738504358713,113.71145204682821,0.0,19.682412073461652,-1.91710515627756,17.45283951442584,2246.4299235004964,2246.4299235004964,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,1.0,3599.5113417044263,1137.4826208642346,76.25425611478663,76.89569309023395,122.75201906655113,85.44000000000005,19.745111610110367,-0.05502903088556996,17.319439510518183,1538.9921860813265,1538.9921860813265,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,2.0,2587.591812846791,819.9342806914104,47.115768199898476,113.21205767071612,86.74486543714232,85.44000000000005,19.763581376711993,4.353247548334069,17.202958556750307,711.0585152237618,711.0585152237618,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,4.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,18.936417674358328,9.405185849920455,17.10965327058386,-190.41915323736248,-190.41915323736248,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,6.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.193275998425975,16.25479922234171,17.036243565373642,-642.0573779925398,-642.0573779925398,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,7.0,0.0,0.0,0.0,200.0,0.0,9.623091423431074,20.63362159847581,21.267367146102163,16.99429803877477,-890.9253004652201,-890.9253004652201,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,9.0,0.0,0.0,0.0,200.0,0.0,0.0,21.91159719891395,23.52576456829538,16.97156130830694,-1425.2832307752724,-1425.2832307752724,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,9.0,0.0,0.0,0.0,200.0,0.0,0.0,23.032966142536335,25.279075576070923,16.97357988094414,-2530.9916850261616,-2530.9916850261616,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,9.0,0.0,0.0,0.0,185.51408161387565,14.562450782245605,0.0,23.297803962893425,22.759257489024346,17.02506894849386,-3392.871735685443,-3392.871735685443,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,8.0,0.0,0.0,0.0,172.46299530837697,27.68248894017928,0.0,23.29347522538042,20.22267524192754,17.094875529534008,-4003.118430330116,-4003.118430330116,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,8.0,0.0,0.0,0.0,200.0,0.0,80.84159393747612,22.734064646901345,15.518738759578243,17.123972557434385,-3667.2816899877635,-3667.2816899877635,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,8.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,22.147891373593826,11.756704938927578,17.172996917669618,-3317.74317859873,-3317.74317859873,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,6.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,21.578570433382286,8.915319750526656,17.186459910116614,-2903.011249680294,-2903.011249680294,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,5.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,21.27567988763038,6.775872799984638,17.174666030128407,-2502.2600269349387,-2502.2600269349387,0.0,0.0,0.0,0.0,0.0,0.0
