Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-14.4,18.54192902670801,-7.549175568029099,17.498529622139202,182.40434044044295,3495.470039251808,3495.470039251808,0.0,0.0,0.0,0.0,3822.345307167012,1533.8534599810562,31.535030972047895,0.0,1363.837230256287,1363.837230256287
 01/01  02:00:00,-14.4,18.56139644067672,-8.309018326711351,16.99253151486136,182.40434044044295,3934.98976043947,3934.98976043947,0.0,0.0,0.0,0.0,3824.5420619259735,1531.5094906334907,31.556171766077764,0.0,1941.0783486026137,1941.0783486026137
 01/01  03:00:00,-15.6,18.566889375246145,-8.94166432451401,16.74936882562809,182.40434044044295,4360.088880033803,4360.088880033803,0.0,0.0,0.0,0.0,3685.921089851471,1516.5004494837792,28.432857061330342,0.0,2638.5507011899313,2638.5507011899313
 01/01  04:00:00,-15.6,18.572285858278974,-9.456986631225528,16.47546134012514,182.40434044044295,4549.794041822684,4549.794041822684,0.0,0.0,0.0,0.0,3700.7712932531413,1522.377945053321,23.48358278659138,0.0,2895.884834959728,2895.884834959728
 01/01  05:00:00,-17.2,18.570634029490247,-10.023590838176242,16.224332525987023,182.40434044044295,4816.4720403382635,4816.4720403382635,0.0,0.0,0.0,0.0,3510.0179146415358,1497.218117082272,22.659088013229685,0.0,3434.6891542380567,3434.6891542380567
 01/01  06:00:00,-16.7,19.316058828496086,-10.181757202728766,16.001618840245037,182.40434044044295,5857.051073577866,5857.051073577866,0.0,0.0,0.0,0.0,3553.3436814572674,1497.9861343669227,28.54133049981719,0.0,4631.91497470708,4631.91497470708
 01/01  07:00:00,-17.8,19.562989193072237,-10.50377338090389,15.803912045548259,182.40434044044295,5924.0014464472715,5924.0014464472715,0.0,0.0,0.0,0.0,3433.467097911555,1511.0163689820286,17.765700252554275,0.0,4926.293322179445,4926.293322179445
 01/01  08:00:00,-16.1,19.653467236552753,-10.045413818412147,15.617374494833985,182.40434044044295,5425.0122167589925,5425.0122167589925,0.0,0.0,0.0,0.0,3618.5421393127644,1541.0143068864247,22.049728674483006,0.0,4218.757046539682,4218.757046539682
 01/01  09:00:00,-16.1,19.682727684012015,-8.987353224977412,15.420951714612553,182.40434044044295,5207.2727414630335,5207.2727414630335,0.0,0.0,0.0,0.0,3591.812846553476,1532.6631864086635,30.526206900131157,0.0,3978.099756285033,3978.099756285033
 01/01  10:00:00,-12.2,19.71836576539853,-6.152241313414916,15.267884110227719,182.40434044044295,4175.519202439829,4175.519202439829,0.0,0.0,0.0,0.0,4043.489652319326,1581.614371670225,41.61182986018567,0.0,2290.7479837105793,2290.7479837105793
 01/01  11:00:00,-8.9,19.746171415368167,-1.4022901631120273,15.121035074809987,182.40434044044295,3299.7307347503065,3299.7307347503065,0.0,0.0,0.0,0.0,4487.011605446201,1633.8869939045205,39.811630213258475,0.0,684.9503474152953,684.9503474152953
 01/01  12:00:00,-5.6,19.879095791930514,1.8083939302918082,14.994503215577343,151.03223395715153,2600.5527734276366,2600.5527734276366,0.0,0.0,0.0,0.0,4035.5324528226693,1407.731274723592,28.116510457817355,33.45522137987545,0.0,0.0
 01/01  13:00:00,-8.3,19.79203552495785,5.6145399735585615,14.865315496951858,153.26137131459637,2582.9213142153185,2582.9213142153185,0.0,0.0,0.0,0.0,3801.1298980216097,1406.401411090171,23.353850271512062,30.93133610450236,0.0,0.0
 01/01  14:00:00,-6.7,19.863503009238805,7.006850819640888,14.774010347957113,124.86289888470445,2281.1293915531223,2281.1293915531223,0.0,0.0,0.0,0.0,3190.5312387934996,1159.219039954128,18.743811583904908,62.39016310450103,0.0,0.0
 01/01  15:00:00,-3.9,19.86947403674766,7.129252800503678,14.702636517477536,105.68036759141077,2143.1989651301174,2143.1989651301174,0.0,0.0,0.0,0.0,2877.6958485180567,1000.7923622523949,19.400305286642325,83.58698239483428,0.0,0.0
 01/01  16:00:00,-5.0,19.72148994815845,5.545442672880765,14.630143206332521,113.10542336795423,2250.5026436639455,2250.5026436639455,0.0,0.0,0.0,0.0,2973.387913337054,1054.619888722553,27.36940237764287,75.11732252492325,0.0,0.0
 01/01  17:00:00,-5.0,19.69476190831675,3.0683029673493216,14.559792363950578,114.1835463028344,2233.9334401781944,2233.9334401781944,0.0,0.0,0.0,0.0,2988.734112990252,1056.4524653338847,32.28399028743415,73.77557422464184,0.0,0.0
