Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-14.4,3800.718417326672,1529.5608653768345,31.381999294173216,0.0,181.51917745157616,0.0,18.656435173131833,-7.196638627782625,17.50399216359959,3497.9250112849604,3497.9250112849604,0.0,0.0,0.0,0.0,1436.6752467860733,1436.6752467860733
 01/01  02:00:00,-14.4,3802.9381355861146,1527.196508264487,31.4030374971771,0.0,181.51917745157616,0.0,18.620997577742443,-8.069047012388115,16.996036944881862,3847.144286546625,3847.144286546625,0.0,0.0,0.0,0.0,1889.0114396301651,1889.0114396301651
 01/01  03:00:00,-15.6,3666.4622178798336,1510.7111334299748,28.294879463441724,0.0,181.51917745157616,0.0,18.60908385037305,-8.783759148424368,16.752721956414913,4264.1785980975255,4264.1785980975255,0.0,0.0,0.0,0.0,2586.252593229953,2586.252593229953
 01/01  04:00:00,-15.6,3681.6972340136012,1516.1040407261899,23.369622788279457,0.0,181.51917745157616,0.0,18.604125701774098,-9.350452459998795,16.478737958054552,4463.764583896154,4463.764583896154,0.0,0.0,0.0,0.0,2843.2349735738353,2843.2349735738353
 01/01  05:00:00,-17.2,3492.1529679915207,1490.7521125213304,22.549129083401834,0.0,181.51917745157616,0.0,18.603965247514022,-9.94835117899562,16.227607909451446,4740.132469031523,4740.132469031523,0.0,0.0,0.0,0.0,3411.069495373689,3411.069495373689
 01/01  06:00:00,-16.7,3535.2326632244185,1491.5614433148976,28.40282650725621,0.0,181.51917745157616,0.0,19.365147918852795,-10.120772386999182,16.00507602389837,5786.329819567625,5786.329819567625,0.0,0.0,0.0,0.0,4638.465633137779,4638.465633137779
 01/01  07:00:00,-17.8,3415.512552132748,1504.894072340107,17.679487718922175,0.0,181.51917745157616,0.0,19.61038645280511,-10.459590841205676,15.80807135826432,5852.723416462364,5852.723416462364,0.0,0.0,0.0,0.0,4934.861797881962,4934.861797881962
 01/01  08:00:00,-16.1,3599.7232798531577,1534.7643016656923,21.94272681427464,0.0,181.51917745157616,0.0,19.68202228008741,-10.022228515071703,15.621351624918578,5353.112848803612,5353.112848803612,0.0,0.0,0.0,0.0,4180.905477737328,4180.905477737328
 01/01  09:00:00,-16.1,3573.63430096387,1525.9549140265967,30.378070795073345,0.0,181.51917745157616,85.44000000000004,19.689256667522468,-8.765389585033981,15.424286151474469,5140.958342176558,5140.958342176558,0.0,0.0,0.0,0.0,5015.54202232525,5015.54202232525
 01/01  10:00:00,-12.2,4023.7055215495557,1574.1110363426806,41.409897978508305,0.0,181.51917745157616,85.44000000000004,19.704497458115373,-5.8837988247246455,15.270317005441894,4144.085890669277,4144.085890669277,0.0,0.0,0.0,0.0,3504.100086603147,3504.100086603147
 01/01  11:00:00,-8.9,4465.63497978118,1625.5135680259891,39.61843425363309,0.0,181.51917745157616,85.44000000000004,19.706923105952363,-1.0962423410989814,15.122585184224015,3300.726082302119,3300.726082302119,0.0,0.0,0.0,0.0,1901.0476919459825,1901.0476919459825
