Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,6.1,20.680613202972957,4.488823679763884,19.729489066054466,0.0,-1715.460037981742,-1715.460037981742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,6.1,20.02731617343372,4.533465704315296,19.461235098496722,0.0,-1016.159270937047,-1016.159270937047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,5.6,19.35637461103581,4.359040152559517,19.320617819253503,0.0,-526.6478654159855,-526.6478654159855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,6.1,18.889641300965593,4.08620594510707,19.16454899027796,0.0,-193.28484585846127,-193.28484585846127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,6.1,18.60096734751915,3.975518329270751,19.02438945524488,2.2788905928342316,74.82223979089031,74.82223979089031,0.0,0.0,0.0,0.0,90.13930039007805,25.072993673337017,0.0,196.78358930875075,0.0,0.0
 01/01  06:00:00,7.2,19.399134855729418,5.422827534718469,18.878728213338558,24.565904157233554,831.8437466632104,831.8437466632104,0.0,0.0,0.0,0.0,1017.7724091527784,272.01077531733074,0.0,165.3278498669559,0.0,0.0
 01/01  07:00:00,7.8,19.674050106642685,6.173572370079672,18.763440401239635,32.38307211457343,1080.358951297323,1080.358951297323,0.0,0.0,0.0,0.0,1365.6528869699573,366.3056136784493,0.0,154.29475215162913,0.0,0.0
 01/01  08:00:00,7.8,19.72227413093572,6.680241631259305,18.654357188331048,27.54644965443239,889.4870609930967,889.4870609930967,0.0,0.0,0.0,0.0,1155.8939689110357,313.1565702013183,0.0,161.1211282134068,0.0,0.0
 01/01  09:00:00,10.0,19.755721105405375,8.894697174957804,18.559587785983034,10.385336022804367,319.8054409224096,319.8054409224096,0.0,0.0,0.0,0.0,453.65598353026706,121.24732651396906,0.0,0.0,0.0,0.0
 01/01  10:00:00,12.8,20.498590688676252,12.228289090543813,18.481849272475205,0.0,-474.355169756127,-474.355169756127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
