Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,19.98775782056536,4.396254192296471,19.713443641204545,-1118.6839269916018,-1118.6839269916018,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,19.4137479127253,4.446146501155265,19.441450478691568,-552.809324067046,-552.809324067046,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,18.80190594396755,4.274954694860468,19.30009396229595,-128.00573552730566,-128.00573552730566,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,6.1,208.9247604764715,57.867614721053386,0.0,192.5307193545175,5.264869170844742,0.0,18.63217898860008,4.106896372972162,19.139263431748308,143.78919813969878,143.78919813969878,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,6.1,387.7835175046468,106.59151057430797,0.0,186.19554414464417,9.730341849868328,0.0,18.60691439353624,4.07403260911395,18.997659570572086,298.4684732492924,298.4684732492924,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,7.2,1497.3934527659922,396.5950865852464,0.0,149.21516147496857,35.796690924778304,0.0,19.477487107562112,5.589618492154939,18.85067150831284,1137.3518673650797,1137.3518673650797,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,7.8,1651.8521599167425,441.4369156134752,0.0,144.7420236193159,38.949670001472626,0.0,19.707640272023966,6.2947569280387645,18.74228103753099,1275.3775865939588,1275.3775865939588,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,7.8,1295.76954267529,350.35704993222765,0.0,156.3266854466053,30.78399357237149,0.0,19.73754164230811,6.757998490171416,18.634717839724164,989.7233594123991,989.7233594123991,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,10.0,1936.4091554968372,504.2315345973777,0.0,0.0,43.16188576921005,85.44000000000004,19.700219267055473,9.335968121788373,18.539489703604296,361.3030440531402,361.3030440531402,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,12.8,0.0,0.0,0.0,0.0,0.0,85.44000000000004,19.109889508894856,12.36672554378106,18.466229167167054,-443.77797126697624,-443.77797126697624,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,12.8,0.0,0.0,0.0,0.0,0.0,85.44000000000004,19.447625076257264,14.921368935681258,18.416405478088745,-1024.6185128801171,-1024.6185128801171,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,12.8,0.0,0.0,0.0,0.0,0.0,56.31735322626314,20.24774853657594,16.965475673740627,18.39600281380456,-1349.6919336137398,-1349.6919336137398,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,22.312009062526073,21.42735231350076,18.402196205559363,-2125.419113095788,-2125.419113095788,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,13.9,0.0,0.0,0.0,0.0,3.812479004991513,0.0,23.316943311147316,22.01720641041186,18.42998008586685,-2953.060499268244,-2953.060499268244,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,13.3,0.0,0.0,0.0,0.0,25.528301559206838,0.0,23.21629727617158,20.44585240226199,18.51993181095839,-3632.775039182374,-3632.775039182374,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,12.2,0.0,0.0,0.0,0.0,37.59615056550829,0.0,23.241582220116413,18.232600885130662,18.605662288210336,-4775.682180284188,-4775.682180284188,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,12.2,0.0,0.0,0.0,0.0,36.485800155442156,0.0,23.33149899560983,15.920864168080971,18.691214339317934,-5057.002921793341,-5057.002921793341,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,8.9,0.0,0.0,0.0,200.0,0.0,85.44000000000004,22.928417768280926,12.46433863310733,18.72315992357541,-4219.849559702834,-4219.849559702834,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,8.3,0.0,0.0,0.0,200.0,0.0,85.44000000000004,22.315028147016896,10.031810101435209,18.779550720445876,-3622.78121873726,-3622.78121873726,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,8.3,0.0,0.0,0.0,200.0,0.0,85.44000000000004,21.909729558531385,8.8190466689308,18.79742182885256,-3351.0561687875415,-3351.0561687875415,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,6.1,0.0,0.0,0.0,200.0,0.0,85.44000000000004,21.36327874173868,7.101702483834355,18.78739192123896,-2579.3546924217007,-2579.3546924217007,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,5.0,0.0,0.0,0.0,200.0,0.0,61.566727219205994,21.128985138269204,5.746504621488282,18.758669207133636,-1996.818150958432,-1996.818150958432,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,21.100529174869852,4.9490855419078965,18.70930707536949,-2202.215723172334,-2202.215723172334,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,20.138845877833663,4.124728413755136,18.64367726975183,-1161.505781144655,-1161.505781144655,0.0,0.0,0.0,0.0,0.0,0.0
