Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.0,17.941078483987432,2.076203080436959,18.41179675209292,41.299731143068975,897.5167071096248,897.5167071096248,0.0,0.0,0.0,0.0,1187.4466008039278,390.9534744170221,7.74627531387806,139.45580848683835,0.0,0.0
 01/01  02:00:00,-1.1,18.34244390496792,2.0843477973394218,17.9739758368218,74.6735847696469,1638.0247555941278,1638.0247555941278,0.0,0.0,0.0,0.0,2170.3282230423238,686.3801603133113,23.148743399926538,90.28511634022942,0.0,0.0
 01/01  03:00:00,1.0,18.251187165300593,3.1287548577296045,17.776775300372766,101.84355123111905,2265.700144618353,2265.700144618353,0.0,0.0,0.0,0.0,3080.1208232312615,925.6745785423217,57.767962160086725,50.085367515244286,0.0,0.0
 01/01  04:00:00,1.0,18.453768645732712,3.58443635723512,17.546255935957504,120.23520451667709,2649.3549957892537,2649.3549957892537,0.0,0.0,0.0,0.0,3632.106810463054,1072.6722583742212,82.33305207584479,22.719705331068397,0.0,0.0
 01/01  05:00:00,2.2,18.592670262446696,4.428284283225317,17.384393583978497,113.32183897186783,2535.6047983784465,2535.6047983784465,0.0,0.0,0.0,0.0,3527.1078944161513,1029.1745016282014,73.55491137007037,33.30222105129765,0.0,0.0
 01/01  06:00:00,2.0,18.58075606466862,4.668944406486647,17.198165695027328,136.86786412613517,4075.7212175099266,4075.7212175099266,0.0,0.0,0.0,0.0,4255.946688795072,1216.476994409777,101.52337184326687,0.0,0.0,0.0
 01/01  07:00:00,2.0,19.253791676811318,4.924243193127577,17.061561839875836,136.86786412613517,3249.106630568589,3249.106630568589,0.0,0.0,0.0,0.0,4256.353737039695,1215.9951560363045,101.52337184326687,0.0,0.0,0.0
 01/01  08:00:00,2.2,19.43292837258578,5.069891083610324,16.94785404543776,136.86786412613517,3297.0300479685193,3297.0300479685193,0.0,0.0,0.0,0.0,4283.640557374603,1239.2889088839672,97.91591842591613,0.0,0.0,0.0
 01/01  09:00:00,3.0,19.587577015805326,5.6432902218417755,16.83104249006981,136.86786412613517,3164.148517005884,3164.148517005884,0.0,0.0,0.0,0.0,4318.422558260611,1237.6159687017591,108.25745265890745,0.0,0.0,0.0
 01/01  10:00:00,2.8,19.727786755192408,6.01054359753269,16.722582406056247,123.59352798829295,2710.08596718867,2710.08596718867,0.0,0.0,0.0,0.0,3818.1811893203912,1122.6769010686596,101.61004828254377,18.03203857749729,0.0,0.0
