Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.0,1385.08815345559,452.98285072147553,8.982206263590598,129.41525422944545,47.88920114914197,0.0,18.025687453046885,2.395421534888538,18.399577647620774,999.3400505368982,999.3400505368982,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,2384.1275218914247,750.7742482565545,25.279536415676468,79.53649179825885,81.54694925458693,0.0,18.449257397639276,2.3289085111456935,17.961318584980265,1711.0701250746215,1711.0701250746215,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.0,3328.816866869728,995.7994573080615,62.01795148214387,38.18355003054492,109.3357846419829,0.0,18.38213269585533,3.2848690776622815,17.76708397293526,2351.6344793453154,2351.6344793453154,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,1.0,3718.0382502706375,1098.3227022437957,84.08880450661897,17.957536756964963,122.79854129874785,0.0,18.537705140820766,3.6757677536876354,17.541908654934968,2651.1701621522625,2651.1701621522625,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,2.2,3472.5261631943863,1016.2035285219765,72.50995085036693,34.77946546157633,111.71163876750389,0.0,18.61821883016234,4.4572315022171285,17.381280248054164,2491.065507997484,2491.065507997484,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,2.0,4232.497217525928,1210.5082353033072,100.97590588825688,0.0,136.1298025883479,0.0,18.605865432568905,4.684355988006928,17.194360958373725,4020.3541215170844,4020.3541215170844,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,2.0,4232.91218979239,1210.016880487814,100.97590588825688,0.0,136.1298025883479,0.0,19.27660777955144,4.934391731963781,17.058987912118674,3207.572994171591,3207.572994171591,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,2.2,4260.093972908517,1233.1387708735451,97.38790570511641,0.0,136.1298025883479,0.0,19.452800854387142,5.0750997100109325,16.94563444764019,3255.421464357647,3255.421464357647,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,3.0,4294.750913855265,1231.4003829659237,107.67367309533705,0.0,136.1298025883479,85.44000000000005,18.942490235818063,5.646106252511798,16.829114528382057,3124.7848385393518,3124.7848385393518,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,2.8,4265.180211491649,1211.9798127698123,111.0768226821894,0.0,136.1298025883479,85.44000000000005,18.804043784822923,6.065972442969446,16.69474003077282,2772.8551216854503,2772.8551216854503,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,2.8,4268.050223841462,1208.5801723746217,111.0768226821894,0.0,136.1298025883479,85.44000000000005,18.750969220691637,6.430286954819922,16.586482671642564,2809.6417553213287,2809.6417553213287,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,3.9,4287.203161787106,1199.640696552304,109.83662545059909,3.223650328431371,133.19926407528865,85.44000000000005,19.293148600312453,8.315352685269744,16.494765174967952,2094.589299438325,2094.589299438325,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,5.0,2332.0532759243333,683.4176097922546,59.25851274795785,90.7030201961363,74.13438443014121,59.6507573291041,19.645590664117282,10.448182970112967,16.42739532098848,1095.3633171928013,1095.3633171928013,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,5.0,326.8779053968238,101.88459799898247,8.773079179139625,183.81884705850698,10.97535356331,0.0,19.816696155660264,11.599508402757252,16.351536512860754,242.97201077021236,242.97201077021236,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,6.0,0.0,0.0,0.0,200.0,0.0,0.0,19.90435946290009,11.210030481000999,16.322402904216283,-242.93918690878127,-242.93918690878127,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,7.0,0.0,0.0,0.0,200.0,0.0,0.0,20.09513444801997,11.042362568535864,16.320262304025576,-279.8093556176682,-279.8093556176682,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,5.0,60.329482693261404,19.141748224282747,1.6369314329655582,196.98511505263184,2.0449106443693865,0.0,19.720630289050238,8.412953435680675,16.320284033166583,46.92035192103867,46.92035192103867,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,4.0,1635.8081843540936,501.1261515642732,46.38510219068911,119.10840338004954,54.7555133715064,83.60434462093768,19.668703696221122,8.217020068859645,16.33489619399857,77.27555631054929,77.27555631054929,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,5.0,1758.1837154357481,527.1823520222313,59.95203426504324,113.21021098587558,58.80212379523673,85.44000000000005,19.71490800525239,7.3142482531919155,16.31359415250652,21.91399304510378,21.91399304510378,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,3.9,1871.3580943734287,570.4106555057307,60.945916706622945,106.1144757800562,63.484019566398935,85.44000000000005,19.64630118184968,6.7282336935310285,16.284082916971208,82.17093158765238,82.17093158765238,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,3.0,1984.5263249775148,611.366391524343,61.520749119944206,99.30569345641888,67.99310930407485,85.44000000000005,19.658810304223817,6.298755514405978,16.246251715234884,236.78531005800323,236.78531005800323,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,2.2,2079.1610106330154,648.0030400540008,66.66242980113107,92.28702342158084,72.598064273208,85.44000000000005,19.648726910555897,5.636648493647388,16.203603331434213,460.51509723080653,460.51509723080653,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,2.2,700.9726533478915,227.40459489478258,23.3934609664806,162.20090805739076,25.476417605711493,36.173181482409206,18.967427768649944,4.378456545826956,16.133902877628827,102.3688505893424,102.3688505893424,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,1.1,687.9010118674842,224.10878365151294,21.801826961727617,162.24814539695052,25.405864206033787,0.0,18.554367102380834,3.429085700561956,16.071686888927466,468.6696909090588,468.6696909090588,0.0,0.0,0.0,0.0,0.0,0.0
 01/20  01:00:00,-2.8,3966.481877719951,1242.7868553171138,42.87621199433503,0.0,136.1298025883479,0.0,18.638285089319147,-3.702924749002965,18.30001959304407,2949.647062441112,2949.647062441112,0.0,0.0,0.0,0.0,845.2422855804366,845.2422855804366
 01/20  02:00:00,-2.8,3967.2668600323555,1241.8607474056673,42.87621199433503,0.0,136.1298025883479,0.0,18.62170316099559,-1.9202313051390394,17.85245456525435,3184.953794318888,3184.953794318888,0.0,0.0,0.0,0.0,835.5363888948723,835.5363888948723
