Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.2,18.21306327511247,-1.1175794088194277,18.950582112406355,45.42739595984482,925.7410085945357,925.7410085945357,0.0,0.0,0.0,0.0,1307.3432880852351,436.4466004857641,0.02188347133800639,126.7576093457961,0.0,0.0
 01/01  02:00:00,-2.2,18.338390101347766,-1.017362805426709,18.594893551867425,74.48158458660242,1559.8027724723652,1559.8027724723652,0.0,0.0,0.0,0.0,2207.2071200074224,709.8966528867983,0.035879573429787696,79.9136712333816,0.0,0.0
 01/01  03:00:00,-2.2,18.330027433848453,-0.7496017102760575,18.375428409692883,102.46420433510116,2158.354315120956,2158.354315120956,0.0,0.0,0.0,0.0,3117.7629169808138,978.4907486069989,0.04935947565294654,34.797416624618236,0.0,0.0
 01/01  04:00:00,-1.7,18.49149533134809,-0.32407157959991906,18.161679418034975,114.15282309754427,2413.9833193374434,2413.9833193374434,0.0,0.0,0.0,0.0,3562.907686493558,1094.2889023707198,0.05499013010549665,15.952024744936754,0.0,0.0
 01/01  05:00:00,-1.7,18.55130796825657,-0.009770260146260118,17.976100126045147,117.92170125371753,2460.4307293472357,2460.4307293472357,0.0,0.0,0.0,0.0,3691.4399245432746,1133.7947490534912,0.05680568874896603,9.875481706280297,0.0,0.0
 01/01  06:00:00,-2.2,19.3347458372338,0.6543069522588165,17.791823976400433,124.04791916684411,3621.3414429137247,3621.3414429137247,0.0,0.0,0.0,0.0,3646.1808401707513,1125.1818431582856,46.26310355391973,0.0,1455.8720621456887,1455.8720621456887
 01/01  07:00:00,-3.3,19.604866634663352,0.5069816045679915,17.65136780338187,124.04791916684411,3519.6578347026243,3519.6578347026243,0.0,0.0,0.0,0.0,3515.1280795373677,1129.840218082763,47.65414067102604,0.0,1534.863136999315,1534.863136999315
 01/01  08:00:00,-1.7,19.6929931835149,0.6580784198419766,17.51073953029605,124.04791916684411,3027.92501606885,3027.92501606885,0.0,0.0,0.0,0.0,3841.9329652747033,1204.6595679882557,9.716404638005622,0.0,670.2656664038113,670.2656664038113
 01/01  09:00:00,-1.7,19.725145282474873,0.9466071159440974,17.363806753182434,124.04791916684411,2535.176790241394,2535.176790241394,0.0,0.0,0.0,0.0,3883.7556732142048,1220.1781032468853,0.05975629998568414,0.0,48.034830214752674,48.034830214752674
 01/01  10:00:00,0.0,19.898145422580463,2.7024826018737964,17.244712029258388,82.53761688950621,1570.4227513142414,1570.4227513142414,0.0,0.0,0.0,0.0,2599.735897974734,824.4809579742902,0.039760254459332886,66.92531341847376,0.0,0.0
 01/01  11:00:00,0.0,19.956251277661128,4.072575208749019,17.129285602284234,45.77821388454754,787.284427786517,787.284427786517,0.0,0.0,0.0,0.0,1391.6836201934161,458.8731443359031,0.02205241091880596,126.19218082749745,0.0,0.0
 01/01  12:00:00,2.8,20.0110241926611,7.642093442238998,17.039097060815397,6.974326542389579,20.75155669247397,20.75155669247397,0.0,0.0,0.0,0.0,220.54565936293028,71.78228381983622,0.0033596822682264074,188.75538723437936,0.0,0.0
 01/01  13:00:00,3.9,20.438619598586378,10.697151010668414,16.977410329409828,0.0,-401.6239488312931,-401.6239488312931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,3.9,20.905500017592033,11.84927221954795,16.94073144581043,0.0,-873.9921803113248,-873.9921803113248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,4.4,21.586363890402794,12.362073890405744,16.923679543222573,0.0,-1431.8662424481536,-1431.8662424481536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,3.3,21.76013940250136,10.820285128977446,16.918437948855814,0.0,-1567.779910805395,-1567.779910805395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,3.3,21.043942436613893,8.030154788314311,16.918183604865472,0.0,-1040.8514228918575,-1040.8514228918575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,0.6,20.57968771073005,4.810458853329463,16.919563317542977,0.0,-638.4831779814322,-638.4831779814322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,-0.6,20.316979338233,1.5664141654126216,16.893959688264715,0.0,-471.20234501510095,-471.20234501510095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,0.6,20.14652057946023,0.4990854605269892,16.844538032677903,0.0,-333.1450547784352,-333.1450547784352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,0.0,19.777893333619144,-0.01938893553422028,16.780677656468466,3.6229315330819314,24.308191897878714,24.308191897878714,0.0,0.0,0.0,0.0,105.88315207887757,36.484330174095135,0.0017452488591619248,194.15877870758385,0.0,0.0
 01/01  22:00:00,0.0,19.741090343456186,-0.48203029218886495,16.708117131367427,20.85245344025804,439.69857582907207,439.69857582907207,0.0,0.0,0.0,0.0,620.0826640544349,208.45078295878176,0.010045102914317192,166.37976944113439,0.0,0.0
 01/01  23:00:00,0.0,18.743205209154148,-0.6775430588247077,16.616536299907537,6.039878300153784,79.97606959736277,79.97606959736277,0.0,0.0,0.0,0.0,177.26611858524015,60.33451000869486,0.0029095472728234207,190.26195640118124,0.0,0.0
 01/01  24:00:00,0.0,18.563802584424867,-0.614667441475026,16.519899506524958,26.333022368175502,568.2241592812115,568.2241592812115,0.0,0.0,0.0,0.0,791.0126538352843,257.9241692238448,0.012685217644360803,157.54349701236586,0.0,0.0
 01/02  01:00:00,-1.1,18.33087824771811,-0.15070015907436352,16.346567438310267,49.316150051965266,981.340962787026,981.340962787026,0.0,0.0,0.0,0.0,1405.0894178091378,458.07745899624103,15.281272788198478,120.05250219523063,0.0,0.0
 01/02  02:00:00,-0.6,18.41464089309602,0.7140605078794502,16.24021181996408,75.97605336718945,1577.637650792165,1577.637650792165,0.0,0.0,0.0,0.0,2258.2953059799615,706.4706446294605,22.35486487543998,76.91559043669956,0.0,0.0
 01/02  03:00:00,-1.1,18.465997983305595,1.1127488694814858,16.14022279674335,95.48929658585642,1965.9300728291528,1965.9300728291528,0.0,0.0,0.0,0.0,2858.5883376833203,887.4340536301318,26.620231279423457,45.288634522772476,0.0,0.0
 01/02  04:00:00,-2.2,18.439008842807098,1.0839892858961233,16.03003379799054,119.92657970038995,2409.815313895795,2409.815313895795,0.0,0.0,0.0,0.0,3539.7700003996233,1098.3572041447935,39.8494073089739,5.316062996081938,0.0,0.0
