Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-19.4,18.59979060862301,-6.775296746973804,18.39845836743675,161.02322658204147,4483.764328886464,4483.764328886464,0.0,0.0,0.0,0.0,2879.2677506741816,1297.666946205699,15.747841540593111,0.0,3460.436831584593,3460.436831584593
 01/01  02:00:00,-19.4,18.567461345224086,-7.752140296454445,17.992155974747963,161.02322658204147,4882.5614418019595,4882.5614418019595,0.0,0.0,0.0,0.0,2881.911803487014,1295.2787810699942,15.747841540593111,0.0,3987.945045222155,3987.945045222155
 01/01  03:00:00,-18.0,18.565999360837868,-8.09997152456724,17.79374363829204,161.02322658204147,4920.691045862708,4920.691045862708,0.0,0.0,0.0,0.0,3042.0908068430595,1322.4787488631903,9.951432297699657,0.0,3943.5799489217598,3943.5799489217598
 01/01  04:00:00,-15.6,18.57516348768025,-7.842113848452535,17.57014949416803,161.02322658204147,4766.443371460295,4766.443371460295,0.0,0.0,0.0,0.0,3273.4049812742837,1346.8798499133175,18.490161335999623,0.0,3568.858265645195,3568.858265645195
 01/01  05:00:00,-15.6,18.577151549071438,-8.442134283933235,17.35333914162519,161.02322658204147,4853.068764389167,4853.068764389167,0.0,0.0,0.0,0.0,3273.437947831906,1346.8469175163266,18.490161335999623,0.0,3663.0270654587353,3663.0270654587353
 01/01  06:00:00,-14.0,19.32696241710822,-8.377844363320596,17.160191843433218,161.02322658204147,5907.286070912418,5907.286070912418,0.0,0.0,0.0,0.0,3431.114229743695,1361.2475206687232,24.533191815164795,0.0,4754.551555737647,4754.551555737647
 01/01  07:00:00,-17.0,19.565086315408124,-8.177065776055063,16.96771033982354,161.02322658204147,6070.45833994613,6070.45833994613,0.0,0.0,0.0,0.0,3094.6210112038248,1338.2290932489602,22.664275501010035,0.0,5361.427313174137,5361.427313174137
 01/01  08:00:00,-16.7,19.65111318969098,-8.013242417331817,16.79315241557867,161.02322658204147,5639.642355073989,5639.642355073989,0.0,0.0,0.0,0.0,3139.5149245890966,1355.9466196083113,16.097399105695402,0.0,4846.346299376401,4846.346299376401
 01/01  09:00:00,-16.7,19.67243275519992,-7.846110093020425,16.61418756619392,161.02322658204147,5591.944654779971,5591.944654779971,0.0,0.0,0.0,0.0,3137.7295699914207,1357.7223138280726,16.08192746146262,0.0,4788.568640855536,4788.568640855536
 01/01  10:00:00,-16.0,19.70300979951385,-4.984592499705394,16.4489944248766,161.02322658204147,4618.807601540446,4618.807601540446,0.0,0.0,0.0,0.0,3202.901884533575,1364.538961420264,19.341349962627547,0.0,3595.187408370051,3595.187408370051
