Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-19.4,2863.667949884506,1292.530502382555,15.670180305143807,0.0,160.22913282130864,0.0,18.65567088018834,-6.64609018688197,18.402082349255124,4416.109761660502,4416.109761660502,0.0,0.0,0.0,0.0,3453.059041355017,3453.059041355017
 01/01  02:00:00,-19.4,2866.403431182988,1290.062300438485,15.670180305143807,0.0,160.22913282130864,0.0,18.61808528483966,-7.657680677915353,17.996384280839795,4809.991431441002,4809.991431441002,0.0,0.0,0.0,0.0,3985.9306664125534,3985.9306664125534
 01/01  03:00:00,-18.0,3025.9040166117147,1317.0716019834877,9.902356332289584,0.0,160.22913282130864,0.0,18.604946772221936,-8.037364018008365,17.79799225750506,4847.192784365978,4847.192784365978,0.0,0.0,0.0,0.0,3915.171575741265,3915.171575741265
 01/01  04:00:00,-15.6,3256.3463226644894,1341.1521893729562,18.398976219022845,0.0,160.22913282130864,0.0,18.606636197115815,-7.797991214265629,17.574051320698548,4695.393394398452,4695.393394398452,0.0,0.0,0.0,0.0,3543.9140089167404,3543.9140089167404
 01/01  05:00:00,-15.6,3256.5563751774393,1340.9424402125853,18.398976219022845,0.0,160.22913282130864,0.0,18.602067408004935,-8.415833319543085,17.35716018026293,4787.249366855362,4787.249366855362,0.0,0.0,0.0,0.0,3631.1625377170117,3631.1625377170117
 01/01  06:00:00,-14.0,3413.607971357625,1355.1395959353658,24.412205203700026,0.0,160.22913282130864,0.0,19.37535635155035,-8.350000015182935,17.16374496629408,5846.010573377294,5846.010573377294,0.0,0.0,0.0,0.0,4792.287884453652,4792.287884453652
 01/01  07:00:00,-17.0,3078.232294295112,1332.707550445668,22.55250553993729,0.0,160.22913282130864,0.0,19.61006008948875,-8.15852966337164,16.972418966854676,6007.598852733696,6007.598852733696,0.0,0.0,0.0,0.0,5366.7779432922325,5366.7779432922325
 01/01  08:00:00,-16.7,3122.9739315793627,1350.2762752757983,16.01801401035733,0.0,160.22913282130864,0.0,19.687407793650895,-8.000238358921735,16.797529239783973,5573.924080109875,5573.924080109875,0.0,0.0,0.0,0.0,4838.887091337352,4838.887091337352
 01/01  09:00:00,-16.7,3121.403291734354,1351.8445869986213,16.002618665279734,0.0,160.22913282130864,85.44000000000005,19.52424748015332,-7.703658003604763,16.618362736563473,5528.730086144111,5528.730086144111,0.0,0.0,0.0,0.0,5473.305486242088,5473.305486242088
 01/01  10:00:00,-16.0,3190.6172673198434,1354.3769634649523,19.2459671681358,0.0,160.22913282130864,85.44000000000005,19.63060360242287,-4.7551817748414855,16.445360249508294,4627.146339391476,4627.146339391476,0.0,0.0,0.0,0.0,4886.054825866335,4886.054825866335
 01/01  11:00:00,-17.2,3047.176813251813,1332.3137889104198,24.376067856323953,0.0,160.22913282130864,85.44000000000005,19.677975475752636,-1.357733020855634,16.28395207967502,4123.777238700888,4123.777238700888,0.0,0.0,0.0,0.0,4260.567333122069,4260.567333122069
 01/01  12:00:00,-14.4,3318.3817520151742,1363.2174382320204,33.22254674215545,0.0,160.22913282130864,85.44000000000005,19.698080685766442,2.497930281065287,16.17891329612839,3127.4149603506994,3127.4149603506994,0.0,0.0,0.0,0.0,2498.9076136521644,2498.9076136521644
 01/01  13:00:00,-10.0,3823.796579364441,1425.3711057934288,31.365157965858398,0.0,160.22913282130864,85.44000000000005,19.714145981898884,6.4322821832687245,16.108571970812573,2094.8907793534963,2094.8907793534963,0.0,0.0,0.0,0.0,390.4182266078856,390.4182266078856
 01/01  14:00:00,-10.0,2702.388434449332,1050.375516724422,23.103367349482184,52.68132636455609,116.94240973800473,41.73260681543984,19.798711062354588,7.2138904560577455,16.042368177669307,1594.4204983474574,1594.4204983474574,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,-10.0,1679.9790793528343,675.972324276115,17.302502586142822,104.91438545897304,75.36461280454448,0.0,19.834947233555987,6.110365711262457,16.005140047880207,1221.4186574133073,1221.4186574133073,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-11.7,1856.6493802723521,770.4522223065925,19.57288820919536,90.03340878606846,87.03590327237016,0.0,19.639511004439058,3.948295546355429,15.963040832382559,1317.9642474983066,1317.9642474983066,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-11.7,3104.214927490062,1231.499617989569,31.406606956868835,23.54788564009307,139.659946850907,0.0,19.581306746205527,1.6040431214756246,15.914923797909756,2132.622330299775,2132.622330299775,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-15.0,3274.5509611253815,1359.6088041999449,27.099828562942598,0.0,160.22913282130864,85.44000000000005,19.566207048815283,-1.5556656520572152,15.837511105293869,2780.322552515634,2780.322552515634,0.0,0.0,0.0,0.0,1893.7675428614934,1893.7675428614934
 01/01  19:00:00,-14.4,3347.7406608008223,1370.7000636284386,24.68918451901301,0.0,160.22913282130864,85.44000000000005,19.642151095891762,-2.872220824349685,15.780200878234586,2825.5774485925176,2825.5774485925176,0.0,0.0,0.0,0.0,2294.284226322965,2294.284226322965
 01/01  20:00:00,-14.4,3346.0119422929465,1372.4552146173605,24.68918451901301,0.0,160.22913282130864,85.44000000000005,19.666492012986865,-3.8136939464125876,15.697256828239041,2932.4706898347813,2932.4706898347813,0.0,0.0,0.0,0.0,2533.6508100642122,2533.6508100642122
 01/01  21:00:00,-13.3,3454.060658115173,1382.954116361615,28.932522656070518,0.0,160.22913282130864,85.44000000000005,19.692046942599887,-4.214143254658155,15.612448708232751,2946.4591211737807,2946.4591211737807,0.0,0.0,0.0,0.0,2362.116097099011,2362.116097099011
 01/01  22:00:00,-14.4,3331.9175358876732,1368.0552674884987,28.970644687929695,0.0,160.22913282130864,85.44000000000005,19.69320291792399,-4.621842884538843,15.498987892324363,3411.4600538302184,3411.4600538302184,0.0,0.0,0.0,0.0,2924.2840633926676,2924.2840633926676
 01/01  23:00:00,-14.4,3332.032434795328,1367.9387056743374,28.970644687929695,0.0,160.22913282130864,85.44000000000005,19.071468361983204,-5.152361781822515,15.391443732626444,2775.9809316900028,2775.9809316900028,0.0,0.0,0.0,0.0,2047.0273631133673,2047.0273631133673
 01/01  24:00:00,-13.3,3468.5121159654573,1367.8933288097057,28.93523997561992,0.0,160.22913282130864,27.874275584370093,18.77988081674535,-5.398397050544437,15.257161725648814,3138.994842759137,3138.994842759137,0.0,0.0,0.0,0.0,1673.811078166199,1673.811078166199
 01/02  01:00:00,-13.9,3415.919682699671,1353.711109263173,27.052517273309032,0.0,160.22913282130864,0.0,18.642769983548988,-6.145900129954239,15.124509402780946,3854.052405293498,3854.052405293498,0.0,0.0,0.0,0.0,2302.737664779654,2302.737664779654
 01/02  02:00:00,-13.9,3418.1262428487944,1351.4259556915674,27.052517273309032,0.0,160.22913282130864,0.0,18.616162178597243,-6.28039335027533,14.998751634845853,4226.4451009198765,4226.4451009198765,0.0,0.0,0.0,0.0,2782.699125761423,2782.699125761423
 01/02  03:00:00,-13.9,3418.891662741426,1350.6213722775701,27.05506332342688,0.0,160.22913282130864,0.0,18.606017248197254,-6.137421846933288,14.873473403143395,4399.120737361236,4399.120737361236,0.0,0.0,0.0,0.0,2984.781160819781,2984.781160819781
 01/02  04:00:00,-13.0,3518.6771721006307,1361.664490332295,27.39039327694829,0.0,160.22913282130864,0.0,18.60639283765377,-6.118482825377544,14.755834359782844,4526.740041949417,4526.740041949417,0.0,0.0,0.0,0.0,3040.5987584302848,3040.5987584302848
 01/02  05:00:00,-12.8,3530.9468239066214,1360.1013605132412,30.596061288518683,0.0,160.22913282130864,0.0,18.604195554923283,-5.6388842195685305,14.636030328909422,4419.2958376006645,4419.2958376006645,0.0,0.0,0.0,0.0,2892.6345046941265,2892.6345046941265
 01/02  06:00:00,-11.1,3704.3240051378166,1373.6663102440943,36.80727204540097,0.0,160.22913282130864,0.0,19.377378841267905,-5.3661055040754,14.531348685499376,5428.772963358371,5428.772963358371,0.0,0.0,0.0,0.0,3912.181832883202,3912.181832883202
 01/02  07:00:00,-11.1,3686.2268658999847,1393.3578551354608,36.8004114324922,0.0,160.22913282130864,85.44000000000005,19.578291562946973,-4.375560942953604,14.45165250416171,5141.5297669048905,5141.5297669048905,0.0,0.0,0.0,0.0,4689.036227804161,4689.036227804161
