Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.8,17.999213767347392,-3.564378142846355,18.341811514393196,124.3927086633332,2455.169760146611,2455.169760146611,0.0,0.0,0.0,0.0,3365.710548824635,1191.951451447972,0.06279016511385217,37.58806111295312,0.0,0.0
 01/01  02:00:00,-8.3,18.328894473165562,-3.590181148154852,17.91902687001512,153.1844754155642,3209.632227519107,3209.632227519107,0.0,0.0,0.0,0.0,4179.681834524015,1441.975095841301,3.2533162100453294,0.0,429.0919531694176,429.0919531694176
 01/01  03:00:00,-8.9,18.487421240974765,-4.842908140802282,17.722972884440992,153.1844754155642,3990.289664085887,3990.289664085887,0.0,0.0,0.0,0.0,4084.3781186099577,1438.7716238580908,6.721968451719321,0.0,1556.0825214828515,1556.0825214828515
 01/01  04:00:00,-8.9,18.53780091322466,-5.2294504074584784,17.49482406169651,153.1844754155642,4695.957845647477,4695.957845647477,0.0,0.0,0.0,0.0,4080.6776353290625,1442.8923711654968,6.727865461798578,0.0,2485.1012387434803,2485.1012387434803
 01/01  05:00:00,-8.9,18.576371705175717,-5.291182479061862,17.292998304042907,153.1844754155642,4380.85732518166,4380.85732518166,0.0,0.0,0.0,0.0,4079.692412273208,1443.9833759892658,6.730512309031682,0.0,2180.8629722706696,2180.8629722706696
 01/01  06:00:00,-9.4,19.330614359298245,-5.189826284333243,17.091839845983216,153.1844754155642,5541.937987953095,5541.937987953095,0.0,0.0,0.0,0.0,4010.453467137096,1435.9763443955583,8.66456695406111,0.0,3596.860394605873,3596.860394605873
 01/01  07:00:00,-9.4,19.583805626437687,-5.307280301812343,16.93450595461621,153.1844754155642,5358.6658077255215,5358.6658077255215,0.0,0.0,0.0,0.0,3992.1440744922174,1456.358295939055,8.66456695406111,0.0,3486.313072950467,3486.313072950467
 01/01  08:00:00,-9.4,19.67164189145861,-5.130844817309788,16.760511214107122,153.1844754155642,4767.14096355746,4767.14096355746,0.0,0.0,0.0,0.0,3967.2560562126364,1456.20746507268,13.900095628348621,0.0,2860.5754771692987,2860.5754771692987
 01/01  09:00:00,-8.3,19.685571967245856,-4.935564106768688,16.59422689816364,153.1844754155642,5075.811772761037,5075.811772761037,0.0,0.0,0.0,0.0,4107.487751332042,1475.2318647147533,11.985382308322475,0.0,3075.7037425015706,3075.7037425015706
 01/01  10:00:00,-6.7,19.713101764861886,-3.3495640838314897,16.44782933613401,153.1844754155642,4265.757453995033,4265.757453995033,0.0,0.0,0.0,0.0,4327.90252043684,1502.7043712375582,7.055117485440703,0.0,1924.5658079066789,1924.5658079066789
 01/01  11:00:00,-5.6,19.724136271844063,-1.6126528712761867,16.3115066930753,153.1844754155642,4011.0845153806367,4011.0845153806367,0.0,0.0,0.0,0.0,4484.282343107879,1522.4613783452482,3.4052189631623335,0.0,1390.892665313354,1390.892665313354
 01/01  12:00:00,-5.0,19.72326424245597,-1.3645339098812832,16.1882473953098,153.1844754155642,4123.824261750879,4123.824261750879,0.0,0.0,0.0,0.0,4535.756463649241,1521.195885547411,10.08035425611597,0.0,1368.6748289611955,1368.6748289611955
 01/01  13:00:00,-5.0,19.7179811202983,-1.128075069043167,16.06811472894383,153.1844754155642,4100.826019004113,4100.826019004113,0.0,0.0,0.0,0.0,4535.942924852843,1520.9783371950962,10.08035425611597,0.0,1320.1479072010525,1320.1479072010525
 01/01  14:00:00,-2.8,19.76527325619854,0.8367856924254371,15.977146175910903,148.40554615096568,3100.6026749909106,3100.6026749909106,0.0,0.0,0.0,0.0,4690.503228671079,1510.8222311738712,3.1752972721233736,6.153774868810746,0.0,0.0
 01/01  15:00:00,-1.7,19.7952318983206,1.635544924824341,15.876971630242194,132.93377087726412,2915.001292361525,2915.001292361525,0.0,0.0,0.0,0.0,4290.572160100841,1370.615076661144,0.06710086867302317,26.438070955373405,0.0,0.0
 01/01  16:00:00,-1.7,19.882050523282906,1.6419996145952702,15.78006027395118,98.69127195214764,2071.6400606510233,2071.6400606510233,0.0,0.0,0.0,0.0,3100.519029720092,1018.230638620227,0.04981631112337395,71.14600410626065,0.0,0.0
