Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.8,3540.611776724356,1252.5423585688102,0.06577797730382354,29.133392103251452,130.2293755477015,0.0,18.22566410506946,-3.3588743897457753,18.339858985164337,2421.7946907976657,2421.7946907976657,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-8.3,4156.329743977996,1442.1559043374232,3.239484601704775,0.0,152.43670323996503,0.0,18.477878713614903,-3.471377719589046,17.928470384748923,3106.1892279885196,3106.1892279885196,0.0,0.0,0.0,0.0,460.3165947174407,460.3165947174407
 01/01  03:00:00,-8.9,4063.349429267679,1436.7661460470138,6.693389724998979,0.0,152.43670323996503,0.0,18.56380844070669,-4.800366280092077,17.728913283101683,3842.134504303609,3842.134504303609,0.0,0.0,0.0,0.0,1459.8133344167736,1459.8133344167736
 01/01  04:00:00,-8.9,4061.4502148297856,1438.8650003254515,6.699261663696135,0.0,152.43670323996503,0.0,18.5902113012114,-5.210972830102071,17.500024771914916,4561.564284867307,4561.564284867307,0.0,0.0,0.0,0.0,2413.420645972522,2413.420645972522
 01/01  05:00:00,-8.9,4061.059719333621,1439.2887523008467,6.701897257748823,0.0,152.43670323996503,0.0,18.600905689211785,-5.287392329350986,17.297968767698684,4271.016599608436,4271.016599608436,0.0,0.0,0.0,0.0,2088.8685580779793,2088.8685580779793
 01/01  06:00:00,-9.4,3992.80229878743,1430.540640454722,8.627729189512113,0.0,152.43670323996503,0.0,19.370359145327424,-5.182728810250711,17.09590395947307,5447.967801423136,5447.967801423136,0.0,0.0,0.0,0.0,3578.940167260098,3578.940167260098
 01/01  07:00:00,-9.4,3974.195627595185,1451.2510275974003,8.627729189512113,0.0,152.43670323996503,0.0,19.61209067259633,-5.305949421329304,16.93932939645327,5280.199838316061,5280.199838316061,0.0,0.0,0.0,0.0,3447.0606806023693,3447.0606806023693
 01/01  08:00:00,-9.4,3949.6975139794645,1450.7842945745563,13.840998797233983,0.0,152.43670323996503,0.0,19.689223622957147,-5.133386459048978,16.764549826726462,4698.077895695891,4698.077895695891,0.0,0.0,0.0,0.0,2818.4914948721944,2818.4914948721944
 01/01  09:00:00,-8.3,4089.5951383964198,1469.4437606349832,11.934425960031259,0.0,152.43670323996503,85.44000000000004,19.69919139647209,-4.81400000020502,16.597741414237383,5017.838484798296,5017.838484798296,0.0,0.0,0.0,0.0,4187.0931034679015,4187.0931034679015
 01/01  10:00:00,-6.7,4309.168443589812,1496.698811822539,7.025122361833012,0.0,152.43670323996503,85.44000000000004,19.69983162781088,-3.203429624999119,16.451019185432965,4234.782393865298,4234.782393865298,0.0,0.0,0.0,0.0,3238.3526817361703,3238.3526817361703
 01/01  11:00:00,-5.6,4465.5631865278365,1515.587051451754,3.3907415339881086,0.0,152.43670323996503,85.44000000000004,19.7074658294108,-1.446620346596927,16.31333188235956,4006.7904475151317,4006.7904475151317,0.0,0.0,0.0,0.0,2697.816224441103,2697.816224441103
 01/01  12:00:00,-5.0,4516.905927581505,1514.2227802077603,10.03749721333171,0.0,152.43670323996503,85.44000000000004,19.70382713614063,-1.21723039119866,16.189935450487567,4130.622207916302,4130.622207916302,0.0,0.0,0.0,0.0,2556.755145650335,2556.755145650335
 01/01  13:00:00,-5.0,4517.162130496692,1513.9238681491595,10.03749721333171,0.0,152.43670323996503,85.44000000000004,19.71014604293918,-0.9951471120741622,16.069427782840645,4104.135413971613,4104.135413971613,0.0,0.0,0.0,0.0,2331.4540286734286,2331.4540286734286
 01/01  14:00:00,-2.8,4839.542054506803,1551.865074582468,3.2621706843993934,0.0,152.43670323996503,24.702221778685736,19.721411690878156,0.8988791250345747,15.979423359463917,3091.2488397086254,3091.2488397086254,0.0,0.0,0.0,0.0,57.898067989671745,57.898067989671745
 01/01  15:00:00,-1.7,4192.527868611571,1340.2571627783877,0.06567114611047364,29.410899627402642,130.0190324142041,0.0,19.746293856081426,1.6187186995860012,15.876173970397803,2912.725771678355,2912.725771678355,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-1.7,2951.662829999791,971.2170716433218,0.04756160755144137,76.45271439566173,94.16485856956812,0.0,19.794466279391447,1.5911963299915204,15.77919388163324,2067.67515903168,2067.67515903168,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-1.7,2782.318457094032,920.1013626791221,0.045018256585766234,83.05938991243183,89.12940444449353,0.0,19.93338816216846,1.9511081480708496,15.709010445938876,1953.4855075898613,1953.4855075898613,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-1.7,3761.864300224445,1220.569401440852,5.924549785202778,44.20698273308881,118.63676933240544,85.44000000000004,19.78640294840574,1.874499178040595,15.656912680320247,1689.0943306475765,1689.0943306475765,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,-1.7,3825.265419349392,1234.8161859548006,6.011423551998702,41.92253467523261,120.37646611343399,85.44000000000004,19.73193235985285,1.6497385798053537,15.582683311454874,1556.7251970779544,1556.7251970779544,0.0,0.0,0.0,0.0,0.0,0.0
