Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-8.3,18.627926872537486,-6.245622157607245,16.739823115396035,135.8094680579532,3342.852476984821,3342.852476984821,0.0,0.0,0.0,0.0,3398.855275385124,1189.5728592162027,36.376983874561034,0.0,1875.8022983193646,1875.8022983193646
 01/01  02:00:00,-8.3,18.604085459923983,-5.0430620920660365,16.116581646787086,135.8094680579532,3671.5182152307425,3671.5182152307425,0.0,0.0,0.0,0.0,3417.1594730123734,1195.6137502223164,31.544028498178065,0.0,2134.715249293563,2134.715249293563
 01/01  03:00:00,-8.3,18.597841693899927,-4.1379864094443475,15.876907470053654,135.8094680579532,3814.3703880788453,3814.3703880788453,0.0,0.0,0.0,0.0,3436.581378271671,1200.6435027081566,26.665550837153194,0.0,2232.782858617443,2232.782858617443
 01/01  04:00:00,-8.3,18.594758556779233,-3.807416314310039,15.581081558406618,135.8094680579532,3918.3159509174257,3918.3159509174257,0.0,0.0,0.0,0.0,3418.8271705423153,1193.846614265473,31.522849000193162,0.0,2328.3505735893823,2328.3505735893823
 01/01  05:00:00,-8.9,18.590848509911833,-3.881950993534162,15.340699668561733,135.8094680579532,3988.4606941336588,3988.4606941336588,0.0,0.0,0.0,0.0,3365.3048769454017,1189.8326629402957,29.50306837141354,0.0,2450.2797567960247,2450.2797567960247
 01/01  06:00:00,-9.4,19.361862825994244,-4.263388929062854,15.11855985129944,135.8094680579532,5177.336085238123,5177.336085238123,0.0,0.0,0.0,0.0,3352.9951215382193,1197.8466961459403,18.97482318498883,0.0,3850.059825747096,3850.059825747096
 01/01  07:00:00,-10.0,19.593039330984226,-3.7412226407038465,14.948366968533449,135.8094680579532,5050.334735227239,5050.334735227239,0.0,0.0,0.0,0.0,3292.8919668336675,1214.5220648987115,14.364023029433246,0.0,3875.0593139317543,3875.0593139317543
 01/01  08:00:00,-10.6,19.66468922265129,-4.626637212405828,14.766507256081175,135.8094680579532,4867.679962984514,4867.679962984514,0.0,0.0,0.0,0.0,3207.124516790373,1205.0966594082724,20.317344242048105,0.0,3757.0426374956537,3757.0426374956537
 01/01  09:00:00,-11.0,19.685764863484003,-4.336434539838607,14.59971711912157,135.8094680579532,4512.739995688458,4512.739995688458,0.0,0.0,0.0,0.0,3206.4536980508988,1217.291931174177,8.519227272794744,0.0,3395.815943591822,3395.815943591822
 01/01  10:00:00,-11.0,19.727724199768083,-2.18453710166826,14.453138115438948,135.8094680579532,3219.3801588698625,3219.3801588698625,0.0,0.0,0.0,0.0,3161.9958556564325,1200.7884861620103,21.443637824340254,0.0,1917.8923452323897,1917.8923452323897
