Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-8.3,3377.7473363947506,1184.475944063373,36.1676410741892,0.0,135.02790973914645,0.0,18.652270975240164,-6.173817995065074,16.743251756958454,3267.7899535921388,3267.7899535921388,0.0,0.0,0.0,0.0,1801.310160569223,1801.310160569223
 01/01  02:00:00,-8.3,3397.010720907007,1189.279588053057,31.362498460295086,0.0,135.02790973914645,0.0,18.620036663593687,-5.000301416410102,16.119041107916914,3596.1830159572837,3596.1830159572837,0.0,0.0,0.0,0.0,2082.084482729941,2082.084482729941
 01/01  03:00:00,-8.3,3416.4920052970815,1194.087088538468,26.51209553407044,0.0,135.02790973914645,0.0,18.607607993972426,-4.118240698876325,15.879416181078536,3752.782190656115,3752.782190656115,0.0,0.0,0.0,0.0,2187.9333202765174,2187.9333202765174
 01/01  04:00:00,-8.3,3398.9665839253616,1187.1862667385494,31.341440846395844,0.0,135.02790973914645,0.0,18.607879322715043,-3.7959941036825424,15.583338375109328,3865.8603587344787,3865.8603587344787,0.0,0.0,0.0,0.0,2308.1612108568916,2308.1612108568916
 01/01  05:00:00,-8.9,3345.687364464903,1183.2667952317254,29.333283680804474,0.0,135.02790973914645,0.0,18.603859083434802,-3.8774375174309137,15.343071481260154,3941.4466796788,3941.4466796788,0.0,0.0,0.0,0.0,2431.9962331285215,2431.9962331285215
 01/01  06:00:00,-9.4,3333.449746846227,1191.2315133772017,18.865626594204844,0.0,135.02790973914645,0.0,19.406062590397216,-4.248785364841453,15.120819670654562,5133.057326664828,5133.057326664828,0.0,0.0,0.0,0.0,3906.7704646337797,3906.7704646337797
 01/01  07:00:00,-10.0,3273.05849038954,1208.5066765512445,14.281360739014772,0.0,135.02790973914645,0.0,19.62935133821296,-3.732549619183907,14.951761400588849,4999.905533320178,4999.905533320178,0.0,0.0,0.0,0.0,3884.799844167165,3884.799844167165
 01/01  08:00:00,-10.6,3187.950989482117,1198.9440090652029,20.200421691393117,0.0,135.02790973914645,0.0,19.694741046888844,-4.621672706834298,14.769444246232528,4812.488007323649,4812.488007323649,0.0,0.0,0.0,0.0,3757.206869577571,3757.206869577571
 01/01  09:00:00,-11.0,3187.4063232092517,1210.9312587463162,8.470200698726899,0.0,135.02790973914645,85.44000000000004,19.699135027445344,-4.1430258465561085,14.602616667606545,4459.238512790202,4459.238512790202,0.0,0.0,0.0,0.0,4523.671463563574,4523.671463563574
 01/01  10:00:00,-11.0,3143.550198790427,1194.1479591148116,21.32023366285764,0.0,135.02790973914645,85.44000000000004,19.701501556033183,-1.9265355258036425,14.455460454533982,3196.8225366644238,3196.8225366644238,0.0,0.0,0.0,0.0,3232.78119264068,3232.78119264068
 01/01  11:00:00,-11.0,3187.4274283629134,1210.5985150651481,8.532119863901555,0.0,135.02790973914645,85.44000000000004,19.70824541843695,-1.839198632909926,14.325597501550531,2633.326919407491,2633.326919407491,0.0,0.0,0.0,0.0,2368.9623417219946,2368.9623417219946
 01/01  12:00:00,-10.6,3232.8700014716355,1217.072677032042,6.988310925424832,0.0,135.02790973914645,85.44000000000004,19.702699058720253,-1.1559647464902176,14.228381200564836,2262.8986176816834,2262.8986176816834,0.0,0.0,0.0,0.0,1758.184329764023,1758.184329764023
 01/01  13:00:00,-10.0,3294.81319002405,1223.8934830250646,6.709236502428578,0.0,135.02790973914645,85.44000000000004,19.71472455808524,1.106218205044026,14.156357959278044,1737.4416526914338,1737.4416526914338,0.0,0.0,0.0,0.0,850.8818240548944,850.8818240548944
 01/01  14:00:00,-11.0,3187.5307329461757,1210.4865639986167,8.532119863901555,0.0,135.02790973914645,54.471062965342256,19.715908130598766,-0.3595051956812455,14.092197630035399,1576.3542769196738,1576.3542769196738,0.0,0.0,0.0,0.0,184.75285550000444,184.75285550000444
 01/01  15:00:00,-11.0,2946.182189534681,1131.4373091990294,7.975066377684483,13.057797947117521,125.81047765564055,0.0,19.738701907773237,-1.9302032222844032,14.045525940784986,1689.8092141711095,1689.8092141711095,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-12.0,3092.7163654411015,1201.220628859676,7.187509909973215,0.0,135.02790973914645,0.0,19.721575427912953,-2.576983807236795,14.015022097125907,1946.0196799701316,1946.0196799701316,0.0,0.0,0.0,0.0,316.967210186363,316.967210186363
 01/01  17:00:00,-13.3,2954.3089283748086,1180.5863229525532,11.18327506595065,0.0,135.02790973914645,0.0,19.71365318621324,-4.409779544477208,13.969669752183242,2690.440823968358,2690.440823968358,0.0,0.0,0.0,0.0,1384.5545630996749,1384.5545630996749
 01/01  18:00:00,-15.0,2804.286678775931,1163.9274426915567,8.049007550092593,0.0,135.02790973914645,85.44000000000004,19.688558608006726,-6.603368294806226,13.902618628278763,3198.469843730385,3198.469843730385,0.0,0.0,0.0,0.0,3364.530787897166,3364.530787897166
 01/01  19:00:00,-16.0,2705.1529734566607,1147.6477653826978,10.753727144438749,0.0,135.02790973914645,85.44000000000004,19.695063734244147,-7.428331777765775,13.817905528491899,3368.260434293037,3368.260434293037,0.0,0.0,0.0,0.0,4024.632211358241,4024.632211358241
 01/01  20:00:00,-15.6,2744.071117440391,1153.676754752991,9.90276904215106,0.0,135.02790973914645,85.44000000000004,19.686637035872675,-8.430542734726519,13.726725770082473,3575.0209036039687,3575.0209036039687,0.0,0.0,0.0,0.0,4335.43091515924,4335.43091515924
 01/01  21:00:00,-16.0,2705.407647716361,1147.398408705265,10.753727144438749,0.0,135.02790973914645,85.44000000000004,19.695132546926594,-8.41504527798633,13.617187632729074,3788.1128431013967,3788.1128431013967,0.0,0.0,0.0,0.0,4537.7353087486,4537.7353087486
 01/01  22:00:00,-15.6,2744.321573894471,1153.4570788291167,9.89604614869019,0.0,135.02790973914645,85.44000000000004,19.6922851699142,-7.922588026524841,13.507630323385774,4020.9061602392885,4020.9061602392885,0.0,0.0,0.0,0.0,4664.8997902974825,4664.8997902974825
 01/01  23:00:00,-16.0,2705.5504783359384,1147.2585424315212,10.753727144438749,0.0,135.02790973914645,85.44000000000004,19.03150538777278,-8.025816792994599,13.382703124932739,3342.5566410044285,3342.5566410044285,0.0,0.0,0.0,0.0,3687.3408317536037,3687.3408317536037
 01/01  24:00:00,-15.0,2803.6063031627236,1143.4862414745858,12.992290910446883,0.0,135.02790973914645,52.24342443642577,18.756024159109973,-7.55523033719386,13.238333976633927,3699.939368648291,3699.939368648291,0.0,0.0,0.0,0.0,3532.525678722834,3532.525678722834
 01/18  01:00:00,-19.4,2443.5700029866753,1096.5921171019236,3.3531314613905243,0.0,135.02790973914645,0.0,18.62050762567092,-14.538609721526413,16.62262282715623,5517.405467644221,5517.405467644221,0.0,0.0,0.0,0.0,5951.838690542279,5951.838690542279
 01/18  02:00:00,-19.4,2443.9725621537473,1096.2335753873942,3.3514632330856258,0.0,135.02790973914645,0.0,18.59666178240164,-13.482973342192269,15.992251598481095,5711.593027212239,5711.593027212239,0.0,0.0,0.0,0.0,6052.141392002876,6052.141392002876
 01/18  03:00:00,-20.0,2395.267941877599,1087.7361928293974,2.937665810748711,0.0,135.02790973914645,0.0,18.597869716499837,-12.95815108542127,15.703753481122313,6018.060605147251,6018.060605147251,0.0,0.0,0.0,0.0,6458.247935722096,6458.247935722096
 01/18  04:00:00,-18.9,2486.0951576729612,1100.4083957835853,4.206982555664424,0.0,135.02790973914645,0.0,18.590591992595524,-12.015520874681641,15.377293579310564,6073.345907532359,6073.345907532359,0.0,0.0,0.0,0.0,6380.237812022865,6380.237812022865
 01/18  05:00:00,-20.0,2390.4734532541406,1084.4694133542969,5.131785246918855,0.0,135.02790973914645,0.0,18.59718991298262,-12.344995806417376,15.086478547425864,6216.671030273992,6216.671030273992,0.0,0.0,0.0,0.0,6637.596440714946,6637.596440714946
 01/18  06:00:00,-18.3,2533.344166946276,1105.0137673081686,6.2469344643016615,0.0,135.02790973914645,0.0,19.407237499914526,-11.429624431227737,14.835605672620403,7081.376166270833,7081.376166270833,0.0,0.0,0.0,0.0,7534.619812484267,7534.619812484267
 01/18  07:00:00,-17.8,2558.6913327925613,1124.705963491737,7.298453355490285,0.0,135.02790973914645,85.44000000000004,19.58625955528992,-10.184556387779164,14.624288181408252,6635.543159351577,6635.543159351577,0.0,0.0,0.0,0.0,8099.839146488897,8099.839146488897
 01/18  08:00:00,-17.2,2608.1027092903287,1135.4000731395743,7.417219512437474,0.0,135.02790973914645,85.44000000000004,19.65573527860094,-10.475103300570511,14.402687916901511,6356.987351357651,6356.987351357651,0.0,0.0,0.0,0.0,7719.752503608495,7719.752503608495
 01/18  09:00:00,-16.7,2648.3075396201716,1141.4294212822174,8.592258676210724,0.0,135.02790973914645,39.24417006896876,19.694836006874947,-9.88360634065948,14.201401358063535,5888.739532715539,5888.739532715539,0.0,0.0,0.0,0.0,6484.137997815602,6484.137997815602
 01/18  10:00:00,-16.0,2715.7006174105054,1152.7944046098025,6.963484900001041,0.0,135.02790973914645,0.0,19.70959467919136,-8.38954997642103,14.01563867936802,4763.103601214443,4763.103601214443,0.0,0.0,0.0,0.0,4517.983461157968,4517.983461157968
 01/18  11:00:00,-14.0,2893.45138139574,1174.1586198763976,9.49519498637823,0.0,135.02790973914645,0.0,19.72388862114015,-8.17297267910841,13.859838191972754,3877.2663506644367,3877.2663506644367,0.0,0.0,0.0,0.0,3210.0837976869047,3210.0837976869047
 01/18  12:00:00,-13.0,2999.833846715049,1190.5700219543112,5.988169125179261,0.0,135.02790973914645,0.0,19.7154778347323,-5.851245055288586,13.732572341349869,3704.98737337676,3704.98737337676,0.0,0.0,0.0,0.0,2870.471833165402,2870.471833165402
 01/18  13:00:00,-13.3,2972.3530169993232,1187.1172199875448,5.6551442738601905,0.0,135.02790973914645,0.0,19.718666827580115,-5.276445050898201,13.612839473255997,3794.07461867241,3794.07461867241,0.0,0.0,0.0,0.0,2893.7599577053015,2893.7599577053015
 01/18  14:00:00,-13.0,3000.2318389451734,1190.1539159768458,5.988169125179261,0.0,135.02790973914645,85.44000000000004,19.709075332748405,-2.8974529647966447,13.514068232915779,3648.1113558467405,3648.1113558467405,0.0,0.0,0.0,0.0,3697.71368011574,3697.71368011574
 01/18  15:00:00,-14.0,2922.6164179186044,1185.1281380254877,0.30446800568303156,0.0,135.02790973914645,7.587696894450228,19.719078716944594,-5.028037621972464,13.409781439633253,3990.9499386971856,3990.9499386971856,0.0,0.0,0.0,0.0,3119.1901521187633,3119.1901521187633
 01/18  16:00:00,-15.0,2828.8813959590834,1173.3040523184097,0.06504557541154594,0.0,135.02790973914645,0.0,19.715756075626594,-6.4956139404185,13.315582539295812,3457.215301193086,3457.215301193086,0.0,0.0,0.0,0.0,2580.273712071318,2580.273712071318
 01/18  17:00:00,-16.7,2667.1286401838265,1149.3637965809216,2.0133207932805486,0.0,135.02790973914645,0.0,19.71602799350993,-6.337615498533558,13.228636289978576,3380.9406188868106,3380.9406188868106,0.0,0.0,0.0,0.0,2745.5981832594553,2745.5981832594553
 01/18  18:00:00,-17.8,2564.9691131279205,1133.164572017575,3.4969705008193652,0.0,135.02790973914645,0.0,19.705837571493753,-9.29650450405357,13.145177453630872,4098.267575515236,4098.267575515236,0.0,0.0,0.0,0.0,3695.504812625777,3695.504812625777
 01/18  19:00:00,-18.0,2553.8090781872315,1132.9865137337933,1.2356079995216258,0.0,135.02790973914645,85.44000000000004,19.686952975645916,-9.48148967511145,13.05933576482678,4195.704178435284,4195.704178435284,0.0,0.0,0.0,0.0,5152.612692763296,5152.612692763296
 01/18  20:00:00,-19.4,2435.8706975076834,1115.0598752928315,0.06504557541154594,0.0,135.02790973914645,85.44000000000004,19.691818251704447,-10.690587492404296,12.94660066983472,4555.459646261374,4555.459646261374,0.0,0.0,0.0,0.0,5750.441890838707,5750.441890838707
 01/18  21:00:00,-21.1,2292.993069120673,1091.1596453014486,0.06504557541154594,0.0,135.02790973914645,83.89163542228499,19.68542960645643,-12.188425436808505,12.821091338694684,5042.704617437523,5042.704617437523,0.0,0.0,0.0,0.0,6516.568421715525,6516.568421715525
 01/18  22:00:00,-22.2,2203.5765798572397,1074.92909355616,0.06504557541154594,0.0,135.02790973914645,0.0,19.695538377168624,-14.473415313025017,12.685074955789624,5683.776310751167,5683.776310751167,0.0,0.0,0.0,0.0,6316.228483779805,6316.228483779805
 01/18  23:00:00,-23.3,2115.9985497230327,1058.541413994213,0.06504557541154594,0.0,135.02790973914645,0.0,18.90000216845864,-14.88513669393585,12.543078722312886,5011.509053633963,5011.509053633963,0.0,0.0,0.0,0.0,5750.072232983774,5750.072232983774
 01/18  24:00:00,-23.9,2084.4583436682565,1037.6860692442908,0.06504557541154594,0.0,135.02790973914645,0.0,18.66992113362066,-16.041555433064996,12.357263383853372,5788.423933817598,5788.423933817598,0.0,0.0,0.0,0.0,6656.565878475289,6656.565878475289
 01/19  01:00:00,-24.4,2050.4206503106357,1026.7916986472544,0.06504557541154594,0.0,135.02790973914645,0.0,18.60996292892604,-16.474086145745858,12.192902916998683,6493.869886393732,6493.869886393732,0.0,0.0,0.0,0.0,7638.021622510767,7638.021622510767
 01/19  02:00:00,-25.6,1960.3774870650432,1007.5082838404611,0.34790529214547,0.0,135.02790973914645,0.0,18.5833771160743,-18.094286667064296,12.012944657280785,7218.6232352182,7218.6232352182,0.0,0.0,0.0,0.0,8598.668119734391,8598.668119734391
 01/19  03:00:00,-26.1,1922.8262438309648,998.7777172303906,0.9270089953008627,0.0,135.02790973914645,0.0,18.587557001842658,-17.74931079368458,11.842488870957972,7479.307446569061,7479.307446569061,0.0,0.0,0.0,0.0,9094.731921408707,9094.731921408707
 01/19  04:00:00,-26.7,1879.5032086199171,989.6523656665659,0.7305196901914293,0.0,135.02790973914645,0.0,18.57727065257624,-18.696788670726345,11.663020783776568,7854.862141361486,7854.862141361486,0.0,0.0,0.0,0.0,9535.167683886051,9535.167683886051
 01/19  05:00:00,-28.3,1765.497776263752,963.8514371752486,1.0548251530349988,0.0,135.02790973914645,0.0,18.398930111297574,-18.380007203650262,11.48052115159289,8035.722697148396,8035.722697148396,0.0,0.0,0.0,0.0,9583.984234508896,9583.984234508896
 01/19  06:00:00,-31.1,1582.4054838657503,916.8973504080502,0.17765100113665513,0.0,135.02790973914645,0.0,17.936638442879637,-19.742240891649168,11.278772532844211,9903.032057542598,9903.032057542598,0.0,0.0,0.0,0.0,9583.984234508896,9583.984234508896
 01/19  07:00:00,-31.7,1552.288945701827,902.361360086657,0.2021602496188234,0.0,135.02790973914645,85.44000000000004,17.186652389475245,-21.155629430737587,11.083971778583846,10151.769622814752,10151.769622814752,0.0,0.0,0.0,0.0,9583.984234508896,9583.984234508896
 01/19  08:00:00,-31.7,1565.630086688496,895.088448189149,0.2021009478698672,0.0,135.02790973914645,85.44000000000004,16.72783960100041,-20.853729018850157,10.880555774755035,10280.266480684633,10280.266480684633,0.0,0.0,0.0,0.0,9583.984234508896,9583.984234508896
