Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,11.1,19.08726633903898,7.938599000992122,19.26287547356911,45.04781400695834,1442.1271721099092,1442.1271721099092,0.0,0.0,0.0,0.0,2073.9706626379325,517.5258935060137,0.0,0.0,0.0,0.0
 01/01  02:00:00,11.1,18.69483783700276,9.321306990912536,18.9519126130205,33.69237565917297,1168.3882584414114,1168.3882584414114,0.0,0.0,0.0,0.0,1532.8019093381051,392.63886155695786,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.0,17.4729855370959,6.304970598632306,18.756242459316997,72.09152378008969,1820.425160300183,1820.425160300183,0.0,0.0,0.0,0.0,2259.147144172242,659.6334805684144,56.99643673108128,103.20248839644334,0.0,0.0
 01/01  04:00:00,4.0,19.027201224546783,5.889766153812776,18.579465668038303,97.1185102685417,2511.9334430386425,2511.9334430386425,0.0,0.0,0.0,0.0,3126.568177300046,883.4288970389247,60.11466577165124,69.5421188025995,0.0,0.0
 01/01  05:00:00,4.4,18.70773698414232,5.537098690956969,18.510784146784864,74.216549191192,1806.4641492235005,1806.4641492235005,0.0,0.0,0.0,0.0,2388.5149566749246,707.6708822046548,39.00427189248477,100.4093268782094,0.0,0.0
 01/01  06:00:00,2.2,19.251059648271323,4.4265128197153665,18.341099435551275,110.82928187790003,2834.2975455813157,2834.2975455813157,0.0,0.0,0.0,0.0,3629.7457885170843,1074.0573159434716,25.765191706006338,51.36431228464018,0.0,0.0
 01/01  07:00:00,1.7,19.62462376279681,3.667322186457549,18.257036679894913,108.75121557822897,2663.2582864862306,2663.2582864862306,0.0,0.0,0.0,0.0,3546.000045089913,1073.3687878416595,15.580075056417316,54.256341778100015,0.0,0.0
 01/01  08:00:00,1.7,19.709310196176126,3.4490100067663536,18.162766289088964,99.99951899933748,2361.9019745986097,2361.9019745986097,0.0,0.0,0.0,0.0,3232.1447070114673,994.2046999037707,14.326316034982264,65.98461816001577,0.0,0.0
 01/01  09:00:00,1.7,19.720168552723333,3.6486037181790922,18.064640660607857,98.44584821963956,2313.9975533588004,2313.9975533588004,0.0,0.0,0.0,0.0,3176.8086384309236,980.3163739427129,14.094095239414491,68.06684844848134,0.0,0.0
 01/01  10:00:00,1.7,19.690480256870263,3.4612388525720417,17.96481194493299,95.92871975691634,2249.91934437045,2249.91934437045,0.0,0.0,0.0,0.0,3089.339211169573,955.3769550283498,13.727102761578635,71.440293423688,0.0,0.0
 01/01  11:00:00,1.7,19.725590181432242,3.6789461840369726,17.87126709610444,91.73022255880288,2136.996803427959,2136.996803427959,0.0,0.0,0.0,0.0,2944.8013847085454,912.9619766831755,13.126307547427574,77.06697647438227,0.0,0.0
 01/01  12:00:00,1.7,19.72465635793008,4.504140534800946,17.786752949269708,84.30811387608291,1993.6979529777345,1993.6979529777345,0.0,0.0,0.0,0.0,2746.185496244865,855.8410175405843,0.04061306732554865,87.18640471711691,0.0,0.0
 01/01  13:00:00,1.1,19.90657827468584,5.6806046955591,17.70832438031916,72.574835152925,1628.5106024861452,1628.5106024861452,0.0,0.0,0.0,0.0,2260.282960981695,719.5955465056223,9.937511256620077,102.72673599652207,0.0,0.0
 01/01  14:00:00,1.1,19.78569056794687,5.68938142940646,17.641708808185758,63.521032368462066,1431.997659453049,1431.997659453049,0.0,0.0,0.0,0.0,1962.7232781858486,632.0580628809319,8.697806804515357,114.86157492568915,0.0,0.0
 01/01  15:00:00,1.0,19.45881935781478,4.196976130239984,17.568355940760153,71.57822117965397,1658.5692163462045,1658.5692163462045,0.0,0.0,0.0,0.0,2214.822166223866,708.0424299902141,11.164327466555411,104.03653342070571,0.0,0.0
 01/01  16:00:00,-0.6,19.730367885047876,4.009479325490958,17.492965809955024,87.51981619801323,1927.768741482132,1927.768741482132,0.0,0.0,0.0,0.0,2594.1101011905253,838.1716500602855,21.93806853439205,82.40893299912508,0.0,0.0
 01/01  17:00:00,-0.6,19.73590666215932,3.370078721093274,17.44294385740839,79.89561780738151,1694.353138640081,1694.353138640081,0.0,0.0,0.0,0.0,2350.737340328208,769.2315497589277,20.027068121179276,92.6521582528213,0.0,0.0
