Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,11.1,1790.1197379610392,450.3361800941846,0.0,0.0,39.080652040942745,0.0,18.93230454550845,7.945499893053996,19.266998506360085,1320.9116343854457,1320.9116343854457,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,11.1,1412.1398406317678,361.22004541467993,0.0,0.0,31.078604122269212,0.0,18.62356853616416,9.324161956422689,18.95025591673424,1131.9272115505628,1131.9272115505628,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.0,2248.060912722293,655.3044932255589,56.699276344088965,103.21970203293938,71.7157404766652,0.0,17.453340795045246,6.304314054386953,18.755443539618938,1779.3689715103665,1779.3689715103665,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,4.0,3181.0539255468593,896.9569218962727,61.058326719548674,66.8234580504545,98.64307944397362,0.0,19.061267347879948,5.9086382903478905,18.577091749209924,2503.857502463772,2503.857502463772,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,4.4,2330.846191622864,691.8682758490597,38.108227093180865,102.20465375892154,72.51154132987351,0.0,18.698635912847195,5.530521116226687,18.512219956292686,1777.4039176390652,1777.4039176390652,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,2.2,3667.1763715443735,1083.5203925928038,25.997028707602087,49.26767989434562,111.82654281485625,0.0,19.28899890253761,4.440327947458627,18.339286455246757,2799.46493328834,2799.46493328834,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.7,3533.197935393825,1070.3372169338973,15.52462530607518,54.0398841759949,108.36413818382051,0.0,19.648816223820187,3.670584858393205,18.25840603889482,2629.133542656271,2629.133542656271,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.7,3185.513315517786,981.115426830638,14.13098931123222,67.14263333826804,98.63609576427605,0.0,19.71645105858877,3.442019531140781,18.163564847455742,2322.6025403411277,2322.6025403411277,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,1.7,4524.426320779174,1353.6889456659999,19.463307983622556,16.88397964670758,135.94926640116148,85.44000000000005,19.680586862126347,4.05009597692898,18.051659523537946,2277.239331406696,2277.239331406696,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,1.7,4751.45847121464,1412.9995265390262,20.323367646446375,8.70015738404717,142.02526462734383,85.44000000000005,19.683584778634255,3.870528766284776,17.950818806187108,2296.420186149535,2296.420186149535,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,1.7,4549.419059440193,1358.9747581089189,19.546579087662643,16.011914550787388,136.5968539061713,85.44000000000005,19.69686968734479,4.122345702888113,17.85963939624079,2169.2350992965676,2169.2350992965676,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,1.7,4187.8017421999875,1262.1398309749168,0.05994092439709683,32.65527130816499,124.4305495173409,85.44000000000005,19.70867152446093,5.009075133662666,17.776722073929164,2069.8055184421864,2069.8055184421864,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,1.1,2690.232278545954,847.1595059072542,11.703830897874852,84.85718441645909,85.47449315183871,39.94416227699381,19.794281085608205,5.961190753700262,17.70469015391535,1575.4632602231668,1575.4632602231668,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,1.1,1959.5331247260358,629.2005650281465,8.677689695036648,114.62849788540387,63.374172863335815,0.0,19.7636996057503,5.753970189171323,17.63822037254758,1454.3290988074805,1454.3290988074805,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,1.0,2229.7644111704335,711.9802703475293,11.23143647169897,102.9709860439866,72.0084948086827,0.0,19.46337605564469,4.230395118175651,17.566551889977983,1662.1599383246066,1662.1599383246066,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-0.6,2649.584168058538,854.7018259438895,22.369163891963957,79.49123237833713,89.23962317278925,0.0,19.77054821676024,4.0533228152426295,17.490984529500274,1920.1429780865456,1920.1429780865456,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-0.6,2318.537242441322,759.8252584536301,19.766673994990782,93.51155301914274,78.85674103557017,0.0,19.743078330361413,3.375357185527801,17.44274426885351,1672.405998284301,1672.405998284301,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-2.0,3626.561385768516,1178.3668711586781,55.14361365455185,28.064661646673272,126.71169912474161,85.44000000000005,19.71364770051558,3.120046051972008,17.359864681036427,1574.2286644679862,1574.2286644679862,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,-2.0,4164.424005047467,1332.7560767396296,47.2323352321361,8.323016674485206,141.56610810487942,85.44000000000005,19.65064032423953,1.490249595773586,17.290565788411946,1752.591910611085,1752.591910611085,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,-2.2,4408.620058432253,1397.270243418809,41.52955490530128,0.0,148.71239911384012,85.44000000000005,19.635795466734947,0.7750799014234613,17.210544778973752,2503.015397630992,2503.015397630992,0.0,0.0,0.0,0.0,819.4744126032315,819.4744126032315
 01/01  21:00:00,-3.9,4329.420467834307,1418.4299828101286,11.455660466682227,0.0,148.71239911384012,85.44000000000005,19.68227362582921,-0.16787219113479765,17.12494142009637,2237.1821648706537,2237.1821648706537,0.0,0.0,0.0,0.0,445.3395427367118,445.3395427367118
 01/01  22:00:00,-3.9,4303.728866848377,1411.5142387015821,17.298994802367847,0.0,148.71239911384012,85.44000000000005,19.60327072740227,0.25884115068176455,17.049177586404806,2066.9776194796395,2066.9776194796395,0.0,0.0,0.0,0.0,133.1580916403077,133.1580916403077
 01/01  23:00:00,-3.9,2740.539180121491,937.1613587078793,11.501184105575357,67.030607998089,98.58266895747511,42.38450451709837,18.992961876964873,-0.6613637867443717,16.968999260842242,1425.0462612635874,1425.0462612635874,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,-5.0,3609.8104889010983,1210.0657761962837,0.06178585631584046,27.504539408341078,128.2593423229799,0.0,18.48531501700237,-1.928313300803854,16.828989160861873,2418.5483273476184,2418.5483273476184,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  01:00:00,-1.7,2419.625128277041,782.919571435924,26.47287967162506,85.44792700916935,84.66589726625709,0.0,18.62902137851084,-2.1816797685838694,18.454992045909858,1589.8096587303808,1589.8096587303808,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  02:00:00,-1.7,2850.0683512716973,915.0990569040288,30.857166576124303,66.47646792626291,98.68735746918485,0.0,18.587062955927276,-0.7709917121241764,18.068937115748728,1924.8094417019056,1924.8094417019056,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  03:00:00,-1.7,3244.271986069381,1029.8957284000169,40.02188373514257,48.52640166974906,111.85317498549492,0.0,18.553837466574585,0.03911145595357027,17.8503822872337,2230.472914276146,2230.472914276146,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  04:00:00,-2.2,3713.9104132725092,1173.676913185577,43.47942516503493,26.93626476727793,127.78262070666095,0.0,18.561505282553167,0.11652665427327635,17.619785775716064,2573.368109620562,2573.368109620562,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  05:00:00,-2.2,3817.8778608149705,1203.2019854416392,44.57692341539244,22.567827376551097,131.00810202900362,0.0,18.594832178058294,0.25924417066593836,17.433372500141456,2641.8930830312474,2641.8930830312474,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  06:00:00,-4.0,4173.8735999445325,1335.3869674812647,50.940529905244,0.0,148.71239911384012,0.0,19.28532468342579,-0.3846135187087491,17.227467055544178,4525.740724223548,4525.740724223548,0.0,0.0,0.0,0.0,1993.319859802039,1993.319859802039
 01/15  07:00:00,-3.9,4312.584338443259,1400.640566015893,17.371344067438883,0.0,148.71239911384012,85.44000000000005,19.531055426668306,0.9217004935838341,17.106747203910196,3669.5155703832024,3669.5155703832024,0.0,0.0,0.0,0.0,2090.3777342821986,2090.3777342821986
 01/15  08:00:00,-3.9,4306.9826807968675,1407.226823226655,17.371344067438883,0.0,148.71239911384012,78.97320365992242,19.642377469289947,0.5429724818271904,16.952872991692818,3449.176877898657,3449.176877898657,0.0,0.0,0.0,0.0,1752.3434597718033,1752.3434597718033
 01/15  09:00:00,-4.0,4244.568623111488,1393.226225321341,28.69332000220256,0.0,148.71239911384012,0.0,19.704459583491047,0.327859267567868,16.811213795479556,3075.9161269949836,3075.9161269949836,0.0,0.0,0.0,0.0,271.6485840600626,271.6485840600626
 01/15  10:00:00,-3.9,3663.3577437613285,1225.9088632665075,25.33255611267639,24.344268008094172,129.96960138670943,0.0,19.739397330086895,0.9808975476729818,16.67948623297374,2438.268595534608,2438.268595534608,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  11:00:00,-3.9,3610.881745045263,1210.8658938891683,25.00780479056808,26.59609095665678,128.30335526602582,0.0,19.730800497653536,1.3470519801530945,16.558641800070635,2428.825711252135,2428.825711252135,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  12:00:00,-2.2,2832.4451888598146,938.7366512539431,2.5416125367999824,70.67151984266178,96.11281507449799,0.0,19.74884249992609,2.2729124613801885,16.459529004587637,1938.2650791663073,1938.2650791663073,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  13:00:00,-1.7,2084.5448556936303,697.956952958495,0.03415472383787049,104.64589841277427,70.90104895454448,0.0,19.777136296756982,4.198217709051203,16.367808851281918,1454.5796453371713,1454.5796453371713,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  14:00:00,-1.7,2631.780337702672,869.6171152566644,0.04253928414585449,81.23765130859934,88.30637540493244,80.04421651892014,19.709215109546463,5.159382380577559,16.30235363420892,1004.0684046756833,1004.0684046756833,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  15:00:00,-0.6,812.1614327227551,275.0469476308729,0.013342138773435151,162.75104837526567,27.696693170664354,0.0,19.956069929472534,6.6188436118624665,16.24640249858444,587.4463999390719,587.4463999390719,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  16:00:00,0.0,0.0,0.0,0.0,200.0,0.0,0.0,19.694968259965073,5.059943034107501,16.208530473068787,-38.85124509954039,-38.85124509954039,0.0,0.0,0.0,0.0,0.0,0.0
