Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.0,18.171278827948857,-0.7973822291862213,19.505288668857645,78.09718821295586,1609.3222726992562,1609.3222726992562,0.0,0.0,0.0,0.0,2120.3015751336657,727.1457855204555,0.037621442009929715,94.15392714651982,0.0,0.0
 01/01  02:00:00,-5.0,18.151367855481908,-1.5400674142444337,19.15238118627759,118.20935743366955,2427.662945643022,2427.662945643022,0.0,0.0,0.0,0.0,3314.950351783729,1100.1570959082612,0.05694451465513929,39.78941463213723,0.0,0.0
 01/01  03:00:00,-5.0,18.315728892896242,-1.4027692649055545,18.96082561605653,147.5694535220177,3046.858426655539,3046.858426655539,0.0,0.0,0.0,0.0,4241.103063764565,1372.1668359349935,0.07108708144894152,0.0,53.02500451120295,53.02500451120295
 01/01  04:00:00,-5.0,18.49950602977503,-1.5023930893457174,18.78994543790453,147.5694535220177,3186.0971841772807,3186.0971841772807,0.0,0.0,0.0,0.0,4237.5164864431845,1376.3421248844438,0.07108708144894152,0.0,348.34325745691785,348.34325745691785
 01/01  05:00:00,-5.6,18.565294030545367,-1.9242019331463545,18.617555192530805,147.5694535220177,3393.2395848945343,3393.2395848945343,0.0,0.0,0.0,0.0,4160.5841270440205,1374.1790270998727,0.07108708144894152,0.0,708.5488329248392,708.5488329248392
 01/01  06:00:00,-5.6,19.338919537684546,-1.8320613379000092,18.455657433161907,147.5694535220177,4223.234218332633,4223.234218332633,0.0,0.0,0.0,0.0,4159.218480127765,1375.7627185788879,0.07108708144894152,0.0,1703.1575685179314,1703.1575685179314
 01/01  07:00:00,-5.6,19.59789256371109,-1.8029988311262757,18.322792606382738,147.5694535220177,4048.6600930972327,4048.6600930972327,0.0,0.0,0.0,0.0,4141.2700099048725,1396.5857585514934,0.07108708144894152,0.0,1595.4657285356225,1595.4657285356225
 01/01  08:00:00,-5.6,19.676235123680925,-1.9707484068793628,18.173743787586,147.5694535220177,3972.556194582181,3972.556194582181,0.0,0.0,0.0,0.0,4135.3469977754785,1403.459753192066,0.07108708144894152,0.0,1541.0546362057971,1541.0546362057971
 01/01  09:00:00,-5.0,19.706364647631855,-1.0567651100533568,18.031241810415185,147.5694535220177,3632.0311175230145,3632.0311175230145,0.0,0.0,0.0,0.0,4206.447845086465,1412.5599808801014,0.07108708144894152,0.0,1103.5364417621095,1103.5364417621095
 01/01  10:00:00,-3.9,19.883595472481097,1.0139449005787715,17.933867607569137,117.2105192188152,2073.456384409694,2073.456384409694,0.0,0.0,0.0,0.0,3362.3863101878505,1133.1699592238901,0.056463264212367914,41.1433890335678,0.0,0.0
 01/01  11:00:00,-2.2,19.861902607055843,2.137673162822228,17.846603131940572,81.63583691716325,1496.703782276285,1496.703782276285,0.0,0.0,0.0,0.0,2385.469706893941,803.5524072607864,0.0393259523183187,89.35837140377,0.0,0.0
 01/01  12:00:00,-0.6,20.08874239870198,4.759029790043699,17.788673067558094,38.621465885909736,667.3619923640599,667.3619923640599,0.0,0.0,0.0,0.0,1140.840050262005,385.3044936313977,0.01860485506270132,147.65615725533956,0.0,0.0
 01/01  13:00:00,0.6,19.738166415145127,6.24679505684348,17.743721394196275,14.653017093547687,237.83776069816668,237.83776069816668,0.0,0.0,0.0,0.0,438.6324969281828,148.39515268085418,0.007058688173732852,180.1407287235367,0.0,0.0
