Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.0,2118.320082815178,730.0577857255398,0.0376174954698396,93.61540160424853,78.08899451298308,0.0,18.3292241542281,-0.6412337078067786,19.50716059179857,1505.9966298372547,1505.9966298372547,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-5.0,3476.631805433173,1152.7497920628791,0.05948404649101038,31.775446029519184,123.48109164166142,0.0,18.318268592610398,-1.393887614159469,19.14605540193342,2398.275550444416,2398.275550444416,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-5.0,4215.354009255041,1369.545293148261,0.07071981477977149,0.0,146.80704577420212,0.0,18.46791468310566,-1.3270032640776348,18.96804258356695,2981.0001271573783,2981.0001271573783,0.0,0.0,0.0,0.0,154.18164756106762,154.18164756106762
 01/01  04:00:00,-5.0,4212.096234483288,1373.3391580080624,0.07071981477977149,0.0,146.80704577420212,0.0,18.564832284312832,-1.4576577159872357,18.794638298785788,3075.8937288279467,3075.8937288279467,0.0,0.0,0.0,0.0,280.5198340303323,280.5198340303323
 01/01  05:00:00,-5.6,4137.570192080416,1368.8404431820688,0.07071981477977149,0.0,146.80704577420212,0.0,18.59494499791583,-1.9095559970093965,18.620331148258504,3284.2095576965876,3284.2095576965876,0.0,0.0,0.0,0.0,625.15001577969,625.15001577969
 01/01  06:00:00,-5.6,4137.035105781308,1369.4610010501017,0.07071981477977149,0.0,146.80704577420212,0.0,19.369889482864053,-1.8218266464376494,18.457973205142988,4130.245470965256,4130.245470965256,0.0,0.0,0.0,0.0,1658.370566101476,1658.370566101476
 01/01  07:00:00,-5.6,4119.1521672775925,1390.2085613292058,0.07071981477977149,0.0,146.80704577420212,0.0,19.617714493805202,-1.8005348334156233,18.325840051838615,3974.212727995442,3974.212727995442,0.0,0.0,0.0,0.0,1554.8185707416005,1554.8185707416005
 01/01  08:00:00,-5.6,4113.519487525619,1396.7456728328648,0.07071981477977149,0.0,146.80704577420212,0.0,19.688319237569242,-1.9730679193836131,18.176220807928956,3911.2292569523815,3911.2292569523815,0.0,0.0,0.0,0.0,1504.267782035061,1504.267782035061
 01/01  09:00:00,-5.0,4184.434952560646,1405.5894382512217,0.07071981477977149,0.0,146.80704577420212,85.44000000000005,19.69229522423674,-0.9033833084422555,18.03341390754417,3581.7821011944907,3581.7821011944907,0.0,0.0,0.0,0.0,2190.347115048186,2190.347115048186
 01/01  10:00:00,-3.9,4319.022452831123,1418.6625790117175,0.07071981477977149,0.0,146.80704577420212,85.44000000000005,19.71206965656663,1.5048209924893403,17.918109267898977,2057.140053921192,2057.140053921192,0.0,0.0,0.0,0.0,364.38854828507647,364.38854828507647
 01/01  11:00:00,-2.2,3845.8110292840324,1242.704075313878,0.06103969767035099,27.37596850208204,126.71090100753098,85.44000000000005,19.724864250389373,2.659737004222235,17.8263146453598,1593.0982789451173,1593.0982789451173,0.0,0.0,0.0,0.0,0.0,0.0
