Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.3,18.914309181263906,-4.192912278810285,17.943667751116326,78.66692772219204,1614.2943990925778,1614.2943990925778,0.0,0.0,0.0,0.0,2608.8677223325926,782.2530396580698,8.775636680800535,109.58396925039216,0.0,0.0
 01/01  02:00:00,3.3,18.494034720509227,0.7735478417922304,17.46565563501207,79.95901116654994,1795.35658382751,1795.35658382751,0.0,0.0,0.0,0.0,2617.9703845370477,790.6791287503944,15.61313949363417,108.04152505255003,0.0,0.0
 01/01  03:00:00,1.7,18.415682990103065,2.3283671278413984,17.24056386203736,108.13538074178119,2402.7674384150105,2402.7674384150105,0.0,0.0,0.0,0.0,3254.159763002621,985.207190304737,66.75214155196821,74.94096564234687,0.0,0.0
 01/01  04:00:00,0.6,18.466013482372116,2.7134013586071704,17.001379935217503,130.59779633982185,2877.5166492305343,2877.5166492305343,0.0,0.0,0.0,0.0,3832.582994963165,1165.1818702551348,90.78574934337509,48.538045972298896,0.0,0.0
 01/01  05:00:00,0.0,18.521371715740536,2.6261462153628794,16.813465604969032,142.45620734849354,3061.978569214576,3061.978569214576,0.0,0.0,0.0,0.0,4104.513638785625,1254.6431253230708,108.7185399376889,34.41830111072362,0.0,0.0
 01/01  06:00:00,-1.7,19.28593450869944,2.516745805009146,16.62928797436744,174.15161592404263,4090.7451478982493,4090.7451478982493,0.0,0.0,0.0,0.0,4834.765835832938,1477.3028012598659,143.67746656948555,0.0,592.2480392391303,592.2480392391303
 01/01  07:00:00,-2.0,19.586872285073422,2.314657313399737,16.50920726137342,174.15161592404263,3823.2449024138023,3823.2449024138023,0.0,0.0,0.0,0.0,4839.075353031863,1515.2717977697168,129.58734277030928,0.0,387.81624349663343,387.81624349663343
 01/01  08:00:00,-3.0,19.679465381602565,1.6163672952290922,16.364966978032918,174.15161592404263,3671.213979706765,3671.213979706765,0.0,0.0,0.0,0.0,4744.529349314587,1526.131842258958,118.86312262787192,0.0,347.1830503855517,347.1830503855517
 01/01  09:00:00,-3.0,19.730576635243093,1.871455704979743,16.240213500491983,167.0027352681771,3172.6368596721895,3172.6368596721895,0.0,0.0,0.0,0.0,4533.666292761051,1490.5609415068618,115.89504283162326,4.994113785048215,0.0,0.0
 01/01  10:00:00,-2.0,19.777489466980743,2.0642632116076007,16.119170823240786,149.93025389916033,2920.169596861593,2920.169596861593,0.0,0.0,0.0,0.0,4165.186346319248,1357.192681116446,96.2273382240003,25.4844067821117,0.0,0.0
 01/01  11:00:00,-2.0,19.788279901184193,3.077891791362019,15.996646248981286,134.88998736354506,2596.32117033288,2596.32117033288,0.0,0.0,0.0,0.0,3706.9990628461496,1222.1206447986262,86.5745543848795,42.99046409367164,0.0,0.0
 01/01  12:00:00,-1.7,19.86749184000433,5.044473853597622,15.881045743594978,100.47182044952889,1837.9715498913065,1837.9715498913065,0.0,0.0,0.0,0.0,2672.047908041906,898.8725970227332,75.74164689139366,82.82667071310128,0.0,0.0
 01/01  13:00:00,-2.0,19.370405201267822,2.4546706015343243,15.78331071008835,116.61065138523456,2327.870815290502,2327.870815290502,0.0,0.0,0.0,0.0,3162.803815190506,1058.172982339006,74.84300230745951,64.26652563651152,0.0,0.0
 01/01  14:00:00,-3.0,19.460169201589622,2.8451683652467055,15.683273402936045,150.94982463353648,3091.22014968075,3091.22014968075,0.0,0.0,0.0,0.0,4202.134572194208,1378.5113358675726,69.55322103005457,24.77510424329463,0.0,0.0
 01/01  15:00:00,-4.0,19.616462181827316,2.3924209143634823,15.609445036385617,163.16518172421817,3244.1377424761667,3244.1377424761667,0.0,0.0,0.0,0.0,4480.746983426468,1489.8606972237815,68.18201689700572,10.559173640681374,0.0,0.0
 01/01  16:00:00,-5.0,19.771999337423292,2.3030424746746223,15.530231696729507,143.42286638390016,2608.1512279977323,2608.1512279977323,0.0,0.0,0.0,0.0,3740.528119584881,1295.776152513518,67.98635468942389,32.975413986052814,0.0,0.0
 01/01  17:00:00,-5.0,19.850032770126052,1.3023973042228638,15.451506975707355,119.57430169493416,2109.0804903370354,2109.0804903370354,0.0,0.0,0.0,0.0,3073.1031466653712,1086.1732677813222,54.33469580831777,60.831084031687446,0.0,0.0
 01/01  18:00:00,-5.0,19.78311317949352,0.08391116833414,15.371925935493723,112.87532610860121,1981.4545421753846,1981.4545421753846,0.0,0.0,0.0,0.0,2886.3061290255782,1026.8360117150353,51.2909623770059,68.62708023320367,0.0,0.0
 01/01  19:00:00,-5.0,19.599368815049235,-1.595545470686554,15.286192909602246,115.55415088026272,2107.9689232412493,2107.9689232412493,0.0,0.0,0.0,0.0,3051.6905326221645,1075.522257244666,28.690024614151145,66.34297511285877,0.0,0.0
 01/01  20:00:00,-4.4,19.768978379977135,-1.7438501208632031,15.199225849497305,111.7410463281587,2044.1927662296312,2044.1927662296312,0.0,0.0,0.0,0.0,3009.3192220274464,1044.3767185873103,24.731123209585807,70.90991898704773,0.0,0.0
 01/01  21:00:00,-8.9,19.599800292065055,-3.771747952787479,15.096366915327124,143.46847440646957,2306.914595344115,2306.914595344115,0.0,0.0,0.0,0.0,3452.984838933796,1297.6529266108025,32.513930942236506,33.649003391564534,0.0,0.0
 01/01  22:00:00,-9.4,19.586320201220584,-3.87130636244578,14.995513560284712,165.28774247716942,2600.5978176166864,2600.5978176166864,0.0,0.0,0.0,0.0,3995.825135271458,1487.26448341252,33.78891616210455,8.458073560093005,0.0,0.0
 01/01  23:00:00,-11.1,18.897985105833385,-5.935720017758768,14.875933763505792,163.6343751902497,2330.4708267882615,2330.4708267882615,0.0,0.0,0.0,0.0,3768.985724923944,1456.3290988099145,27.360055918401617,10.466830529401626,0.0,0.0
 01/01  24:00:00,-11.1,18.66843120560424,-6.291011027864191,14.736032914272004,174.15161592404263,2834.06076334277,2834.06076334277,0.0,0.0,0.0,0.0,4055.3050274754187,1517.0971685385057,28.870994976576792,0.0,420.6718486742616,420.6718486742616
 07/27  01:00:00,17.8,24.5091781041943,16.27974270541959,19.97569197256613,0.0,-3116.487484576017,-3116.487484576017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  02:00:00,18.3,24.278258924959047,16.77191866551979,19.78799647682541,0.0,-2212.8323612280483,-2212.8323612280483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  03:00:00,16.1,24.02965546392607,15.20183869473768,19.642785338875946,0.0,-2353.058526776613,-2353.058526776613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  04:00:00,17.8,23.837783580394643,15.426876482794562,19.51048582164873,0.0,-2687.92886345261,-2687.92886345261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  05:00:00,17.2,23.614269152090056,15.190810495764705,19.38818944834144,0.0,-2828.245056780883,-2828.245056780883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  06:00:00,17.2,23.343497195582103,15.479742608441722,19.291811891772923,12.132790793882407,-2337.517017586928,-2337.517017586928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  07:00:00,21.1,23.494518890375392,18.72094668876057,19.215998403610755,27.43732526031138,-2955.025925102731,-2955.025925102731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  08:00:00,24.4,23.41610813667183,24.284418158071325,19.192154464656724,53.90917474148432,-4263.193886055649,-4263.193886055649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  09:00:00,25.0,23.371002974108272,30.608600851225216,19.173973031686817,71.9239290570886,-5325.597232964179,-5325.597232964179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  10:00:00,26.7,23.398754435437763,36.266785556967555,19.198036694381514,86.88961885502636,-5913.1989251756695,-5913.1989251756695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  11:00:00,26.7,23.391727130371898,40.916247420684854,19.239490778606214,96.4460434023989,-6312.396504945749,-6312.396504945749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  12:00:00,26.7,23.391523640270083,43.373941413912895,19.310518561975428,104.71318272715774,-6629.93040801524,-6629.93040801524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  13:00:00,26.7,23.358985707128305,40.855597552663134,19.38660298863251,99.36230059255486,-6538.237534135853,-6538.237534135853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  14:00:00,27.2,23.318624120961946,38.41404788299838,19.416083919465365,95.84406516504606,-6437.275672118296,-6437.275672118296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  15:00:00,25.6,23.319976092059857,37.529351810197596,19.485694587361724,96.04622445241536,-6549.708918962871,-6549.708918962871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  16:00:00,26.0,23.33282418034649,39.030155581946374,19.590433633132847,101.91722912647833,-6857.664656789679,-6857.664656789679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  17:00:00,21.7,23.32616257979607,35.31763541783452,19.66091290136906,101.28981002988024,-6896.047042918341,-6896.047042918341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  18:00:00,21.7,23.331494727545024,32.929117179990776,19.76385809322004,108.31775692316475,-7279.94355461801,-7279.94355461801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  19:00:00,20.6,23.31008088234972,28.173582351442274,19.827147441689107,98.4361291847244,-7041.687570069993,-7041.687570069993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  20:00:00,18.3,23.287881190476185,23.361175791341555,19.861154291420505,77.3336422513723,-6212.346593553153,-6212.346593553153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  21:00:00,17.8,23.299022419682668,20.2617261623901,19.88159269722473,64.1382650318647,-5630.556306753906,-5630.556306753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  22:00:00,17.8,23.277197444408504,18.591148618375893,19.870794422059824,49.8858193563346,-5094.716754190567,-5094.716754190567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  23:00:00,16.7,24.446190432752744,17.24240506913106,19.803847137701947,4.857376069041215,-5408.125937356428,-5408.125937356428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  24:00:00,16.7,24.435467268004132,16.4162843188422,19.758903372038436,2.916593569599161,-3098.449567956127,-3098.449567956127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  01:00:00,16.1,24.273895647343117,15.531079988951609,19.691081066301855,0.0,-2834.995079893465,-2834.995079893465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
