Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-23.0,18.58605470097062,-11.764138061878393,17.027320650864358,173.08359099021297,5082.929247314531,5082.929247314531,0.0,0.0,0.0,0.0,2756.762259128135,1347.3373748705624,1.5050449639679353,0.0,4689.107712837773,4689.107712837773
 01/01  02:00:00,-22.0,18.565326207651665,-11.960106613253307,16.461789834907496,173.08359099021297,5353.892553020436,5353.892553020436,0.0,0.0,0.0,0.0,2859.465422639003,1363.5034856217085,2.183220908574811,0.0,4867.408386446381,4867.408386446381
 01/01  03:00:00,-20.0,18.56376069209655,-11.543894497800135,16.205471172291553,173.08359099021297,5323.594523345888,5323.594523345888,0.0,0.0,0.0,0.0,3042.5037354414744,1383.9460255362396,13.996205730340401,0.0,4673.819224483488,4673.819224483488
 01/01  04:00:00,-20.0,18.559643877004763,-11.501184827191953,15.891450514200535,173.08359099021297,5574.973948444149,5574.973948444149,0.0,0.0,0.0,0.0,3067.0256098501613,1394.5950866922308,4.538381210094291,0.0,4929.527627141559,4929.527627141559
 01/01  05:00:00,-20.0,18.562931337736416,-10.914815099337886,15.62913315642222,173.08359099021297,5509.528085570471,5509.528085570471,0.0,0.0,0.0,0.0,3067.5417539256277,1394.1359957596358,4.538381210094291,0.0,4860.27237002786,4860.27237002786
 01/01  06:00:00,-21.0,19.312114676086328,-11.147640877271298,15.369717202313794,173.08359099021297,6965.393970697363,6965.393970697363,0.0,0.0,0.0,0.0,2952.5808269394524,1372.7369080342123,7.906772156647679,0.0,6621.586716783763,6621.586716783763
 01/01  07:00:00,-21.0,19.334094475495657,-11.66604476629358,15.163379687581022,173.08359099021297,7195.101964933645,7195.101964933645,0.0,0.0,0.0,0.0,2934.4025391906193,1388.2888746137114,7.906772156647679,0.0,6621.586716783763,6621.586716783763
 01/01  08:00:00,-20.0,19.575085428277294,-10.970290443505483,14.945752918181396,173.08359099021297,6457.937336870222,6457.937336870222,0.0,0.0,0.0,0.0,3037.1483202161094,1404.7695668524423,9.285546685946462,0.0,6114.5240106978745,6114.5240106978745
 01/01  09:00:00,-19.0,19.64710702975824,-10.378816466403896,14.750160550157315,173.08359099021297,6212.006191513503,6212.006191513503,0.0,0.0,0.0,0.0,3149.679646050183,1431.7429899738645,5.623362461358862,0.0,5702.388703795055,5702.388703795055
 01/01  10:00:00,-19.0,19.662251847002814,-9.819859833562951,14.546191507211509,173.08359099021297,6248.476644928296,6248.476644928296,0.0,0.0,0.0,0.0,3148.140732592736,1433.1295449918123,5.623362461358862,0.0,5721.974333451715,5721.974333451715
 01/01  11:00:00,-19.0,19.714305137433463,-7.866317624270387,14.360824240727897,173.08359099021297,4571.29933646013,4571.29933646013,0.0,0.0,0.0,0.0,3142.1674224924886,1430.5518890463961,7.860637126742176,0.0,3758.652620734068,3758.652620734068
 01/01  12:00:00,-19.0,19.732174971847346,-3.7689611320535983,14.199441929432572,173.08359099021297,3733.927326394696,3733.927326394696,0.0,0.0,0.0,0.0,3133.326151524203,1427.9491851692742,10.831027633230494,0.0,2671.7757495299697,2671.7757495299697
 01/01  13:00:00,-18.0,19.7538465896132,0.22663361826311118,14.080418583640437,173.08359099021297,3077.681570313429,3077.681570313429,0.0,0.0,0.0,0.0,3254.6867270540824,1450.1761318280546,6.851730589313522,0.0,1568.5848695829836,1568.5848695829836
 01/01  14:00:00,-18.0,19.76048086756844,0.6557702752381046,13.983907051071371,173.08359099021297,2668.2834968677325,2668.2834968677325,0.0,0.0,0.0,0.0,3254.3096727813086,1450.525454489046,6.851730589313522,0.0,869.8310222301573,869.8310222301573
 01/01  15:00:00,-16.0,19.750741320641414,0.7278288696060491,13.927660220463292,173.08359099021297,2180.806080850798,2180.806080850798,0.0,0.0,0.0,0.0,3455.0570716566053,1471.7193626096368,16.62951767230966,0.0,47.37669090806139,47.37669090806139
 01/01  16:00:00,-17.0,19.7853583764233,-0.03614928684824343,13.865896429685582,162.48399555382323,1921.2497512544433,1921.2497512544433,0.0,0.0,0.0,0.0,3148.9793678960314,1383.761747360759,2.6612211560722625,11.998606205336415,0.0,0.0
 01/01  17:00:00,-21.0,19.658673983802817,-4.764648112542677,13.800272152593383,173.08359099021297,2712.5596044392532,2712.5596044392532,0.0,0.0,0.0,0.0,2924.693809692929,1396.4985002747574,7.906772156647679,0.0,1188.2596352818186,1188.2596352818186
 01/01  18:00:00,-21.0,19.64359110923236,-6.303298611123816,13.754136142949154,173.08359099021297,3268.404506271703,3268.404506271703,0.0,0.0,0.0,0.0,2917.4448201058963,1388.7675583005746,12.19959596952361,0.0,2067.5245387725045,2067.5245387725045
 01/01  19:00:00,-23.0,19.649136148081357,-9.586172478218137,13.668020775912456,173.08359099021297,3684.400884730534,3684.400884730534,0.0,0.0,0.0,0.0,2736.831186776615,1363.1251932548746,1.5050449639679353,0.0,2846.057725318209,2846.057725318209
 01/01  20:00:00,-23.0,19.645385635912103,-11.236551447150301,13.575461655529567,173.08359099021297,4033.8315543202098,4033.8315543202098,0.0,0.0,0.0,0.0,2709.1328902959303,1349.3489622892582,13.685795574469841,0.0,3459.6795657269777,3459.6795657269777
 01/01  21:00:00,-23.0,19.64476901806004,-12.557737358065548,13.457064892054033,173.08359099021297,4542.997605281445,4542.997605281445,0.0,0.0,0.0,0.0,2740.27885412325,1364.5645512098126,0.08337773866161782,0.0,4134.867143971436,4134.867143971436
 01/01  22:00:00,-21.8,19.651186078600656,-12.990605544113292,13.335869670809256,173.08359099021297,4818.876304733318,4818.876304733318,0.0,0.0,0.0,0.0,2863.8195790252757,1387.285538143636,0.08337773866161782,0.0,4425.975808336956,4425.975808336956
 01/01  23:00:00,-19.7,18.918202970808903,-12.551409393355522,13.208843470018069,173.08359099021297,3794.808037772649,3794.808037772649,0.0,0.0,0.0,0.0,3079.079996288773,1421.6978138324391,3.448107446305011,0.0,3070.0250185461764,3070.0250185461764
 01/01  24:00:00,-19.0,18.668314449946056,-12.379149284409836,13.029015192806778,173.08359099021297,4667.863569688374,4667.863569688374,0.0,0.0,0.0,0.0,3168.655609714733,1414.5225650787079,5.623863880257652,0.0,3907.032379219439,3907.032379219439
 01/02  01:00:00,-17.8,18.598950812709408,-11.194847061652013,12.894751442702923,173.08359099021297,4830.019303321589,4830.019303321589,0.0,0.0,0.0,0.0,3291.236901774065,1420.5185479683498,12.10256775468189,0.0,3957.455142316436,3957.455142316436
 01/02  02:00:00,-16.7,18.578879919777346,-10.74739554919353,12.743696559428779,173.08359099021297,5128.994394128975,5128.994394128975,0.0,0.0,0.0,0.0,3414.8594853845775,1434.5773039762526,13.279141898762834,0.0,4127.113015452462,4127.113015452462
 01/02  03:00:00,-15.5,18.57660507362927,-10.16202123781773,12.601562126011755,173.08359099021297,5138.752925409079,5138.752925409079,0.0,0.0,0.0,0.0,3529.515035193724,1441.7691018723083,21.834992082121047,0.0,4003.7273395816387,4003.7273395816387
 01/02  04:00:00,-12.3,18.577781508924595,-8.627370367451627,12.476580971084209,173.08359099021297,5191.953153906865,5191.953153906865,0.0,0.0,0.0,0.0,3885.399884591934,1476.3498930367382,30.77123710467858,0.0,3690.529956533289,3690.529956533289
 01/02  05:00:00,-9.2,18.590127387494523,-6.373166431797891,12.357825340554225,173.08359099021297,5042.925559232688,5042.925559232688,0.0,0.0,0.0,0.0,4230.746950513759,1501.299160821548,43.70491184723672,0.0,3111.2228498685176,3111.2228498685176
 01/02  06:00:00,-5.5,19.39288308029397,-4.425775051971465,12.261046145798362,173.08359099021297,5109.546273256992,5109.546273256992,0.0,0.0,0.0,0.0,4750.595627112432,1559.050992013668,36.55694427452373,0.0,2547.2795696845665,2547.2795696845665
 01/02  07:00:00,-26.0,19.164633992278084,-7.745448550776535,12.031028607679461,173.08359099021297,7317.244330274301,7317.244330274301,0.0,0.0,0.0,0.0,2436.7993487450753,1289.659870395465,8.71828500494111,0.0,6621.586716783763,6621.586716783763
 01/02  08:00:00,-24.3,19.44918125762148,-9.585672254641521,11.949947793843137,173.08359099021297,6767.356041938718,6767.356041938718,0.0,0.0,0.0,0.0,2605.258732297174,1318.942778476078,8.841046953085486,0.0,6621.586716783763,6621.586716783763
 01/02  09:00:00,-22.7,19.594017442883324,-10.010808957512314,11.850440417584647,173.08359099021297,6415.689942037638,6415.689942037638,0.0,0.0,0.0,0.0,2759.729750697876,1355.6873374536897,7.997191054341102,0.0,6287.940318427488,6287.940318427488
 01/02  10:00:00,-21.0,19.64812772052914,-9.421983986589066,11.749504319010423,173.08359099021297,6015.125400157462,6015.125400157462,0.0,0.0,0.0,0.0,2932.3179646127455,1390.0572658015888,7.906772156647679,0.0,5695.635973315196,5695.635973315196
 01/02  11:00:00,-19.0,19.674722634113603,-7.95031028200753,11.648099182622907,173.08359099021297,5623.520999616019,5623.520999616019,0.0,0.0,0.0,0.0,3123.2341516871843,1416.0567572960153,16.728855089775234,0.0,5028.225028044512,5028.225028044512
