Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-23.0,2739.5544506098413,1341.8605538566037,1.4968938957626121,0.0,172.14619962373578,0.0,18.653867424498515,-11.648098191597558,17.03203688396615,5008.0625368568835,5008.0625368568835,0.0,0.0,0.0,0.0,4685.2077904483285,4685.2077904483285
 01/01  02:00:00,-22.0,2842.3148288007046,1357.501425520979,2.171396954500931,0.0,172.14619962373578,0.0,18.61127881404664,-11.869524805526748,16.46649867855416,5261.16110319391,5261.16110319391,0.0,0.0,0.0,0.0,4819.690412888581,4819.690412888581
 01/01  03:00:00,-20.0,3024.9014102418155,1377.4502461954478,13.920404654455622,0.0,172.14619962373578,0.0,18.606156702005602,-11.483225217516587,16.20967465450253,5237.459599244648,5237.459599244648,0.0,0.0,0.0,0.0,4650.044678691955,4650.044678691955
 01/01  04:00:00,-20.0,3049.372246719337,1387.969257217184,4.513802107362564,0.0,172.14619962373578,0.0,18.597318886117762,-11.46140857657862,15.895832827548562,5496.933116856737,5496.933116856737,0.0,0.0,0.0,0.0,4901.759486598503,4901.759486598503
 01/01  05:00:00,-20.0,3050.004417341042,1387.4073753120513,4.513802107362564,0.0,172.14619962373578,0.0,18.60238357110134,-10.88427927599584,15.633382684305174,5437.030848888497,5437.030848888497,0.0,0.0,0.0,0.0,4855.089324178129,4855.089324178129
 01/01  06:00:00,-21.0,2935.6326868503975,1366.1273583278753,7.863950419971539,0.0,172.14619962373578,0.0,19.373471992477608,-11.117826668106423,15.374134071821722,6896.516881662104,6896.516881662104,0.0,0.0,0.0,0.0,6653.338580486257,6653.338580486257
 01/01  07:00:00,-21.0,2917.0046826202083,1382.0477043924432,7.863950419971539,0.0,172.14619962373578,0.0,19.4005280067248,-11.642042516544084,15.168624428656214,7121.390117072002,7121.390117072002,0.0,0.0,0.0,0.0,6653.338580486257,6653.338580486257
 01/01  08:00:00,-20.0,3019.06043586386,1398.5990538762685,9.23525774031834,0.0,172.14619962373578,0.0,19.621237998713127,-10.959521679633795,14.951095132548687,6380.234349706992,6380.234349706992,0.0,0.0,0.0,0.0,6094.7631507759215,6094.7631507759215
 01/01  09:00:00,-19.0,3131.4754604325835,1425.021643033466,5.592907284229173,0.0,172.14619962373578,85.44000000000005,19.663108767429527,-10.191138985474971,14.75478583920943,6134.966902362816,6134.966902362816,0.0,0.0,0.0,0.0,6653.338580486257,6653.338580486257
 01/01  10:00:00,-19.0,3130.7064452482036,1425.7141509939406,5.592907284229173,0.0,172.14619962373578,85.44000000000005,19.556390907394782,-9.632342356935869,14.549854757232225,6207.7317798122385,6207.7317798122385,0.0,0.0,0.0,0.0,6653.338580486257,6653.338580486257
 01/01  11:00:00,-19.0,3127.8302183519268,1420.388575112467,7.818065249561545,0.0,172.14619962373578,85.44000000000005,19.652461054813806,-7.628935364824142,14.35974171961033,4595.975256956393,4595.975256956393,0.0,0.0,0.0,0.0,4964.102060314879,4964.102060314879
 01/01  12:00:00,-19.0,3117.936565195268,1418.7932242606466,10.772368624971069,0.0,172.14619962373578,85.44000000000005,19.689025883476923,-3.535448510700724,14.200626136376366,3784.029733074818,3784.029733074818,0.0,0.0,0.0,0.0,3789.9250324769087,3789.9250324769087
 01/01  13:00:00,-18.0,3238.1790084827776,1441.2849280667494,6.8146227787862195,0.0,172.14619962373578,85.44000000000005,19.702820198013477,0.46230138736850646,14.08113436365598,3113.6279381885197,3113.6279381885197,0.0,0.0,0.0,0.0,2522.7734407675607,2522.7734407675607
 01/01  14:00:00,-18.0,3238.004909127897,1441.446347623633,6.8146227787862195,0.0,172.14619962373578,85.44000000000005,19.712233595213462,0.8588364552274476,13.98397223925666,2689.020668223393,2689.020668223393,0.0,0.0,0.0,0.0,1665.6385653771438,1665.6385653771438
 01/01  15:00:00,-16.0,3437.6001068799474,1462.5222884809075,16.539455025668687,0.0,172.14619962373578,37.4640829490515,19.720379187469018,0.8348558503468825,13.927504276592714,2192.9260411794803,2192.9260411794803,0.0,0.0,0.0,0.0,363.92047518244544,363.92047518244544
 01/01  16:00:00,-17.0,3088.56642683457,1358.1729361884952,2.613354494890966,14.374821670225879,159.561489920539,0.0,19.754302557211766,-0.01630653571710522,13.865897735890334,1918.802224749672,1918.802224749672,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-21.0,2909.6565396896094,1388.2593811841152,7.863950419971539,0.0,172.14619962373578,0.0,19.659952211301423,-4.776521774489025,13.800479431996912,2688.4934136308675,2688.4934136308675,0.0,0.0,0.0,0.0,1215.1770755198752,1215.1770755198752
 01/01  18:00:00,-21.0,2901.642306142231,1381.2480255457328,12.133525027322118,0.0,172.14619962373578,85.44000000000005,19.679751631758275,-5.952541742204517,13.755525991832549,3266.003281464962,3266.003281464962,0.0,0.0,0.0,0.0,3106.983613635646,3106.983613635646
 01/01  19:00:00,-23.0,2721.145342274045,1356.4196814985542,1.4968938957626121,0.0,172.14619962373578,85.44000000000005,19.67778186751697,-9.285121416651338,13.670725031176651,3683.855645205229,3683.855645205229,0.0,0.0,0.0,0.0,4117.800891189032,4117.800891189032
 01/01  20:00:00,-23.0,2693.78800953215,1342.5684253210322,13.611675627330515,0.0,172.14619962373578,85.44000000000005,19.68956144727999,-10.866472828048622,13.577816506063357,4051.064713124337,4051.064713124337,0.0,0.0,0.0,0.0,4779.394215344706,4779.394215344706
 01/01  21:00:00,-23.0,2724.3754851345157,1358.0072108710292,0.08292617897343103,0.0,172.14619962373578,85.44000000000005,19.685355731802712,-12.21226539576244,13.460426560096918,4568.847041360552,4568.847041360552,0.0,0.0,0.0,0.0,5396.734326407259,5396.734326407259
 01/01  22:00:00,-21.8,2847.3282284265943,1380.5778614549506,0.08292617897343103,0.0,172.14619962373578,85.44000000000005,19.693786595613563,-12.669389912730812,13.339102643372607,4822.330213548357,4822.330213548357,0.0,0.0,0.0,0.0,5515.697167486111,5515.697167486111
 01/01  23:00:00,-19.7,3061.3637821711577,1414.915797054999,3.4294330813212457,0.0,172.14619962373578,85.44000000000005,19.0255844953598,-12.26129825031413,13.21241077172863,3776.4221063797104,3776.4221063797104,0.0,0.0,0.0,0.0,3972.091004080621,3972.091004080621
 01/01  24:00:00,-19.0,3148.8500087299913,1409.2748932105908,5.593405987528269,0.0,172.14619962373578,85.44000000000005,18.76242185801421,-12.135037638727692,13.035498031916338,4624.696201465105,4624.696201465105,0.0,0.0,0.0,0.0,4685.485820963805,4685.485820963805
 01/02  01:00:00,-17.8,3272.662630271718,1413.5355753943838,12.037022300831875,0.0,172.14619962373578,0.0,18.632713153417892,-11.160868143660736,12.89680672012083,4788.470397087196,4788.470397087196,0.0,0.0,0.0,0.0,3978.3107059952367,3978.3107059952367
 01/02  02:00:00,-16.7,3395.551410181639,1427.6016915129314,13.207224318945407,0.0,172.14619962373578,0.0,18.606708780459467,-10.728668907406952,12.745778980812835,5085.117709841557,5085.117709841557,0.0,0.0,0.0,0.0,4128.178706283132,4128.178706283132
 01/02  03:00:00,-15.5,3509.7348102456644,1434.6279182417863,21.716737469146008,0.0,172.14619962373578,0.0,18.606073313187302,-10.147299487028967,12.603491961216465,5094.498352051374,5094.498352051374,0.0,0.0,0.0,0.0,4019.0413881589943,4019.0413881589943
