Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.0,20.862928639946863,7.206648887887804,22.318370064891963,260.6963544532993,19.86658662563115,182.28862198107454,0.0
 01/01  02:00:00,5.0,20.44562416091519,7.326949591639976,19.976577255043265,230.0517395529389,21.363962710007255,184.13527011974046,0.0
 01/01  03:00:00,5.0,20.907072614611474,7.235875952547431,30.346597145787269,346.99903903430387,32.45397526896959,175.8999040500267,0.0
 01/01  04:00:00,5.6,20.428845083716575,7.269949538340315,15.609713580320774,216.57704801300563,0.0,187.65195912539716,0.0
 01/01  05:00:00,6.1,20.95914414044964,7.25154445646824,18.874063187744406,261.08277394561176,0.0,185.06970018937944,0.0
 01/01  06:00:00,7.8,20.20517246811905,8.245650254833656,6.171302767107026,87.77247095683079,0.0,195.1182000601307,0.0
 01/01  07:00:00,6.7,20.92501409591734,7.942114956699675,15.256487777661765,212.14084562670923,0.0,187.93137787493124,0.0
 01/01  08:00:00,6.7,20.137270476752904,7.992257621983139,9.248664651800269,130.0959907695127,0.0,192.68385748602717,0.0
 01/01  09:00:00,7.8,20.846931722674495,8.57190994628554,21.198885578026557,297.91090257802338,0.0,183.23065287094645,0.0
 01/01  10:00:00,7.8,20.881847975232544,9.130293451131289,12.20292099819437,173.75585523407529,0.0,190.3468973661875,0.0
 01/01  11:00:00,8.9,20.578623693737709,10.680082750955228,3.1385241508877708,45.350920331277468,0.0,197.5172751055504,0.0
 01/01  12:00:00,9.4,20.438600059497778,11.320275781704608,4.549860465751399,66.06605191992337,0.0,196.4008395980009,0.0
 01/01  13:00:00,6.1,20.479954846748386,10.852300830360044,10.23559955735433,143.08883457937973,0.0,191.9031440865374,0.0
 01/01  14:00:00,6.7,19.84054568849154,10.234800656248872,11.987254999412619,168.60071069975408,0.0,190.51749963601879,0.0
 01/01  15:00:00,6.7,20.926607459625975,10.844230109619185,30.244812021846849,420.07954115033007,0.0,176.0748861169835,0.0
 01/01  16:00:00,6.1,20.43241762250374,9.691771233790533,17.808545817263739,250.7570454506444,0.0,185.91257613169538,0.0
 01/01  17:00:00,6.1,20.44005306598487,8.935737831525666,20.861371064224444,290.41255254240607,0.0,183.49764322863337,0.0
 01/01  18:00:00,6.1,20.954834502990065,8.44127017871406,19.786303370404057,274.9148339374484,0.0,184.34807394012285,0.0
 01/01  19:00:00,6.1,20.129129185410834,7.984890829316407,6.9047153027425829,96.67844859099397,0.0,194.538035156952,0.0
 01/01  20:00:00,6.1,20.4888922771528,7.964163266777601,18.396744951671857,253.69020287699576,0.0,185.4472820751001,0.0
 01/01  21:00:00,5.6,20.36717906825592,7.591227185352814,19.913472840764105,274.8393484493257,0.0,184.247476718404,0.0
 01/01  22:00:00,6.1,20.326628385947886,7.882156301351699,27.790319968258069,384.4477329529207,0.0,178.01650843107334,0.0
 01/01  23:00:00,6.1,20.70641000099436,8.048014585437837,37.839217724036249,523.4216644359099,0.0,170.0673427020181,0.0
 01/01  24:00:00,6.1,20.30819346141664,8.286290603644828,39.10876701323089,544.7984268478325,0.0,169.0630676117268,0.0
 08/21  01:00:00,20.624000000000004,24.15871860704701,19.676357716372516,0.0,0.0,0.0,0.0,0.0
 08/21  02:00:00,20.216,23.823022111177165,19.032141743286819,0.0,0.0,0.0,0.0,0.0
 08/21  03:00:00,19.910000000000005,23.567646716051024,18.541480749442895,0.0,0.0,0.0,0.0,0.0
 08/21  04:00:00,19.604000000000004,23.349968866649435,18.145011386309947,0.0,0.0,0.0,0.0,0.0
 08/21  05:00:00,19.400000000000003,23.293844890947154,17.83066045973854,0.0,0.0,0.0,0.0,0.0
 08/21  06:00:00,19.604000000000004,23.630619130934514,17.9937306062864,0.0,0.0,0.0,0.0,0.0
 08/21  07:00:00,20.318,24.227403182315127,19.979029590450744,0.0,0.0,0.0,0.0,0.0
 08/21  08:00:00,22.052000000000004,24.93661151157883,23.854551906599686,0.0,0.0,0.0,0.0,0.0
 08/21  09:00:00,23.990000000000003,25.43769809060029,28.84290706656989,0.0,0.0,0.0,0.0,0.0
 08/21  10:00:00,25.724,25.558355329368515,33.856191095126707,9.209749477988149,0.0,0.0,0.0,0.0
 08/21  11:00:00,27.254,25.669101078857726,38.22576165165887,15.090137927523602,0.0,0.0,0.0,0.0
 08/21  12:00:00,28.274,25.639931837567894,41.49761910734525,22.44259742398793,0.0,0.0,0.0,0.0
 08/21  13:00:00,29.09,25.62141288130813,43.608318736817569,28.780107025359486,0.0,0.0,0.0,0.0
 08/21  14:00:00,29.6,25.60811890387029,44.378521248924517,37.23616882457182,0.0,0.0,0.0,0.0
 08/21  15:00:00,29.6,25.58041927347774,43.97117233563215,42.4875229641875,0.0,0.0,0.0,0.0
 08/21  16:00:00,28.988000000000004,25.54680736587926,42.244427197420019,44.74751999621169,0.0,0.0,0.0,0.0
 08/21  17:00:00,28.172,25.525476932987855,39.391555460091989,45.00330353585691,0.0,0.0,0.0,0.0
 08/21  18:00:00,27.152,25.50446350981338,35.63650505124886,41.56367770418793,0.0,0.0,0.0,0.0
 08/21  19:00:00,25.622,25.474874893070923,31.181411639085117,36.592816991789849,0.0,0.0,0.0,0.0
 08/21  20:00:00,24.5,25.475918110970818,27.32428395942873,25.08437074935064,0.0,0.0,0.0,0.0
 08/21  21:00:00,23.582,25.49121061720928,24.65481790810305,18.01248922110553,0.0,0.0,0.0,0.0
