Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.352522E-01,8.074107E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.070706E+02,3.107563E-02,2.795406E+02,1.710765E+02
02:00:00,2.352635E-01,8.074441E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.253070E+02,3.107563E-02,2.613043E+02,1.525509E+02
03:00:00,2.353047E-01,8.075662E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.389842E+02,3.107563E-02,2.476270E+02,1.386567E+02
04:00:00,2.353802E-01,8.077896E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.526615E+02,3.107563E-02,2.339498E+02,1.247627E+02
05:00:00,2.354845E-01,8.080985E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.617796E+02,3.107563E-02,2.248316E+02,1.155004E+02
06:00:00,2.356094E-01,8.084682E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.526615E+02,3.107563E-02,2.339498E+02,1.247627E+02
07:00:00,2.357467E-01,8.088746E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,9.207479E+02,6.349619E-02,7.072021E+02,5.155338E+02
08:00:00,2.358898E-01,8.092985E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,8.432434E+02,1.170483E-01,1.514591E+03,1.236576E+03
09:00:00,2.360342E-01,8.097258E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,7.566208E+02,1.649760E-01,2.254289E+03,1.974411E+03
10:00:00,2.361766E-01,8.101473E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,6.791164E+02,2.043500E-01,2.868214E+03,2.628445E+03
11:00:00,2.363151E-01,8.105574E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,6.107301E+02,2.275301E-01,3.252318E+03,3.057942E+03
12:00:00,2.364487E-01,8.109530E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,5.651392E+02,2.367828E-01,3.423869E+03,3.259627E+03
13:00:00,2.365770E-01,8.113326E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,5.286665E+02,2.585357E-01,3.756614E+03,3.603333E+03
14:00:00,2.366998E-01,8.116961E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,5.058711E+02,2.979759E-01,4.316669E+03,4.168242E+03
15:00:00,2.368172E-01,8.120436E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,5.058711E+02,3.362001E-01,4.837383E+03,4.697417E+03
16:00:00,2.369294E-01,8.123758E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,5.332256E+02,3.569310E-01,5.092427E+03,4.961320E+03
17:00:00,2.370368E-01,8.126937E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,5.696983E+02,3.591660E-01,5.086380E+03,4.959500E+03
18:00:00,2.371397E-01,8.129982E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,6.152892E+02,3.506537E-01,4.924812E+03,4.798061E+03
19:00:00,2.372383E-01,8.132901E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,6.836754E+02,3.158537E-01,4.382351E+03,4.254980E+03
20:00:00,2.373330E-01,8.135705E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,7.338254E+02,2.164963E-01,2.978687E+03,2.852786E+03
21:00:00,2.374241E-01,8.138403E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,7.748571E+02,1.498711E-01,2.030034E+03,1.898412E+03
22:00:00,2.375119E-01,8.141001E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,8.158889E+02,1.082279E-01,1.421720E+03,1.287483E+03
23:00:00,2.375966E-01,8.143508E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,8.478025E+02,7.542529E-02,9.429578E+02,8.125793E+02
24:00:00,2.376784E-01,8.145929E+03,3.107563E-02,0.000000E+00,0.000000E+00,3.107563E-02,8.797161E+02,4.677037E-02,5.206950E+02,4.015289E+02
Coinc Peak   ,2.376784E-01,3.591660E-01,8.145929E+03,5.086380E+03
NonCoinc Peak,2.376784E-01,3.591660E-01,8.145929E+03,5.086380E+03
