Time,CENTRAL SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.734643E-01,5.132946E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.137301E-02,5.635653E+02,5.282056E+02
00:30:00,1.717911E-01,5.083385E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.417404E-02,4.655036E+02,4.339161E+02
00:45:00,1.701294E-01,5.034212E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.734796E-02,3.725218E+02,3.454741E+02
01:00:00,1.684579E-01,4.984753E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.089076E-02,2.845645E+02,2.619895E+02
01:15:00,1.684821E-01,4.985468E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.534442E-02,2.090147E+02,1.909143E+02
01:30:00,1.685231E-01,4.986681E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.019930E-02,1.389301E+02,1.258119E+02
01:45:00,1.685797E-01,4.988354E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.738669E-03,7.816927E+01,7.013107E+01
02:00:00,1.686497E-01,4.990427E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.641131E-03,3.596923E+01,3.195007E+01
02:15:00,1.687166E-01,4.992430E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.571964E-04,1.030117E+01,9.056600E+00
02:30:00,1.688217E-01,4.995589E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:45:00,1.689174E-01,4.998426E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,1.690263E-01,5.001648E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:15:00,1.691380E-01,5.004953E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,1.692528E-01,5.008351E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:45:00,1.693681E-01,5.011762E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,1.694850E-01,5.015221E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:15:00,1.696032E-01,5.018718E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:30:00,1.697218E-01,5.022229E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:45:00,1.698403E-01,5.025735E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,1.699581E-01,5.029222E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:15:00,1.700749E-01,5.032678E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:30:00,1.701904E-01,5.036095E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:45:00,1.703044E-01,5.039469E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,1.704168E-01,5.042795E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:15:00,1.705273E-01,5.046065E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:30:00,1.706358E-01,5.049275E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:45:00,1.707424E-01,5.052430E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,1.708471E-01,5.055527E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:15:00,1.709497E-01,5.058562E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.968519E-03,5.222434E+01,3.910856E+01
07:30:00,1.710501E-01,5.061534E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.228882E-02,1.645421E+02,1.245556E+02
07:45:00,1.711486E-01,5.064450E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.441973E-02,3.303884E+02,2.548325E+02
