Time,LIVING:BOISE AP-GOWEN FIELD ANGB ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:BOISE AP-GOWEN FIELD ANGB ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:BOISE AP-GOWEN FIELD ANGB ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:BOISE AP-GOWEN FIELD ANGB ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,5.711120E+03,2.305195E+02,1.902160E-01,1.667626E-02
02:00:00,5.716942E+03,0.000000E+00,1.904100E-01,0.000000E+00
03:00:00,5.727714E+03,0.000000E+00,1.907687E-01,0.000000E+00
04:00:00,5.740499E+03,0.000000E+00,1.911945E-01,0.000000E+00
05:00:00,5.753912E+03,0.000000E+00,1.916413E-01,0.000000E+00
06:00:00,5.767122E+03,0.000000E+00,1.920812E-01,0.000000E+00
07:00:00,5.779671E+03,8.052798E+02,1.924992E-01,5.839860E-02
08:00:00,5.790831E+03,3.480961E+03,1.928709E-01,2.519168E-01
09:00:00,5.801319E+03,5.554647E+03,1.932202E-01,4.018348E-01
10:00:00,5.811280E+03,6.460401E+03,1.935520E-01,4.673589E-01
11:00:00,5.820639E+03,6.449779E+03,1.938637E-01,4.665906E-01
12:00:00,5.829417E+03,5.615050E+03,1.941560E-01,4.062045E-01
13:00:00,5.837665E+03,4.488859E+03,1.944308E-01,3.247334E-01
14:00:00,5.845441E+03,4.388565E+03,1.946898E-01,3.174780E-01
15:00:00,5.852797E+03,4.376757E+03,1.949348E-01,3.166238E-01
16:00:00,5.859780E+03,4.328428E+03,1.951674E-01,3.131276E-01
17:00:00,5.866432E+03,4.171019E+03,1.953889E-01,3.017403E-01
18:00:00,5.872787E+03,3.941107E+03,1.956006E-01,2.851080E-01
19:00:00,5.878875E+03,3.686912E+03,1.958033E-01,2.667189E-01
20:00:00,5.884722E+03,3.243895E+03,1.959981E-01,2.346702E-01
21:00:00,5.890350E+03,2.195399E+03,1.961855E-01,1.588198E-01
22:00:00,5.895777E+03,1.527417E+03,1.963663E-01,1.104965E-01
23:00:00,5.901020E+03,1.048236E+03,1.965409E-01,7.583162E-02
24:00:00,5.906094E+03,6.216910E+02,1.967099E-01,4.497443E-02
Peak,5.906094E+03,6.460401E+03,1.967099E-01,4.673589E-01

Peak Vol Flow (m3/s),,,1.776117E-01,4.219839E-01
