Time,LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,2.827586E+03,0.000000E+00,9.413817E-02,0.000000E+00
02:00:00,3.005038E+03,0.000000E+00,1.000479E-01,0.000000E+00
03:00:00,3.123855E+03,0.000000E+00,1.040022E-01,0.000000E+00
04:00:00,3.209007E+03,0.000000E+00,1.068366E-01,0.000000E+00
05:00:00,3.273558E+03,0.000000E+00,1.089857E-01,0.000000E+00
06:00:00,3.325407E+03,0.000000E+00,1.107124E-01,0.000000E+00
07:00:00,3.367736E+03,0.000000E+00,1.121219E-01,0.000000E+00
08:00:00,3.404274E+03,0.000000E+00,1.133384E-01,0.000000E+00
09:00:00,3.435959E+03,0.000000E+00,1.143933E-01,0.000000E+00
10:00:00,3.463985E+03,0.000000E+00,1.153263E-01,0.000000E+00
11:00:00,3.489090E+03,0.000000E+00,1.161620E-01,0.000000E+00
12:00:00,3.511750E+03,0.000000E+00,1.169163E-01,0.000000E+00
13:00:00,3.532285E+03,0.000000E+00,1.175999E-01,0.000000E+00
14:00:00,3.551052E+03,1.249151E+02,1.182244E-01,9.045088E-03
15:00:00,3.568566E+03,3.138706E+02,1.188074E-01,2.271593E-02
16:00:00,3.584947E+03,4.503518E+02,1.193528E-01,3.257807E-02
17:00:00,3.600325E+03,4.813794E+02,1.198647E-01,3.482316E-02
18:00:00,3.614814E+03,4.326145E+02,1.203471E-01,3.129585E-02
19:00:00,3.628514E+03,3.247653E+02,1.208032E-01,2.349404E-02
20:00:00,3.641505E+03,1.446727E+02,1.212357E-01,1.046590E-02
21:00:00,3.653859E+03,0.000000E+00,1.216469E-01,0.000000E+00
22:00:00,3.665634E+03,0.000000E+00,1.220389E-01,0.000000E+00
23:00:00,3.676881E+03,0.000000E+00,1.224132E-01,0.000000E+00
24:00:00,3.687644E+03,0.000000E+00,1.227715E-01,0.000000E+00
Peak,3.687644E+03,4.813794E+02,1.227715E-01,3.482316E-02

Peak Vol Flow (m3/s),,,1.136301E-01,3.223027E-02
