Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-19.0,20.469801276469036,8.501684351371326,11.521979817933613,961.6248666076523
 01/01  02:00:00,-21.0,20.4558464688788,6.079662723370851,15.141587950824377,1263.7174967774643
 01/01  03:00:00,-19.0,20.468374246764598,4.811928971758772,17.09670431830405,1426.891581942392
 01/01  04:00:00,-19.0,20.474078018371857,4.340286670337152,18.76803743040644,1566.3811059980465
 01/01  05:00:00,-19.0,20.486612047527616,4.720675370705953,19.43776662602547,1622.2767297169835
 01/01  06:00:00,-17.0,20.50856795625806,5.1231516742610279,18.596014655840066,1552.0240787978776
 01/01  07:00:00,-17.0,20.513248127825155,5.695339387166396,17.995052697425228,1501.86777126838
 01/01  08:00:00,-18.0,20.508181126367707,7.021191475516436,17.890494069960277,1493.141304308929
 01/01  09:00:00,-16.6,20.55460932849503,9.760215649344067,13.412459186007985,1119.4043453843365
 01/01  10:00:00,-15.2,20.544086985991699,11.883677067960802,11.648112279480895,972.1518865666282
 01/01  11:00:00,-13.8,20.57447134130182,14.870032586246133,7.110325522314665,593.4280340684609
 01/01  12:00:00,-12.4,20.575451399815426,17.343704952347104,3.880995644623148,323.90804167672419
 01/01  13:00:00,-11.0,20.572592601959746,18.270550937854549,1.7101358783693719,142.72800437979238
 01/01  14:00:00,-9.0,20.558369701933626,17.874687184346827,0.9866858830833631,82.34884071111466
 01/01  15:00:00,-14.0,20.541603871347769,17.303254893123904,1.4771236973848888,123.2807990385364
 01/01  16:00:00,-15.0,20.529946088745775,13.575501620622921,2.3501100090844537,196.1402692687973
 01/01  17:00:00,-16.0,20.473778682629374,12.409800268858645,6.4055661920835569,534.6087940044272
 01/01  18:00:00,-17.0,20.483267078142757,9.527044355239342,7.9379781737515568,662.503955317402
 01/01  19:00:00,-17.0,20.492264900369798,9.133843968681767,8.817229991583379,735.886344923835
 01/01  20:00:00,-14.0,20.51310483652133,9.521361133909379,8.551529280132622,713.7109536070833
 01/01  21:00:00,-14.0,20.50717119867763,10.030826800699261,9.202587187004383,768.0482708687358
 01/01  22:00:00,-14.0,20.496608877691043,10.249356816954612,10.37867023138581,866.2042057465699
 01/01  23:00:00,-13.0,20.487984472450415,10.67733946070372,11.792640616597648,984.2142269887664
 01/01  24:00:00,-13.0,20.480510768074408,10.658670120334893,13.477710972303607,1124.8502619094439
 07/21  01:00:00,19.307999999999998,24.031215911845537,18.465572829579977,0.0,0.0
 07/21  02:00:00,18.671999999999998,23.565634906488567,17.318197589538227,0.0,0.0
 07/21  03:00:00,18.194999999999998,23.158173077023027,16.45367917783521,0.0,0.0
 07/21  04:00:00,17.717999999999998,22.79545764015812,15.73097671172734,0.0,0.0
 07/21  05:00:00,17.4,22.953694070646056,15.706175634042836,0.0,0.0
 07/21  06:00:00,17.717999999999998,24.027470949811585,17.46911152576049,0.0,0.0
 07/21  07:00:00,18.830999999999997,24.78599042267916,21.37944709877109,0.0,0.0
 07/21  08:00:00,21.534,25.563813275805946,27.020606767091235,0.0,0.0
 07/21  09:00:00,24.554999999999997,25.56356293777081,33.36300655839144,3.172823376266949,0.0
 07/21  10:00:00,27.257999999999997,25.60426599515039,39.08049933370829,7.352613322183396,0.0
 07/21  11:00:00,29.642999999999998,25.62153230623831,43.724673170272399,10.937839540256486,0.0
 07/21  12:00:00,31.232999999999998,25.616550930978087,47.08209688111104,12.889575398143905,0.0
 07/21  13:00:00,32.504999999999998,25.62288700013479,49.038937317864647,15.416515185936195,0.0
 07/21  14:00:00,33.3,25.63070032964687,49.54618291868003,18.462999685146149,0.0
 07/21  15:00:00,33.3,25.61138653355071,48.92152789957687,20.150253624050813,0.0
 07/21  16:00:00,32.346,25.579395744005749,46.96919841471899,20.354908072669088,0.0
 07/21  17:00:00,31.073999999999999,25.55480396106499,43.83259800471866,19.995235499962289,0.0
 07/21  18:00:00,29.483999999999999,25.54125211514117,39.61048864084343,19.500917319835766,0.0
 07/21  19:00:00,27.098999999999998,25.519726783680516,34.57981985336565,17.446552798603379,0.0
 07/21  20:00:00,25.349999999999999,25.48217865999605,29.953468424428853,11.669933194811767,0.0
 07/21  21:00:00,23.918999999999998,25.49806248016405,26.21531203336325,7.85407622764804,0.0
 07/21  22:00:00,22.487999999999997,25.515757756174325,23.4817660072162,4.716616298819067,0.0
 07/21  23:00:00,21.374999999999998,25.525032109042184,21.484608185845926,1.6843346710208858,0.0
 07/21  24:00:00,20.261999999999998,25.326514407054494,19.821698856485637,0.0,0.0
 12/21  01:00:00,-14.1,20.484895006624279,6.048486776329733,13.713127953885709,1144.4981719985336
 12/21  02:00:00,-14.1,20.48472654168207,6.044894725658897,15.568319799026085,1299.3325527911453
 12/21  03:00:00,-14.1,20.48801658342346,6.043411432926988,16.801510981234999,1402.2547349883067
 12/21  04:00:00,-14.1,20.491166990381058,6.041632390251766,17.677465784908077,1475.3619556697193
 12/21  05:00:00,-14.1,20.49702992894345,6.039856142547941,17.98417093670181,1500.9595791113496
 12/21  06:00:00,-14.1,20.50565291785521,6.039259757547254,17.63082264768686,1471.4691176924558
 12/21  07:00:00,-14.1,20.50712010878299,6.039686961967107,17.37063287171459,1449.7536692568863
 12/21  08:00:00,-14.1,20.504051973493718,6.038061117878021,17.404511500278415,1452.5811808641216
 12/21  09:00:00,-14.1,20.49127047130712,6.035962176603029,18.374682652244194,1533.551701498396
 12/21  10:00:00,-14.1,20.487216539248096,6.030326963020366,19.25946021053947,1607.3952696106103
 12/21  11:00:00,-14.1,20.489079965731734,6.028460659095514,19.79471495573435,1652.0676506668593
 12/21  12:00:00,-14.1,20.49140670239011,6.027007670634903,20.1251978149948,1679.6497624631145
 12/21  13:00:00,-14.1,20.49266463854429,6.026675197513216,20.3750248909099,1700.5003395642748
 12/21  14:00:00,-14.1,20.49347224275593,6.025681168352383,20.55088196236212,1715.177377325966
 12/21  15:00:00,-14.1,20.49399978210644,6.024279256959969,20.66696144543422,1724.8653753253514
 12/21  16:00:00,-14.1,20.4973621795518,6.023230110776568,20.46848320049784,1708.3003735784815
 12/21  17:00:00,-14.1,20.50742034864907,6.023552582979911,19.527101095232486,1629.732587858737
 12/21  18:00:00,-14.1,20.514599225555668,6.026521080638397,18.363715863434618,1532.6364128941139
 12/21  19:00:00,-14.1,20.5196732925111,6.028676162785931,17.08811097019838,1426.1743807880415
 12/21  20:00:00,-14.1,20.51683285274886,6.030971505343103,16.330636457507937,1362.955529624034
 12/21  21:00:00,-14.1,20.512080069714714,6.030682621914586,15.966489747378274,1332.5638315749696
 12/21  22:00:00,-14.1,20.501026292467448,6.03099480696203,16.406947379667519,1369.3244420420368
 12/21  23:00:00,-14.1,20.4863833591692,6.0289304099448659,17.70367646644789,1477.5495001314956
 12/21  24:00:00,-14.1,20.477895207495935,6.025320947055234,19.20618218711699,1602.948683782798
