Time,LIVING:BOISE AP-GOWEN FIELD ANGB ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:BOISE AP-GOWEN FIELD ANGB ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:BOISE AP-GOWEN FIELD ANGB ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:BOISE AP-GOWEN FIELD ANGB ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.208818E+03,5.718956E+02,1.734643E-01,4.137301E-02
00:30:00,5.158525E+03,4.723845E+02,1.717911E-01,3.417404E-02
00:45:00,5.108625E+03,3.780281E+02,1.701294E-01,2.734796E-02
01:00:00,5.058433E+03,2.887707E+02,1.684579E-01,2.089076E-02
01:15:00,5.059159E+03,2.121042E+02,1.684821E-01,1.534442E-02
01:30:00,5.060390E+03,1.409839E+02,1.685231E-01,1.019930E-02
01:45:00,5.062088E+03,7.932488E+01,1.685797E-01,5.738669E-03
02:00:00,5.064191E+03,3.650795E+01,1.686497E-01,2.641131E-03
02:15:00,5.066224E+03,1.046659E+01,1.687166E-01,7.571964E-04
02:30:00,5.069430E+03,0.000000E+00,1.688217E-01,0.000000E+00
02:45:00,5.072309E+03,0.000000E+00,1.689174E-01,0.000000E+00
03:00:00,5.075578E+03,0.000000E+00,1.690263E-01,0.000000E+00
03:15:00,5.078932E+03,0.000000E+00,1.691380E-01,0.000000E+00
03:30:00,5.082380E+03,0.000000E+00,1.692528E-01,0.000000E+00
03:45:00,5.085841E+03,0.000000E+00,1.693681E-01,0.000000E+00
04:00:00,5.089351E+03,0.000000E+00,1.694850E-01,0.000000E+00
04:15:00,5.092901E+03,0.000000E+00,1.696032E-01,0.000000E+00
04:30:00,5.096463E+03,0.000000E+00,1.697218E-01,0.000000E+00
04:45:00,5.100021E+03,0.000000E+00,1.698403E-01,0.000000E+00
05:00:00,5.103560E+03,0.000000E+00,1.699581E-01,0.000000E+00
05:15:00,5.107067E+03,0.000000E+00,1.700749E-01,0.000000E+00
05:30:00,5.110535E+03,0.000000E+00,1.701904E-01,0.000000E+00
05:45:00,5.113959E+03,0.000000E+00,1.703044E-01,0.000000E+00
06:00:00,5.117334E+03,0.000000E+00,1.704168E-01,0.000000E+00
