Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/01  01:00:00,3.9,8.822222222,0.0,449.7141021,0.0,19.60824831234171,4.713570431833479,0.0,0.0,0.0,0.0,200.0,0.0
 01/01  02:00:00,3.9,8.822222222,0.0,449.7141021,0.0,19.444282158213117,4.49099901272765,0.0,0.0,0.0,0.0,200.0,0.0
 01/01  03:00:00,2.8,8.827777778,0.0,449.7141021,0.0,18.9968894468378,3.9697486589021764,0.0,0.0,0.0,0.0,200.0,0.0
 01/01  04:00:00,2.8,8.827777778,0.0,449.7141021,0.0,18.744384012948508,3.5374797191267735,0.0,0.0,0.0,0.0,200.0,0.0
 01/01  05:00:00,2.2,8.833333333,0.0,449.7141021,0.0,18.60035500527949,3.4044443506140096,1.992101774483918,0.0,32.63119435395966,2.459239618204485,197.87617277148888,0.0
 01/01  06:00:00,1.7,8.833333333,0.0,449.7141021,0.0,19.70538970697882,5.643999921449563,30.222604706553927,0.0,502.20347223780874,35.21715281512825,167.76751420021657,0.0
 01/01  07:00:00,1.7,8.838888889,0.0,449.7141021,0.0,19.746416701298592,5.558961729557617,27.159711893147577,0.0,454.95492655605125,31.64306557278067,171.0336941505558,0.0
 01/01  08:00:00,2.2,8.844444444,0.0,449.7141021,0.0,19.718132153566756,6.208749602600625,31.15174588138173,0.0,526.1835803568631,34.61162648907266,166.81434882633857,0.0
 01/01  09:00:00,2.8,8.85,0.0,449.7141021,0.0,19.722290976480092,7.307715720686682,29.44183504270385,0.0,496.28641672515965,34.926005176870774,168.65007882093272,0.0
 01/01  10:00:00,3.9,8.85,0.0,449.7141021,0.0,19.723087008938865,8.544922337152403,26.60801866168322,0.0,457.25913183874366,28.314598028512624,171.729392072091,0.0
 01/01  11:00:00,3.9,8.855555556,0.0,449.7141021,0.0,19.729532769567122,9.092715452882679,22.243700546235736,0.0,387.03315468031315,20.51844123992412,176.38015183052232,0.0
 01/01  12:00:00,4.4,8.861111111,0.0,449.7141021,0.0,19.715187884165445,9.574323328840613,23.891691640561284,0.0,418.98100523226645,21.000486598930728,174.64809938476498,0.0
 01/01  13:00:00,5.0,8.861111111,0.0,449.7141021,0.0,19.769599309302624,9.870047567904383,22.281843360712312,0.0,391.5808254789158,20.37054255002046,176.36878670924946,0.0
 01/01  14:00:00,6.1,8.861111111,0.0,449.7141021,0.0,19.724546374070513,11.24206590888697,12.184262332365194,0.0,245.3071804941053,0.0,187.10678118295357,0.0
 01/01  15:00:00,6.1,8.861111111,0.0,449.7141021,0.0,19.72176546657429,11.936536147359455,11.508713935492125,0.0,231.66189625344253,0.0,187.82163720499216,0.0
 01/01  16:00:00,5.6,8.861111111,0.0,449.7141021,0.0,19.69282791354156,11.703169628210574,12.199160785552873,0.0,244.29857236821812,0.0,187.09101584470457,0.0
