Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CRAWLSPACE:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/01  01:00:00,8.3,8.822222222,0.0,539.1498879765395,0.0,18.610998177916827,4.730932576551124,17.559174439493024,10.421136703506482,0.0,206.39572045203002,0.0,191.43414320297833,0.0
 01/01  02:00:00,7.6,8.822222222,0.0,539.1498879765395,0.0,18.609774684227673,5.70700189147598,17.62423928981193,14.66316173226371,0.0,288.2936303837777,0.0,187.9473279006237,0.0
 01/01  03:00:00,5.9,8.827777778,0.0,539.1498879765395,0.0,18.611406649147213,6.0377686786390505,17.743294986786577,19.72773511296777,0.0,380.7200302821796,0.0,183.78440291927097,0.0
 01/01  04:00:00,5.5,8.827777778,0.0,539.1498879765395,0.0,18.590397834110238,6.01019667905837,17.80771530498498,21.384100151558407,0.0,411.0900417807117,0.0,182.42292133354468,0.0
 01/01  05:00:00,5.2,8.833333333,0.0,539.1498879765395,0.0,18.59867112658778,5.841160551837581,17.8487570558697,23.07084626095656,0.0,441.98580058852264,0.0,181.03646743344598,0.0
 01/01  06:00:00,4.8,8.833333333,0.0,539.1498879765395,0.0,20.228444364234242,6.622628086405545,17.697226718134942,66.5787887813733,0.0,1041.698389079765,133.43396349310058,144.96238133620093,0.0
 01/01  07:00:00,4.5,8.838888889,0.0,539.1498879765395,0.0,20.265175167496793,6.408492273397922,17.805646922766467,56.671679634928054,0.0,896.8211819347864,111.65864257937152,153.12247662053184,0.0
 01/01  08:00:00,4.7,8.844444444,0.0,539.1498879765395,0.0,20.287171700669074,6.316171484135322,17.7751606200582,57.58427266982768,0.0,910.52783933328,114.76854939059206,152.38712679096338,0.0
 01/01  09:00:00,4.6,8.85,0.0,539.1498879765395,0.0,20.278090409595386,6.932917960527901,17.606327523088126,51.145407571266645,0.0,809.1046827991483,101.33053253331934,157.70237485710297,0.0
 01/01  10:00:00,9.9,8.85,0.0,539.1498879765395,0.0,20.277201123238985,9.007221238815763,17.518350429073713,23.636135284298035,0.0,490.70559203676396,0.0,180.5718170828521,0.0
 01/01  11:00:00,13.3,8.855555556,0.0,539.1498879765395,0.0,20.27733144910821,12.117319596871695,17.31980108380779,17.108809901409572,0.0,371.2204491466041,0.0,0.0,0.0
 01/01  12:00:00,14.1,8.861111111,0.0,539.1498879765395,0.0,20.277444318458667,14.28414175999292,16.657889408062427,16.558112080002925,0.0,362.9458826091293,0.0,0.0,0.0
 01/01  13:00:00,16.4,8.861111111,0.0,539.1498879765395,0.0,20.28518792784105,16.544002748331604,17.436856650719783,10.078571507827139,0.0,229.29612054960717,0.0,0.0,0.0
 01/01  14:00:00,17.3,8.861111111,0.0,539.1498879765395,0.0,20.2939066872203,17.593750027433156,17.6877407154458,6.940025692005218,0.0,160.3554103510899,0.0,0.0,0.0
 01/01  15:00:00,17.6,8.861111111,0.0,539.1498879765395,0.0,20.292572788329053,18.318307950269393,17.79261475127049,4.431340310353469,0.0,102.94556430773473,0.0,0.0,0.0
 01/01  16:00:00,17.5,8.861111111,0.0,539.1498879765395,0.0,20.28844500053951,18.574005123628886,17.75206271322382,2.426807998841177,0.0,56.281899562960916,0.0,0.0,0.0
 01/01  17:00:00,16.3,8.861111111,0.0,539.1498879765395,0.0,20.283559044696858,17.855082369313067,17.305833797108363,3.304439720841575,0.0,75.066689100605,0.0,0.0,0.0
 01/01  18:00:00,14.7,8.861111111,0.0,539.1498879765395,0.0,20.27816208780861,16.303421310707122,16.977567529516485,4.63954617566836,0.0,102.68594260577015,0.0,0.0,0.0
 01/01  19:00:00,8.9,8.861111111,0.0,539.1498879765395,0.0,20.278604421158654,13.724682796975172,16.71825269568589,9.826171905106488,0.0,201.215080876641,0.0,191.92318613633205,0.0
 01/01  20:00:00,7.3,8.861111111,0.0,539.1498879765395,0.0,20.278543306650757,11.532238303422293,16.325051072472387,13.868412155939515,0.0,278.65770704338473,0.0,188.6005878331986,0.0
 01/01  21:00:00,5.4,8.861111111,0.0,539.1498879765395,0.0,20.278654651684384,9.670517433507968,15.740565799239002,20.094721951188,0.0,395.21695379214776,0.0,183.48275092179466,0.0
 01/01  22:00:00,2.8,8.866666667,0.0,539.1498879765395,0.0,20.27885368730429,7.849985123420686,14.741661947132211,37.14135487132493,0.0,634.1366761107791,31.286793033858743,169.34412276881164,0.0
 01/01  23:00:00,0.6,8.866666667,0.0,539.1498879765395,0.0,18.744109030609465,5.376551416572328,13.961650476574388,19.91292957166847,0.0,329.83807819522275,11.99962141832759,183.55713308627878,0.0
 01/01  24:00:00,-1.1,8.866666667,0.0,539.1498879765395,0.0,18.612224915677974,3.8546475642714713,13.051088199324145,35.591348795995025,0.0,585.2230918199652,17.304959470149463,170.6040821596311,0.0
 01/02  01:00:00,-2.4,8.866666667,0.0,539.1498879765395,0.0,18.611776472507508,2.706596436382905,12.630142892695346,47.939105663902694,0.0,784.078098332637,18.990363372302802,160.41162501563696,0.0
 01/02  02:00:00,-3.2,8.866666667,0.0,539.1498879765395,0.0,18.61111760566127,1.8605862653238239,12.050641274865885,60.229090898053045,0.0,981.6273832646666,20.374782587023844,150.27604980776684,0.0
 01/02  03:00:00,-4.1,8.872222222,0.0,539.1498879765395,0.0,18.60862993862355,1.5486529758868395,12.337445390221994,71.46646187822438,0.0,1157.3252797975833,23.259831378825083,140.98049782882862,0.0
 01/02  04:00:00,-4.6,8.872222222,0.0,539.1498879765395,0.0,18.61140266968922,0.9603198769941459,11.715832005428993,80.35839008680679,0.0,1296.5014937794226,24.618199574962077,133.63875335718393,0.0
 01/02  05:00:00,-5.2,8.872222222,0.0,539.1498879765395,0.0,18.610435093943536,0.2977748281329281,11.59022743395167,88.26854940697424,0.0,1415.0944730405158,28.790968962170066,127.05917826491088,0.0
 01/02  06:00:00,-5.9,8.872222222,0.0,539.1498879765395,0.0,20.168431148265753,0.7556037014491408,11.485349124755347,143.17336716478138,0.0,2320.562603755899,50.91234428141234,81.57370483594269,0.0
 01/02  07:00:00,-5.0,8.872222222,0.0,539.1498879765395,0.0,20.270570542339875,0.610915898916198,10.670969122063509,137.81831592150183,0.0,2278.5656154321523,40.08070791363871,86.18804913373563,0.0
 01/02  08:00:00,-6.0,8.872222222,0.0,539.1498879765395,0.0,20.277407484911,0.19526511413307826,11.432171821012135,125.45411106754977,0.0,2053.316628072327,44.84466357685705,96.21787615634494,0.0
 01/02  09:00:00,-7.0,8.872222222,0.0,539.1498879765395,0.0,20.278181612776258,0.884106279999125,11.20682892582393,120.04370993365647,0.0,1940.06801859132,51.4049418999605,100.4832449975838,0.0
 01/02  10:00:00,-5.0,8.877777778,0.0,539.1498879765395,0.0,20.279054858893907,1.152530999105256,10.845744539564027,105.45052826760869,0.0,1759.6121001616089,17.77750189130853,113.08982355605266,0.0
 01/02  11:00:00,-4.0,8.877777778,0.0,539.1498879765395,0.0,20.277599884122438,1.5499473032995175,10.842087819215653,97.4864699518794,0.0,1657.6710905805198,0.08328183810134612,119.86812917154262,0.0
 01/02  12:00:00,-4.0,8.877777778,0.0,539.1498879765395,0.0,20.277184877906027,2.0774117172911,10.610187375878828,94.95765546976605,0.0,1613.793363899114,0.08112149387447201,121.94676274255265,0.0
 01/02  13:00:00,-2.0,8.883333333,0.0,539.1498879765395,0.0,20.277678238254847,3.5919423807743365,12.185431724470831,77.81557295664919,0.0,1349.8616844098035,0.06647698504404621,136.03737261259243,0.0
 01/02  14:00:00,-1.0,8.883333333,0.0,539.1498879765395,0.0,20.27781492154144,3.916942654275233,9.794878174333489,78.49052812520853,0.0,1366.5241634358215,0.06705350790765927,135.48265556155334,0.0
 01/02  15:00:00,0.0,8.883333333,0.0,539.1498879765395,0.0,20.277212216896444,6.379992981547415,10.393677185593244,60.77650688767316,0.0,1068.1636996803338,0.051920573035069736,150.0432177454733,0.0
 01/02  16:00:00,0.0,8.883333333,0.0,539.1498879765395,0.0,20.278083561560408,6.684125538205191,10.483586579409815,58.41622961265082,0.0,1026.8793044118129,0.04990421911976756,151.98330714754468,0.0
 01/02  17:00:00,0.0,8.888888889,0.0,539.1498879765395,0.0,20.27781042570497,6.735875390423455,11.776017529766527,49.72965262682443,0.0,876.8308713308097,0.042483390506446506,159.12345791077757,0.0
