Time,CENTRAL SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.807828E-01,5.349501E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.865876E-02,3.903722E+02,4.031703E+02
00:30:00,1.792200E-01,5.303205E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.193498E-02,2.987851E+02,3.090233E+02
00:45:00,1.776742E-01,5.257458E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.558614E-02,2.123051E+02,2.199187E+02
01:00:00,1.761166E-01,5.211368E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.613954E-03,1.309556E+02,1.358773E+02
01:15:00,1.761392E-01,5.212036E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.082667E-03,6.923309E+01,7.194597E+01
01:30:00,1.761774E-01,5.213168E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.027785E-03,2.760853E+01,2.872969E+01
01:45:00,1.762299E-01,5.214721E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.632482E-04,4.937531E+00,5.147542E+00
02:00:00,1.762945E-01,5.216632E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:15:00,1.763528E-01,5.218385E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,1.764534E-01,5.221413E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:45:00,1.765369E-01,5.223888E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,1.766350E-01,5.226791E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:15:00,1.767356E-01,5.229768E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,1.768392E-01,5.232833E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
