Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 12/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.346787299001183,15.963293694196249,-4.627097415292528,0.0,0.0,0.0,0.5358257287357477,0.47408592217977688,2.8561231989570485,8407.471278013581 
 12/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.892859936883442,15.966713318660276,-4.623354633263266,0.0,0.0,0.0,0.5350947404866956,0.47400652892737779,2.8560851095837087,8407.471278013581 
 12/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.611832691297204,15.955931032176057,-4.629622944174987,0.0,0.0,0.0,0.534425254537221,0.4741038917464708,2.8561399902901667,8407.471278013581 
 12/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.346539845530462,15.945140619055021,-4.635049885222504,0.0,0.0,0.0,0.533833253874881,0.4740729053321334,2.85617106442574,8407.471278013581 
 12/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.112860104591368,15.931965434682703,-4.642039560329378,0.0,0.0,0.0,0.5333050330296191,0.4740353706842732,2.8561870884064417,8407.471278013581 
 12/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.898627524006564,15.917182078345455,-4.649421363946121,0.0,0.0,0.0,0.5328218529417512,0.4739732184580073,2.8561934775420436,8407.471278013581 
 12/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.700396928475538,15.900936064514509,-4.657321417973282,0.0,0.0,0.0,0.5323738164468911,0.4738949342080375,2.85619476497295,8407.471278013581 
 12/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.515107687847987,15.883475228290365,-4.665546606333507,0.0,0.0,0.0,0.5319541922632236,0.47380234181931765,2.856192445593628,8407.471278013581 
 12/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.340750026918409,15.865010257583526,-4.674048843359795,0.0,0.0,0.0,0.5315583970945551,0.4736980499301369,2.8561877110725999,8407.471278013581 
 12/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.175720378251006,15.845731076227186,-4.682756706274779,0.0,0.0,0.0,0.5311829217299344,0.47358404963825509,2.856181108375132,8407.471278013581 
