Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),HEATING_FUEL_BACKUP:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_BACKUP:Heating Coil Electricity Rate [W](Hourly) 
 12/21  01:00:00,-6.2,20.54617016548616,-2.4073917069323866,189.6217433053669,0.0,2932.3635249373658,0.0 
 12/21  02:00:00,-6.2,20.542903126885184,-2.3587563210735569,189.6217433053669,0.0,3342.137917365842,0.0 
 12/21  03:00:00,-6.2,20.542029496024008,-2.3364186458467568,189.6217433053669,0.0,3617.034749236799,0.0 
 12/21  04:00:00,-6.2,20.54180463606562,-2.307854094469525,189.6217433053669,0.0,3822.120647069534,0.0 
 12/21  05:00:00,-6.2,20.54175733526204,-2.2864235892341164,189.6217433053669,0.0,3978.550729655738,0.0 
 12/21  06:00:00,-6.2,20.541689616521209,-2.2672542758231066,189.6217433053669,0.0,4102.366350252235,0.0 
 12/21  07:00:00,-6.2,20.54158683237496,-2.253953574682127,189.6217433053669,0.0,4200.537894961778,0.0 
 12/21  08:00:00,-6.2,20.54143403434718,-2.2421002599664296,189.6217433053669,0.0,4282.469400687108,0.0 
 12/21  09:00:00,-6.2,20.54125398125378,-2.2310724228236649,189.6217433053669,0.0,4356.933724077594,0.0 
 12/21  10:00:00,-6.2,20.541079935687095,-2.2209639974292587,189.6217433053669,0.0,4423.872465843769,0.0 
 12/21  11:00:00,-6.2,20.540906661958624,-2.2115229768316344,189.6217433053669,0.0,4485.050775421955,0.0 
 12/21  12:00:00,-6.2,20.540742632684244,-2.202885615412607,189.6217433053669,0.0,4539.838708225088,0.0 
 12/21  13:00:00,-6.2,20.540574442111539,-2.194800737838858,189.6217433053669,0.0,4590.13784793631,0.0 
 12/21  14:00:00,-6.2,20.540432068168984,-2.187341750838524,189.6217433053669,0.0,4635.936699936529,0.0 
 12/21  15:00:00,-6.2,20.540298412331155,-2.1803979773129038,189.6217433053669,0.0,4677.9135409314089,0.0 
 12/21  16:00:00,-6.2,20.540168016253455,-2.1739295177955726,189.6217433053669,0.0,4716.6817077922,0.0 
