Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/01  01:00:00,4.4,8.822222222,0.0,449.71410205278596,0.0,21.261136679248835,10.024887794774585,0.0,0.0,0.0,0.0,200.0,0.0
 01/01  02:00:00,4.4,8.822222222,0.0,449.71410205278596,0.0,20.92988273169241,7.535876725798126,0.0,0.0,0.0,0.0,200.0,0.0
 01/01  03:00:00,3.0,8.827777778,0.0,449.71410205278596,0.0,20.467283004931502,5.632998711286067,0.0,0.0,0.0,0.0,199.99999999999997,0.0
 01/01  04:00:00,1.7,8.827777778,0.0,449.71410205278596,0.0,20.219453621721463,3.8584390929030756,0.0,0.0,0.0,0.0,199.99999999999994,0.0
 01/01  05:00:00,2.2,8.833333333,0.0,449.71410205278596,0.0,19.997921287580038,2.2773114007671214,0.0,0.0,0.0,0.0,199.99999999999994,0.0
 01/01  06:00:00,1.7,8.833333333,0.0,449.71410205278596,0.0,20.76271820151103,4.157601665055195,27.43793465101679,0.0,452.930247331736,37.59144213369558,170.69186931063885,0.0
 01/01  07:00:00,1.7,8.838888889,0.0,449.71410205278596,0.0,19.96454500779227,2.8177719999737985,11.791323368852488,0.0,194.51990644281415,16.140485892797535,187.40510594618624,0.0
 01/01  08:00:00,1.7,8.844444444,0.0,449.71410205278596,0.0,19.765083496358717,3.023919767097902,11.943084591526862,0.0,197.17201236061825,16.348251753595,187.24298015752515,0.0
 01/01  09:00:00,5.0,8.85,0.0,449.71410205278596,0.0,19.729332412541602,4.083176532447551,1.9803426453002448,0.0,33.11251807203465,2.914468065860967,197.89647521615237,0.0
 01/01  10:00:00,8.9,8.85,0.0,449.71410205278596,0.0,20.249272466080956,10.587560747609384,0.0,0.0,0.0,0.0,199.99999999999991,0.0
 01/01  11:00:00,11.7,8.855555556,0.0,449.71410205278596,0.0,20.807572467852324,17.21192026579577,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,13.9,8.861111111,0.0,449.71410205278596,0.0,21.323095930976518,22.760855547621997,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,14.4,8.861111111,0.0,449.71410205278596,0.0,21.84258085503618,28.009576548191188,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,14.4,8.861111111,0.0,449.71410205278596,0.0,22.281146306018726,30.827917857297937,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.6,8.861111111,0.0,449.71410205278596,0.0,22.708290072295075,31.69091846606448,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,15.6,8.861111111,0.0,449.71410205278596,0.0,22.973570705955076,31.343277096802964,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,14.4,8.861111111,0.0,449.71410205278596,0.0,23.037238785690697,25.51867855345172,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,13.3,8.861111111,0.0,449.71410205278596,0.0,22.668974696042685,22.46038728776329,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,12.8,8.861111111,0.0,449.71410205278596,0.0,22.318372332316933,18.42422848120673,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,12.8,8.861111111,0.0,449.71410205278596,0.0,21.991425421063965,16.30220770703171,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,12.2,8.861111111,0.0,449.71410205278596,0.0,21.687793192950927,15.01650910095507,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,11.7,8.866666667,0.0,449.71410205278596,0.0,21.45047745992015,13.930676139892341,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,12.2,8.866666667,0.0,449.71410205278596,0.0,21.282193531682143,13.066785785048408,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,12.2,8.866666667,0.0,449.71410205278596,0.0,21.081412944002274,12.451238423101284,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  01:00:00,12.2,8.866666667,0.0,449.71410205278596,0.0,20.994582219347244,12.062652634723603,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  02:00:00,12.2,8.866666667,0.0,449.71410205278596,0.0,20.81659400329485,11.745604634546009,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  03:00:00,11.7,8.872222222,0.0,449.71410205278596,0.0,20.61605497365131,11.685910055733162,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  04:00:00,11.7,8.872222222,0.0,449.71410205278596,0.0,20.500921143023866,10.928612378571467,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  05:00:00,11.1,8.872222222,0.0,449.71410205278596,0.0,20.339684138837704,10.825229518938121,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  06:00:00,11.7,8.872222222,0.0,449.71410205278596,0.0,20.26047448563293,11.051379493349225,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  07:00:00,10.6,8.872222222,0.0,449.71410205278596,0.0,20.1189507991545,10.823759836131577,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  08:00:00,10.6,8.872222222,0.0,449.71410205278596,0.0,20.028735674626546,10.4699459260497,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  09:00:00,12.2,8.872222222,0.0,449.71410205278596,0.0,20.14902264529544,11.507948745169662,0.0,0.0,0.0,0.0,0.0,0.0
