Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CRAWLSPACE:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/01  01:00:00,-5.6,8.822222222,0.0,539.1498879765395,0.0,18.61106519432338,-2.2855883390045477,12.434192977211508,79.03729441001687,0.0,1263.9966126729566,26.771340539512952,134.657862042724,0.0
 01/01  02:00:00,-4.4,8.822222222,0.0,539.1498879765395,0.0,18.610329597857437,-1.5608059228461388,11.356950809345044,88.05062246905604,0.0,1414.8872320387723,34.27387985781691,127.20203561031077,0.0
 01/01  03:00:00,-3.9,8.827777778,0.0,539.1498879765395,0.0,18.61085817816055,-1.0944008163010601,8.163857792823864,113.74690588164314,0.0,1815.4181778285765,46.845858652961965,105.95826558907112,0.0
 01/01  04:00:00,-4.4,8.827777778,0.0,539.1498879765395,0.0,18.610659842929966,-0.8697846467400472,6.603730839721155,137.94382301089314,0.0,2176.4001533535056,62.644352912241374,85.84066762170532,0.0
 01/01  05:00:00,-4.4,8.833333333,0.0,539.1498879765395,0.0,18.61161926289934,-1.0759917123006872,8.45030510680642,114.13245175707166,0.0,1815.6517096515772,45.03740845509908,105.63195331559344,0.0
 01/01  06:00:00,-6.7,8.833333333,0.0,539.1498879765395,0.0,20.185976129004658,-1.2683674009755102,9.142173732086247,173.30240387483877,0.0,2766.2218632494696,73.27780202339855,56.387917893608744,0.0
 01/01  07:00:00,-6.7,8.838888889,0.0,539.1498879765395,0.0,20.264085939390093,-1.7331513187476828,8.944513794004777,165.7271593910035,0.0,2666.8087932700096,70.07609001895497,62.66273120086852,0.0
 01/01  08:00:00,-7.8,8.844444444,0.0,539.1498879765395,0.0,20.277449029540783,-1.8520219913620661,10.890386736312422,148.31584873966523,0.0,2385.9073808991398,55.57340700454144,77.10569202614911,0.0
 01/01  09:00:00,-7.2,8.85,0.0,539.1498879765395,0.0,20.279398707482798,-1.8032121878957388,10.00547366656425,128.39111278481153,0.0,2079.2576889539732,42.61059630908092,93.75718020241573,0.0
 01/01  10:00:00,-5.0,8.85,0.0,539.1498879765395,0.0,20.278144630928054,-0.5586974308107333,7.6868942714562625,115.03794069016595,0.0,1887.303224591662,34.66306513476895,104.98498140015406,0.0
 01/01  11:00:00,-2.2,8.855555556,0.0,539.1498879765395,0.0,20.27830761365432,1.7652956441237841,9.944455358015771,67.73259243116843,0.0,1155.6579228308858,8.681569202678606,144.24507873811012,0.0
 01/01  12:00:00,-0.6,8.861111111,0.0,539.1498879765395,0.0,20.27771090622351,4.633325282087411,10.02384980318799,49.473191735757645,0.0,857.5011984707438,5.445120953264894,159.29432261560498,0.0
 01/01  13:00:00,-0.6,8.861111111,0.0,539.1498879765395,0.0,20.277599933860184,5.461745024145241,10.023538598231942,46.34616275163543,0.0,803.3214124758464,5.100953761418112,161.867187166797,0.0
 01/01  14:00:00,1.7,8.861111111,0.0,539.1498879765395,0.0,20.2775658334277,5.650508716126822,9.177781948600568,41.69703006511869,0.0,742.2532211343662,0.035621159582026884,165.7261388141635,0.0
 01/01  15:00:00,2.2,8.861111111,0.0,539.1498879765395,0.0,20.277752162791373,5.484622765004412,8.50088573490175,40.54346885931601,0.0,722.9075696293936,0.034635671159000916,166.67435312855892,0.0
 01/01  16:00:00,0.6,8.861111111,0.0,539.1498879765395,0.0,20.27750828946694,4.911287487041717,7.608620956398902,46.599046001320815,0.0,805.6443163102458,9.31399857697847,161.64032478892878,0.0
 01/01  17:00:00,0.0,8.861111111,0.0,539.1498879765395,0.0,20.278312232018,4.688417600040703,9.504079873468855,29.881257206046616,0.0,516.495515217322,5.690538156895337,175.4001258154809,0.0
 01/01  18:00:00,-0.6,8.861111111,0.0,539.1498879765395,0.0,20.277407909469733,2.151433903561179,7.669244314379843,52.822102800953814,0.0,905.8539805395047,9.089288087118229,156.51450343005754,0.0
 01/01  19:00:00,-0.6,8.861111111,0.0,539.1498879765395,0.0,20.277089195905027,1.6007883381930104,7.875718799588454,60.34080827581144,0.0,1034.5679097652628,10.383057733025527,150.3247760322505,0.0
 01/01  20:00:00,-4.4,8.861111111,0.0,539.1498879765395,0.0,20.27782448970316,0.6596820340216726,10.029756164266743,71.16307720843567,0.0,1171.9483583011186,27.783379434805823,141.16085792271912,0.0
 01/01  21:00:00,-3.9,8.861111111,0.0,539.1498879765395,0.0,20.277731610307118,-0.06125035623160728,10.72332244377939,75.64963898187851,0.0,1262.8723729361172,20.89315696235383,137.57503836733304,0.0
 01/01  22:00:00,-3.9,8.866666667,0.0,539.1498879765395,0.0,20.27745358255631,-0.5371963141029982,8.32911112154114,94.11121732686348,0.0,1563.181584396135,25.996990622783297,122.34117260365899,0.0
 01/01  23:00:00,-4.4,8.866666667,0.0,539.1498879765395,0.0,18.646595498035893,-1.6769726951256438,7.861056829223273,61.62401261767884,0.0,985.3833217131311,20.023759956872503,149.10146359218047,0.0
 01/01  24:00:00,-5.0,8.866666667,0.0,539.1498879765395,0.0,18.65056403004963,-1.8739195591919817,8.067461840447958,84.1139063059568,0.0,1339.366647266283,25.397696987150447,130.5285616347728,0.0
 01/02  01:00:00,-5.0,8.866666667,0.0,539.1498879765395,0.0,18.615105684817543,-2.080164413897347,7.924935081349458,86.15031985227812,0.0,1373.5715219121955,26.01262384962508,128.84652512385836,0.0
 01/02  02:00:00,-6.7,8.866666667,0.0,539.1498879765395,0.0,18.610749179174416,-2.329543608566695,9.588045177826654,97.46432624466297,0.0,1532.7355746766013,34.34754157359371,119.34766568073647,0.0
 01/02  03:00:00,-7.2,8.872222222,0.0,539.1498879765395,0.0,18.61084936741403,-2.7757148362291884,6.772980752583756,119.77559046841841,0.0,1861.3140988829928,46.02896850590463,100.78800056734806,0.0
 01/02  04:00:00,-7.2,8.872222222,0.0,539.1498879765395,0.0,18.610696471042488,-2.9738859150092045,7.825510130524547,119.71339841528226,0.0,1862.4482660605238,46.009757437502344,100.83919093273298,0.0
 01/02  05:00:00,-7.8,8.872222222,0.0,539.1498879765395,0.0,18.61093788075892,-2.823704879750342,10.403054263966515,116.00270445519584,0.0,1810.2714220119014,43.600229079157266,103.88485246846999,0.0
 01/02  06:00:00,-8.3,8.872222222,0.0,539.1498879765395,0.0,20.152558523596202,-1.9591778948901994,10.025005953138214,176.85068126442857,0.0,2795.6884136066,71.17734409918653,53.316418849542984,0.0
 01/02  07:00:00,-8.3,8.872222222,0.0,539.1498879765395,0.0,20.27451142770616,-2.0593616043920977,10.191286432761126,162.00530492327394,0.0,2588.261483321694,65.20442220740448,65.62552625031444,0.0
 01/02  08:00:00,-11.1,8.872222222,0.0,539.1498879765395,0.0,20.278325956493532,-3.4609431237529487,6.969536420297752,191.59480689654066,0.0,2980.198502741764,65.75797404465538,40.95680662629722,0.0
 01/02  09:00:00,-8.9,8.872222222,0.0,539.1498879765395,0.0,20.280968991447693,-2.777429581876957,7.855597991855958,155.3362925725586,0.0,2457.459203756153,58.51699081540906,71.17346856604655,0.0
 01/02  10:00:00,-6.7,8.877777778,0.0,539.1498879765395,0.0,20.2798663358072,-1.5266121185167614,7.21187082398974,118.81947993678082,0.0,1914.2901255754668,41.883237818416205,101.67138822111113,0.0
 01/02  11:00:00,-3.9,8.877777778,0.0,539.1498879765395,0.0,20.277781836689467,1.6396672796043887,8.633951439499842,76.31149511788587,0.0,1261.274868549221,26.342514063696047,136.96656956110803,0.0
 01/02  12:00:00,-1.7,8.877777778,0.0,539.1498879765395,0.0,20.277251631896245,4.6723696742457355,8.34372086031778,53.0296658070274,0.0,895.6439361577391,14.91676083584301,156.2802725439292,0.0
 01/02  13:00:00,-1.7,8.883333333,0.0,539.1498879765395,0.0,20.27706774041869,6.521027751478454,8.3758986217354,44.454640773532425,0.0,750.8592629489299,12.504685140782986,163.34985642691547,0.0
 01/02  14:00:00,0.6,8.883333333,0.0,539.1498879765395,0.0,20.27720537050929,7.548982807195638,8.215737855962836,35.43667691553796,0.0,609.0407795342044,10.651392469693507,170.80679781069477,0.0
 01/02  15:00:00,1.1,8.883333333,0.0,539.1498879765395,0.0,20.279010502621713,7.203865121496076,8.018795750645738,28.323518723364792,0.0,487.0158763373057,9.809281182050013,176.66384966816187,0.0
 01/02  16:00:00,1.1,8.883333333,0.0,539.1498879765395,0.0,20.279338288946185,6.924155825210375,8.593614184992845,18.77052287372291,0.0,325.7047675749916,4.557464440038949,184.54580287144546,0.0
 01/02  17:00:00,0.0,8.888888889,0.0,539.1498879765395,0.0,20.279412156139767,4.776968570140797,8.284444283410231,18.969854943202908,0.0,324.7996543410992,5.451028002783074,184.37033918055593,0.0
 01/02  18:00:00,-1.7,8.888888889,0.0,539.1498879765395,0.0,20.277564553264856,2.328369679120906,6.486439876938966,59.242907700220854,0.0,987.9167439231136,23.221311891215933,151.0989001583055,0.0
 01/02  19:00:00,-1.7,8.894444444,0.0,539.1498879765395,0.0,20.277434577731928,1.3065438622152863,6.636259535275821,66.985877160081,0.0,1116.7933212581543,26.25630036728244,144.70760430121555,0.0
 01/02  20:00:00,-3.3,8.894444444,0.0,539.1498879765395,0.0,20.277795704810053,0.46905531705111847,6.916450882488991,74.90563868657861,0.0,1242.1376916536171,22.41745689343231,138.1872746059417,0.0
 01/02  21:00:00,-3.3,8.894444444,0.0,539.1498879765395,0.0,20.27582118286322,0.20000532182072955,6.7943191074775555,86.96129298192429,0.0,1442.0551685371274,26.022818263402353,128.23888217027644,0.0
 01/02  22:00:00,-3.3,8.894444444,0.0,539.1498879765395,0.0,20.27672387193064,0.21765946725424737,5.914282791825193,104.78432314435366,0.0,1733.7297629300228,31.35025014474241,113.53145174292891,0.0
 01/02  23:00:00,-3.9,8.894444444,0.0,539.1498879765395,0.0,18.61679932398187,-0.8245076922459371,5.975771665229912,63.40314854238164,0.0,1015.4383586275943,17.562602231694093,147.6823031299993,0.0
 01/02  24:00:00,-4.4,8.9,0.0,539.1498879765395,0.0,18.547844761501853,-0.8261146533021888,5.802142705583858,87.92481632827892,0.0,1397.0714154756138,28.63834829457122,127.37796247762275,0.0
 01/03  01:00:00,-4.4,8.9,0.0,539.1498879765395,0.0,18.595971310958024,-0.9055636399867975,5.714350084410399,93.86211461687678,0.0,1488.9612018951316,30.572145308141266,122.47417829860406,0.0
 01/03  02:00:00,-5.6,8.9,0.0,539.1498879765395,0.0,18.60659280147316,-1.4630243144499615,5.216049784837042,112.13090403440137,0.0,1760.7970121034018,38.19876639095946,107.29807288624806,0.0
 01/03  03:00:00,-5.6,8.905555556,0.0,539.1498879765395,0.0,18.609675027142494,-1.3829292734107534,5.663122938105264,114.73376441178877,0.0,1802.668780280932,39.058984041818306,105.14650947808568,0.0
 01/03  04:00:00,-6.1,8.905555556,0.0,539.1498879765395,0.0,18.610686231397246,-1.6250679308175626,4.910132060847488,126.62134454570868,0.0,1974.506025807311,47.830809106665754,95.21531728465564,0.0
 01/03  05:00:00,-6.7,8.905555556,0.0,539.1498879765395,0.0,18.610543333183244,-1.7784106150910495,5.672590326992253,127.01705175611421,0.0,1968.8012689862153,53.90845259491785,94.74744340678353,0.0
 01/03  06:00:00,-6.7,8.905555556,0.0,539.1498879765395,0.0,20.15116138345003,-0.5990461308828235,6.0429614606659605,182.45024777591124,0.0,2896.19337467321,64.31088310714006,49.018361817792176,0.0
 01/03  07:00:00,-6.7,8.911111111,0.0,539.1498879765395,0.0,20.261648700600936,-0.23106998792224132,5.984256940948363,173.4835533866913,0.0,2780.707339337012,61.15141591259119,56.4357927372406,0.0
 01/03  08:00:00,-6.7,8.911111111,0.0,539.1498879765395,0.0,20.255965403496848,0.013767133804580821,5.97037398877308,168.00573617592332,0.0,2670.7084490192,84.06296884819676,60.56368305272102,0.0
 01/03  09:00:00,-5.6,8.911111111,0.0,539.1498879765395,0.0,20.27635384717749,0.4104722974484901,5.774396262937693,156.58745990833796,0.0,2500.095376485913,86.63589392413104,70.05209726096749,0.0
 01/03  10:00:00,-5.0,8.911111111,0.0,539.1498879765395,0.0,20.278687782654522,1.0648700057546545,5.894827789935428,146.96463743489417,0.0,2351.9083501178043,86.32689479474,78.0407034965422,0.0
 01/03  11:00:00,-4.4,8.911111111,0.0,539.1498879765395,0.0,20.278273558606823,1.8473616503176649,5.964884267089234,136.22299180053116,0.0,2197.5652357756194,73.4071143571193,87.11014447589143,0.0
 01/03  12:00:00,-4.4,8.911111111,0.0,539.1498879765395,0.0,20.278073676164908,2.6419513816251357,5.936771974969185,132.46607258511762,0.0,2135.716988397733,72.44469398757818,90.20978086169704,0.0
 01/03  13:00:00,-3.9,8.911111111,0.0,539.1498879765395,0.0,20.278757833824077,3.683654543882636,6.32231594820184,117.51862444213663,0.0,1900.8144683254734,66.6826972696635,102.61382015110917,0.0
