Time,LIVING:PASCO-TRI.CITIES.AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:PASCO-TRI.CITIES.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:PASCO-TRI.CITIES.AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:PASCO-TRI.CITIES.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.428574E+03,3.961424E+02,1.807828E-01,2.865876E-02
00:30:00,5.381594E+03,3.032015E+02,1.792200E-01,2.193498E-02
00:45:00,5.335170E+03,2.154432E+02,1.776742E-01,1.558614E-02
01:00:00,5.288399E+03,1.328912E+02,1.761166E-01,9.613954E-03
01:15:00,5.289076E+03,7.025642E+01,1.761392E-01,5.082667E-03
01:30:00,5.290225E+03,2.802956E+01,1.761774E-01,2.027785E-03
01:45:00,5.291800E+03,5.021090E+00,1.762299E-01,3.632482E-04
02:00:00,5.293740E+03,0.000000E+00,1.762945E-01,0.000000E+00
02:15:00,5.295519E+03,0.000000E+00,1.763528E-01,0.000000E+00
02:30:00,5.298592E+03,0.000000E+00,1.764534E-01,0.000000E+00
02:45:00,5.301103E+03,0.000000E+00,1.765369E-01,0.000000E+00
03:00:00,5.304049E+03,0.000000E+00,1.766350E-01,0.000000E+00
03:15:00,5.307071E+03,0.000000E+00,1.767356E-01,0.000000E+00
03:30:00,5.310181E+03,0.000000E+00,1.768392E-01,0.000000E+00
03:45:00,5.313355E+03,0.000000E+00,1.769448E-01,0.000000E+00
04:00:00,5.316571E+03,0.000000E+00,1.770520E-01,0.000000E+00
04:15:00,5.319813E+03,0.000000E+00,1.771599E-01,0.000000E+00
04:30:00,5.323064E+03,0.000000E+00,1.772682E-01,0.000000E+00
04:45:00,5.326312E+03,0.000000E+00,1.773764E-01,0.000000E+00
05:00:00,5.329545E+03,0.000000E+00,1.774840E-01,0.000000E+00
05:15:00,5.332751E+03,0.000000E+00,1.775908E-01,0.000000E+00
05:30:00,5.335924E+03,0.000000E+00,1.776964E-01,0.000000E+00
05:45:00,5.339060E+03,0.000000E+00,1.778009E-01,0.000000E+00
06:00:00,5.342154E+03,0.000000E+00,1.779039E-01,0.000000E+00
06:15:00,5.345199E+03,0.000000E+00,1.780053E-01,0.000000E+00
06:30:00,5.348193E+03,1.285654E+01,1.781050E-01,9.313253E-04
06:45:00,5.351138E+03,6.947086E+01,1.782031E-01,5.028012E-03
07:00:00,5.354033E+03,1.807098E+02,1.782995E-01,1.307715E-02
07:15:00,5.356872E+03,3.343301E+02,1.783941E-01,2.419076E-02
07:30:00,5.359616E+03,5.173687E+02,1.784854E-01,3.743141E-02
07:45:00,5.362314E+03,7.013723E+02,1.785753E-01,5.074215E-02
08:00:00,5.364974E+03,8.775405E+02,1.786639E-01,6.348541E-02
08:15:00,5.367587E+03,1.060234E+03,1.787509E-01,7.670232E-02
