Time,LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.037928E+03,0.000000E+00,6.786920E-02,0.000000E+00
00:30:00,1.628396E+03,0.000000E+00,5.423076E-02,0.000000E+00
00:45:00,1.229476E+03,0.000000E+00,4.094575E-02,0.000000E+00
01:00:00,8.382868E+02,0.000000E+00,2.791815E-02,0.000000E+00
01:15:00,9.280530E+02,0.000000E+00,3.090777E-02,0.000000E+00
01:30:00,1.012499E+03,0.000000E+00,3.371994E-02,0.000000E+00
01:45:00,1.093581E+03,0.000000E+00,3.642009E-02,0.000000E+00
02:00:00,1.172394E+03,0.000000E+00,3.904465E-02,0.000000E+00
02:15:00,1.231771E+03,0.000000E+00,4.102192E-02,0.000000E+00
02:30:00,1.287866E+03,0.000000E+00,4.288994E-02,0.000000E+00
02:45:00,1.341669E+03,0.000000E+00,4.468162E-02,0.000000E+00
03:00:00,1.393772E+03,0.000000E+00,4.641673E-02,0.000000E+00
03:15:00,1.436243E+03,0.000000E+00,4.783105E-02,0.000000E+00
03:30:00,1.476735E+03,0.000000E+00,4.917950E-02,0.000000E+00
03:45:00,1.515849E+03,0.000000E+00,5.048204E-02,0.000000E+00
04:00:00,1.553927E+03,0.000000E+00,5.175013E-02,0.000000E+00
04:15:00,1.586210E+03,0.000000E+00,5.282521E-02,0.000000E+00
04:30:00,1.617268E+03,0.000000E+00,5.385951E-02,0.000000E+00
04:45:00,1.647465E+03,0.000000E+00,5.486515E-02,0.000000E+00
05:00:00,1.677009E+03,0.000000E+00,5.584904E-02,0.000000E+00
05:15:00,1.702776E+03,0.000000E+00,5.670719E-02,0.000000E+00
05:30:00,1.727848E+03,0.000000E+00,5.754214E-02,0.000000E+00
05:45:00,1.752358E+03,0.000000E+00,5.835843E-02,0.000000E+00
06:00:00,1.776432E+03,0.000000E+00,5.916018E-02,0.000000E+00
06:15:00,1.797864E+03,0.000000E+00,5.987393E-02,0.000000E+00
06:30:00,1.818697E+03,0.000000E+00,6.056777E-02,0.000000E+00
06:45:00,1.839116E+03,0.000000E+00,6.124778E-02,0.000000E+00
07:00:00,1.859203E+03,0.000000E+00,6.191676E-02,0.000000E+00
07:15:00,1.877334E+03,0.000000E+00,6.252059E-02,0.000000E+00
07:30:00,1.895021E+03,0.000000E+00,6.310963E-02,0.000000E+00
07:45:00,1.912400E+03,0.000000E+00,6.368845E-02,0.000000E+00
08:00:00,1.929547E+03,0.000000E+00,6.425948E-02,0.000000E+00
08:15:00,1.945325E+03,0.000000E+00,6.478498E-02,0.000000E+00
08:30:00,1.960754E+03,0.000000E+00,6.529882E-02,0.000000E+00
08:45:00,1.975928E+03,0.000000E+00,6.580418E-02,0.000000E+00
09:00:00,1.990921E+03,0.000000E+00,6.630349E-02,0.000000E+00
09:15:00,2.004843E+03,0.000000E+00,6.676715E-02,0.000000E+00
09:30:00,2.018485E+03,0.000000E+00,6.722151E-02,0.000000E+00
09:45:00,2.031936E+03,0.000000E+00,6.766949E-02,0.000000E+00
10:00:00,2.045242E+03,0.000000E+00,6.811261E-02,0.000000E+00
10:15:00,2.057696E+03,0.000000E+00,6.852739E-02,0.000000E+00
10:30:00,2.069904E+03,0.000000E+00,6.893396E-02,0.000000E+00
10:45:00,2.081955E+03,0.000000E+00,6.933532E-02,0.000000E+00
11:00:00,2.093892E+03,0.000000E+00,6.973286E-02,0.000000E+00
11:15:00,2.105104E+03,0.000000E+00,7.010628E-02,0.000000E+00
11:30:00,2.116127E+03,0.000000E+00,7.047338E-02,0.000000E+00
11:45:00,2.127019E+03,0.000000E+00,7.083613E-02,0.000000E+00
12:00:00,2.137812E+03,1.620775E+00,7.119556E-02,1.174195E-04
12:15:00,2.147966E+03,2.536723E+01,7.153373E-02,1.836504E-03
12:30:00,2.157959E+03,5.693685E+01,7.186651E-02,4.120399E-03
12:45:00,2.167840E+03,1.007085E+02,7.219560E-02,7.287051E-03
13:00:00,2.177637E+03,1.580093E+02,7.252187E-02,1.143232E-02
13:15:00,2.186924E+03,2.143436E+02,7.283116E-02,1.550669E-02
13:30:00,2.196071E+03,2.773366E+02,7.313579E-02,2.006401E-02
13:45:00,2.205124E+03,3.411504E+02,7.343729E-02,2.468075E-02
14:00:00,2.214105E+03,4.012318E+02,7.373639E-02,2.902750E-02
14:15:00,2.222645E+03,4.574377E+02,7.402078E-02,3.309390E-02
14:30:00,2.231064E+03,5.077647E+02,7.430116E-02,3.673495E-02
14:45:00,2.239400E+03,5.519701E+02,7.457880E-02,3.993305E-02
15:00:00,2.247675E+03,5.902974E+02,7.485437E-02,4.270580E-02
15:15:00,2.255559E+03,6.221628E+02,7.511694E-02,4.501102E-02
15:30:00,2.263338E+03,6.480654E+02,7.537600E-02,4.688479E-02
15:45:00,2.271045E+03,6.678926E+02,7.563268E-02,4.831907E-02
16:00:00,2.278699E+03,6.814734E+02,7.588756E-02,4.930148E-02
16:15:00,2.285989E+03,6.885548E+02,7.613036E-02,4.981368E-02
16:30:00,2.293189E+03,6.907234E+02,7.637013E-02,4.997050E-02
16:45:00,2.300331E+03,6.889199E+02,7.660797E-02,4.983996E-02
17:00:00,2.307428E+03,6.843237E+02,7.684434E-02,4.950742E-02
17:15:00,2.314218E+03,6.762042E+02,7.707046E-02,4.891997E-02
17:30:00,2.320927E+03,6.669184E+02,7.729390E-02,4.824816E-02
17:45:00,2.327582E+03,6.559658E+02,7.751551E-02,4.745576E-02
18:00:00,2.334195E+03,6.422397E+02,7.773574E-02,4.646273E-02
18:15:00,2.340528E+03,6.197343E+02,7.794667E-02,4.483456E-02
18:30:00,2.346789E+03,5.887448E+02,7.815518E-02,4.259260E-02
18:45:00,2.353001E+03,5.475673E+02,7.836204E-02,3.961361E-02
19:00:00,2.359175E+03,4.944001E+02,7.856767E-02,3.576722E-02
19:15:00,2.365086E+03,4.241771E+02,7.876450E-02,3.068695E-02
19:30:00,2.370932E+03,3.388324E+02,7.895919E-02,2.451271E-02
19:45:00,2.376733E+03,2.392306E+02,7.915240E-02,1.730704E-02
20:00:00,2.382502E+03,1.398090E+02,7.934451E-02,1.011443E-02
20:15:00,2.388047E+03,6.542348E+01,7.952916E-02,4.733032E-03
20:30:00,2.393530E+03,1.808263E+01,7.971178E-02,1.308179E-03
20:45:00,2.398976E+03,0.000000E+00,7.989314E-02,0.000000E+00
21:00:00,2.404392E+03,0.000000E+00,8.007351E-02,0.000000E+00
21:15:00,2.409623E+03,0.000000E+00,8.024771E-02,0.000000E+00
21:30:00,2.414801E+03,0.000000E+00,8.042015E-02,0.000000E+00
21:45:00,2.419943E+03,0.000000E+00,8.059140E-02,0.000000E+00
22:00:00,2.425058E+03,0.000000E+00,8.076175E-02,0.000000E+00
22:15:00,2.430002E+03,0.000000E+00,8.092639E-02,0.000000E+00
22:30:00,2.434897E+03,0.000000E+00,8.108943E-02,0.000000E+00
22:45:00,2.439761E+03,0.000000E+00,8.125138E-02,0.000000E+00
23:00:00,2.444600E+03,0.000000E+00,8.141254E-02,0.000000E+00
23:15:00,2.449281E+03,0.000000E+00,8.156844E-02,0.000000E+00
23:30:00,2.453918E+03,0.000000E+00,8.172288E-02,0.000000E+00
23:45:00,2.458526E+03,0.000000E+00,8.187634E-02,0.000000E+00
24:00:00,2.463113E+03,0.000000E+00,8.202907E-02,0.000000E+00
Peak,2.463113E+03,6.907234E+02,8.202907E-02,4.997050E-02

Peak Vol Flow (m3/s),,,6.881989E-02,4.192373E-02
